代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11910109.459999999031425
真實報酬,1910109.459999999031425

夏普值報酬,0.182310946000000
夏普值風險,0.056671724605023
夏普值,3.216964849237022

二次趨勢線,257.858143419758449 x^2 + 11531.761822944688902 x + 10000000.000000000000000
二次平均預期報酬,28034.683001809229609
風險,264844.470686387969181
二次平均趨勢值,0.105853382285659
一次趨勢線,23811.494511154844076 x + 10000000.000000000000000
一次預期報酬,23811.494511154844076
一次風險,289406.750657626602333
一次趨勢值,0.082276914609101
找到最佳解世代,1873
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,303674,
分配資金,10000000.000000000000000,
剩餘資金,15.179999999701977,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9772244.500000000000000,9772244.500000000000000
FS( 3 ),9732766.879999998956919,9732766.879999998956919
FS( 4 ),9981779.559999998658895,9981779.559999998658895
FS( 5 ),9857273.220000000670552,9857273.220000000670552
FS( 6 ),9678105.560000000521541,9678105.560000000521541
FS( 7 ),9823869.080000000074506,9823869.080000000074506
FS( 8 ),9918008.019999999552965,9918008.019999999552965
FS( 9 ),10185241.139999998733401,10185241.139999998733401
FS( 10 ),10409959.900000000372529,10409959.900000000372529
FS( 11 ),10510172.320000000298023,10510172.320000000298023
FS( 12 ),10431217.080000000074506,10431217.080000000074506
FS( 13 ),10570907.120000001043081,10570907.120000001043081
FS( 14 ),10276343.339999999850988,10276343.339999999850988
FS( 15 ),10036440.879999998956919,10036440.879999998956919
FS( 16 ),10239902.459999999031425,10239902.459999999031425
FS( 17 ),10324931.179999999701977,10324931.179999999701977
FS( 18 ),10288490.300000000745058,10288490.300000000745058
FS( 19 ),10203461.580000000074506,10203461.580000000074506
FS( 20 ),10261159.639999998733401,10261159.639999998733401
FS( 21 ),9981779.559999998658895,9981779.559999998658895
FS( 22 ),9593076.839999999850988,9593076.839999999850988
FS( 23 ),9860309.959999999031425,9860309.959999999031425
FS( 24 ),9969632.599999999627471,9969632.599999999627471
FS( 25 ),10136653.300000000745058,10136653.300000000745058
FS( 26 ),10300637.259999999776483,10300637.259999999776483
FS( 27 ),10525356.019999999552965,10525356.019999999552965
FS( 28 ),10540539.720000000670552,10540539.720000000670552
FS( 29 ),10543576.459999999031425,10543576.459999999031425
FS( 30 ),10449437.519999999552965,10449437.519999999552965
FS( 31 ),10643788.879999998956919,10643788.879999998956919
FS( 32 ),10522319.279999999329448,10522319.279999999329448
FS( 33 ),10917095.480000000447035,10917095.480000000447035
FS( 34 ),10750074.779999999329448,10750074.779999999329448
FS( 35 ),10850287.199999999254942,10850287.199999999254942
FS( 36 ),11193438.820000000298023,11193438.820000000298023
FS( 37 ),11144850.980000000447035,11144850.980000000447035
FS( 38 ),10944426.139999998733401,10944426.139999998733401
FS( 39 ),11099299.879999998956919,11099299.879999998956919
FS( 40 ),11348312.559999998658895,11348312.559999998658895
FS( 41 ),10968720.059999998658895,10968720.059999998658895
FS( 42 ),10871544.379999998956919,10871544.379999998956919
FS( 43 ),10792589.139999998733401,10792589.139999998733401
FS( 44 ),10929242.439999999478459,10929242.439999999478459
FS( 45 ),11068932.480000000447035,11068932.480000000447035
FS( 46 ),11050712.039999999105930,11050712.039999999105930
FS( 47 ),11339202.339999999850988,11339202.339999999850988
FS( 48 ),11521406.739999998360872,11521406.739999998360872
FS( 49 ),11284541.019999999552965,11284541.019999999552965
FS( 50 ),11296687.980000000447035,11296687.980000000447035
FS( 51 ),11557847.620000001043081,11557847.620000001043081
FS( 52 ),11615545.679999999701977,11615545.679999999701977
FS( 53 ),11560884.359999999403954,11560884.359999999403954
FS( 54 ),11491039.339999999850988,11491039.339999999850988
FS( 55 ),11424231.059999998658895,11424231.059999998658895
FS( 56 ),11503186.300000000745058,11503186.300000000745058
FS( 57 ),11254173.620000001043081,11254173.620000001043081
FS( 58 ),11266320.580000000074506,11266320.580000000074506
FS( 59 ),11090189.660000000149012,11090189.660000000149012
FS( 60 ),11075005.959999999031425,11075005.959999999031425
FS( 61 ),11327055.379999998956919,11327055.379999998956919
FS( 62 ),11831154.220000000670552,11831154.220000000670552
FS( 63 ),11910109.459999999031425,11910109.459999999031425
