代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11433449.050000000745058
真實報酬,1433449.050000000745058

夏普值報酬,0.134644905000000
夏普值風險,0.045717652375915
夏普值,2.945140399880516

二次趨勢線,319.344153093427622 x^2 + 5550.900798675660553 x + 10000000.000000000000000
二次平均預期報酬,25350.238290468176274
風險,120737.922248957445845
二次平均趨勢值,0.209960862488563
一次趨勢線,20279.676249887146696 x + 10000000.000000000000000
一次預期報酬,20279.676249887146696
一次風險,181529.458010639151325
一次趨勢值,0.111715621652429
找到最佳解世代,2311
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](2),MRK[17](1),
Stock#,CAT[3](2),MRK[17](1),
張數,59347,99641,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.250000000000000,14.620000000111759,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4977448.140000000596046,4958150.780000000260770,9935598.920000001788139
FS( 3 ),4983382.839999999850988,4913312.330000000074506,9896695.169999999925494
FS( 4 ),5009495.519999999552965,4863491.830000000074506,9872987.349999999627471
FS( 5 ),5074183.750000000000000,4921283.610000000335276,9995467.359999999403954
FS( 6 ),5109198.480000000447035,4938222.580000000074506,10047421.060000000521541
FS( 7 ),5128782.990000000223517,4925269.250000000000000,10054052.240000000223517
FS( 8 ),5061127.410000000149012,4877441.570000000298023,9938568.980000000447035
FS( 9 ),5078338.040000000037253,4814667.740000000223517,9893005.780000001192093
FS( 10 ),5106824.599999999627471,4820646.200000000186265,9927470.800000000745058
FS( 11 ),5185756.109999999403954,4791750.310000000521541,9977506.419999999925494
FS( 12 ),5158456.490000000223517,4772818.519999999552965,9931275.009999999776483
FS( 13 ),5232640.240000000223517,4872459.519999999552965,10105099.759999999776483
FS( 14 ),5195251.630000000819564,4861499.009999999776483,10056750.640000000596046
FS( 15 ),5277743.959999999962747,4914308.740000000223517,10192052.699999999254942
FS( 16 ),5338871.369999999180436,4918294.379999999888241,10257165.750000000000000
FS( 17 ),5395251.019999999552965,4923276.429999999701977,10318527.449999999254942
FS( 18 ),5409494.300000000745058,4954165.139999999664724,10363659.440000001341105
FS( 19 ),5392877.140000000596046,4961140.009999999776483,10354017.150000000372529
FS( 20 ),5392877.140000000596046,4976086.160000000149012,10368963.300000000745058
FS( 21 ),5389316.320000000298023,4987046.669999999925494,10376362.990000000223517
FS( 22 ),5333530.140000000596046,4931247.709999999962747,10264777.850000001490116
FS( 23 ),5330562.790000000037253,4955161.549999999813735,10285724.339999999850988
FS( 24 ),5260533.330000000074506,4956157.959999999962747,10216691.289999999105930
FS( 25 ),5277743.959999999962747,4993025.129999999888241,10270769.089999999850988
FS( 26 ),5290206.830000000074506,4961140.009999999776483,10251346.839999999850988
FS( 27 ),5324034.619999999180436,4934236.940000000409782,10258271.559999998658895
FS( 28 ),5371512.220000000670552,4970107.700000000186265,10341619.920000001788139
FS( 29 ),5334717.080000000074506,5292944.540000000037253,10627661.620000001043081
FS( 30 ),5374479.570000000298023,5280987.620000000111759,10655467.190000001341105
FS( 31 ),5484271.519999999552965,5233159.940000000409782,10717431.460000000894070
FS( 32 ),5460532.720000000670552,5231167.120000000111759,10691699.839999999850988
FS( 33 ),5426704.929999999701977,5176364.570000000298023,10603069.500000000000000
FS( 34 ),5376853.449999999254942,5164407.650000000372529,10541261.099999999627471
FS( 35 ),5319880.330000000074506,5116579.970000000670552,10436460.300000000745058
FS( 36 ),5251037.810000000521541,5141490.220000000670552,10392528.030000001192093
FS( 37 ),5113946.240000000223517,5179353.799999999813735,10293300.039999999105930
FS( 38 ),5417802.880000000819564,5234156.350000000558794,10651959.230000000447035
FS( 39 ),5487832.339999999850988,5268034.290000000037253,10755866.629999998956919
FS( 40 ),5378040.390000000596046,5202271.230000000447035,10580311.620000001043081
FS( 41 ),5531155.650000000372529,5331804.530000000260770,10862960.179999999701977
FS( 42 ),5573292.019999999552965,5277998.389999999664724,10851290.410000000149012
FS( 43 ),5484864.990000000223517,5189317.900000000372529,10674182.890000000596046
FS( 44 ),5489612.750000000000000,5331804.530000000260770,10821417.280000001192093
FS( 45 ),5457565.369999999180436,5333797.350000000558794,10791362.719999998807907
FS( 46 ),5568544.259999999776483,5357711.190000000409782,10926255.449999999254942
FS( 47 ),5630265.140000000596046,5457352.190000000409782,11087617.330000001937151
FS( 48 ),5608306.750000000000000,5469309.110000000335276,11077615.859999999403954
FS( 49 ),5635606.369999999180436,5550018.320000000298023,11185624.689999999478459
FS( 50 ),5707416.240000000223517,5480269.620000000111759,11187685.859999999403954
FS( 51 ),5703855.419999999925494,5490233.720000000670552,11194089.140000000596046
FS( 52 ),5729968.099999999627471,5524111.660000000149012,11254079.759999999776483
FS( 53 ),5730561.570000000298023,5549021.910000000149012,11279583.480000000447035
FS( 54 ),5709790.119999999180436,5484255.259999999776483,11194045.379999998956919
FS( 55 ),5751926.490000000223517,5560978.830000000074506,11312905.320000000298023
FS( 56 ),5786347.750000000000000,5582899.850000000558794,11369247.600000001490116
FS( 57 ),5775665.290000000037253,5597846.000000000000000,11373511.289999999105930
FS( 58 ),5721659.519999999552965,5570942.929999999701977,11292602.449999999254942
FS( 59 ),5768543.650000000372529,5606813.690000000409782,11375357.339999999850988
FS( 60 ),5738870.150000000372529,5645673.679999999701977,11384543.830000000074506
FS( 61 ),5754893.839999999850988,5678555.209999999962747,11433449.050000000745058
