代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11138947.750000000000000
真實報酬,1138947.750000000000000

夏普值報酬,0.105194775000000
夏普值風險,0.032448026857324
夏普值,3.241946743404428

二次趨勢線,-336.205761180040383 x^2 + 36728.576594025944360 x + 10000000.000000000000000
二次平均預期報酬,15211.407878503358006
風險,109109.996127656049794
二次平均趨勢值,0.139413513136838
一次趨勢線,20717.769951373265940 x + 10000000.000000000000000
一次預期報酬,20717.769951373265940
一次風險,187211.696611963852774
一次趨勢值,0.110664933475365
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](2),MCD[15](1),
Stock#,JNJ[12](2),MCD[15](1),
張數,84047,65798,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,43.969999999739230,9.980000000447035,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5055471.019999999552965,5026319.200000000186265,10081790.219999998807907
FS( 3 ),5026054.569999999366701,5040136.780000000260770,10066191.349999999627471
FS( 4 ),5014287.989999999292195,5048032.540000000037253,10062320.529999999329448
FS( 5 ),4999159.529999999329448,5001315.960000000894070,10000475.490000000223517
FS( 6 ),4997478.589999999850988,5003289.900000001303852,10000768.490000002086163
FS( 7 ),5031097.389999999664724,5017107.480000000447035,10048204.870000001043081
FS( 8 ),5037821.149999999441206,5044084.660000000149012,10081905.809999998658895
FS( 9 ),5009245.169999999925494,5059218.200000000186265,10068463.370000001043081
FS( 10 ),5044544.910000000149012,5071061.839999999850988,10115606.750000000000000
FS( 11 ),5089930.290000000037253,5091459.219999999739230,10181389.509999999776483
FS( 12 ),5081525.589999999850988,5066455.980000000447035,10147981.570000000298023
FS( 13 ),5268950.399999999441206,5040136.780000000260770,10309087.179999999701977
FS( 14 ),5411830.299999999813735,5158573.180000000633299,10570403.480000000447035
FS( 15 ),5384935.259999998845160,5060534.160000000149012,10445469.419999998062849
FS( 16 ),5388297.139999999664724,5075009.719999999739230,10463306.859999999403954
FS( 17 ),5458896.620000000111759,5062508.100000000558794,10521404.720000000670552
FS( 18 ),5511005.759999998845160,5123700.240000001154840,10634706.000000000000000
FS( 19 ),5495036.829999999143183,5134227.920000000856817,10629264.750000000000000
FS( 20 ),5523612.809999999590218,5152651.360000000335276,10676264.169999999925494
FS( 21 ),5564795.839999998919666,5174364.700000000186265,10739160.539999999105930
FS( 22 ),5568998.190000000409782,5194104.100000000558794,10763102.290000000968575
FS( 23 ),5519410.459999999962747,5202657.839999999850988,10722068.300000000745058
FS( 24 ),5463939.440000000409782,5171732.780000000260770,10635672.220000000670552
FS( 25 ),5485791.659999999217689,5178312.580000001005828,10664104.240000000223517
FS( 26 ),5516048.579999999143183,5218449.360000000335276,10734497.939999999478459
FS( 27 ),5526974.690000000409782,5244768.559999999590218,10771743.250000000000000
FS( 28 ),5595052.759999998845160,5231608.960000000894070,10826661.719999998807907
FS( 29 ),5647161.899999999441206,5307276.660000000149012,10954438.559999998658895
FS( 30 ),5599255.110000000335276,5312540.500000000000000,10911795.609999999403954
FS( 31 ),5578243.360000000335276,5338859.700000000186265,10917103.060000000521541
FS( 32 ),5580764.770000000484288,5325042.120000001043081,10905806.890000000596046
FS( 33 ),5589169.469999999739230,5362546.980000000447035,10951716.449999999254942
FS( 34 ),5579924.299999999813735,5429002.960000000894070,11008927.260000001639128
FS( 35 ),5521091.399999999441206,5417159.320000000298023,10938250.719999998807907
FS( 36 ),5510165.290000000037253,5428344.980000000447035,10938510.269999999552965
FS( 37 ),5528655.629999999888241,5437556.700000000186265,10966212.330000000074506
FS( 38 ),5571519.600000000558794,5442820.540000000037253,11014340.140000000596046
FS( 39 ),5505962.940000000409782,5423739.120000001043081,10929702.060000002384186
FS( 40 ),5611862.159999999217689,5370442.740000001154840,10982304.900000000372529
FS( 41 ),5655566.600000000558794,5365178.900000001303852,11020745.500000001862645
FS( 42 ),5587488.530000000260770,5328332.020000000484288,10915820.550000000745058
FS( 43 ),5587488.530000000260770,5313198.480000000447035,10900687.010000001639128
FS( 44 ),5554710.200000000186265,5299380.900000001303852,10854091.100000001490116
FS( 45 ),5551348.319999999366701,5309908.580000001005828,10861256.900000000372529
FS( 46 ),5505122.469999999739230,5338859.700000000186265,10843982.169999999925494
FS( 47 ),5558912.549999999813735,5339517.680000000633299,10898430.230000000447035
FS( 48 ),5612702.629999999888241,5346755.460000000894070,10959458.089999999850988
FS( 49 ),5554710.200000000186265,5287537.260000000707805,10842247.460000000894070
FS( 50 ),5596733.700000000186265,5311882.520000000484288,10908616.220000000670552
FS( 51 ),5639597.669999998994172,5360573.040000000037253,11000170.709999999031425
FS( 52 ),5560593.489999999292195,5345439.500000000000000,10906032.989999998360872
FS( 53 ),5574041.009999998845160,5382944.360000000335276,10956985.369999999180436
FS( 54 ),5571519.600000000558794,5429660.940000000409782,11001180.540000000968575
FS( 55 ),5590009.940000000409782,5440846.600000000558794,11030856.540000000968575
FS( 56 ),5588328.999999999068677,5448084.379999999888241,11036413.379999998956919
FS( 57 ),5553029.259999998845160,5438214.680000000633299,10991243.939999999478459
FS( 58 ),5519410.459999999962747,5414527.400000001303852,10933937.860000001266599
FS( 59 ),5468141.790000000037253,5384918.300000000745058,10853060.089999999850988
FS( 60 ),5484110.719999999739230,5416501.339999999850988,10900612.059999998658895
FS( 61 ),5539581.739999999292195,5550071.280000000260770,11089653.019999999552965
FS( 62 ),5573200.540000000037253,5564546.839999999850988,11137747.379999998956919
FS( 63 ),5590850.409999999217689,5548097.339999999850988,11138947.750000000000000
