代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11584787.660000000149012
真實報酬,1584787.660000000149012

夏普值報酬,0.149778766000000
夏普值風險,0.046542667884325
夏普值,3.218095842126082

二次趨勢線,369.050075756932927 x^2 + 1270.751038172795234 x + 10000000.000000000000000
二次平均預期報酬,25628.056038130365778
風險,104596.492494438949507
二次平均趨勢值,0.245018312057576
一次趨勢線,19399.279568675592600 x + 10000000.000000000000000
一次預期報酬,19399.279568675592600
一次風險,206160.863198969222140
一次趨勢值,0.094097780091040
找到最佳解世代,2547
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](11),BA[2](2),MSFT[18](7),NKE[19](1),
Stock#,AAPL[0](11),BA[2](2),MSFT[18](7),NKE[19](1),
張數,38320,23430,78939,75780,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.200000000186265,19.000000000000000,1.869999999646097,17.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2532188.800000000279397,2528116.000000000000000,2517366.579999999608845,2512124.799999999813735,10089796.179999999701977
FS( 3 ),2569742.400000000372529,2518744.000000000000000,2502368.169999999459833,2515913.799999999813735,10106768.370000001043081
FS( 4 ),2546750.399999999906868,2507966.200000000186265,2492895.489999999292195,2521218.399999999906868,10068830.489999998360872
FS( 5 ),2545600.800000000279397,2493439.600000000093132,2530786.209999999962747,2487117.399999999906868,10056944.009999999776483
FS( 6 ),2523758.400000000372529,2479850.200000000186265,2596305.579999999608845,2503031.199999999720603,10102945.379999998956919
FS( 7 ),2487737.600000000093132,2467900.899999999906868,2581307.169999999925494,2512882.599999999627471,10049828.269999999552965
FS( 8 ),2558629.600000000093132,2442362.199999999720603,2594726.799999999348074,2520460.599999999627471,10116179.199999999254942
FS( 9 ),2680104.000000000000000,2488987.899999999906868,2544205.839999999385327,2493937.599999999627471,10207235.339999999850988
FS( 10 ),2728770.399999999906868,2440487.799999999813735,2553678.519999999552965,2437860.399999999906868,10160797.119999999180436
FS( 11 ),2725704.799999999813735,2406982.899999999906868,2509472.679999999701977,2406032.799999999813735,10048193.179999999701977
FS( 12 ),2749846.400000000372529,2424321.100000000093132,2510262.069999999832362,2412095.199999999720603,10096524.769999999552965
FS( 13 ),2779352.800000000279397,2453608.600000000093132,2477897.079999999608845,2451500.799999999813735,10162359.280000001192093
FS( 14 ),2742948.800000000279397,2451499.899999999906868,2496053.049999999813735,2449227.399999999906868,10139729.150000000372529
FS( 15 ),2750229.600000000093132,2434630.299999999813735,2495263.659999999683350,2430282.399999999906868,10110405.960000000894070
FS( 16 ),2753295.200000000186265,2463449.200000000186265,2556836.079999999608845,2457563.199999999720603,10231143.679999999701977
FS( 17 ),2742565.600000000093132,2471415.399999999906868,2743132.119999999646097,2432555.799999999813735,10389668.919999998062849
FS( 18 ),2753295.200000000186265,2472586.899999999906868,2695768.719999999739230,2421946.600000000093132,10343597.419999999925494
FS( 19 ),2674739.200000000186265,2418229.299999999813735,2625513.009999999310821,2380267.599999999627471,10098749.109999999403954
FS( 20 ),2687384.799999999813735,2419635.100000000093132,2606567.649999999906868,2401486.000000000000000,10115073.550000000745058
FS( 21 ),2691600.000000000000000,2458528.900000000372529,2648405.319999999366701,2405274.999999999534339,10203809.219999998807907
FS( 22 ),2667075.200000000186265,2434864.600000000093132,2636564.469999999739230,2380267.599999999627471,10118771.870000001043081
FS( 23 ),2674739.200000000186265,2460403.300000000279397,2516577.189999999478459,2436344.799999999813735,10088064.489999998360872
FS( 24 ),2729920.000000000000000,2492268.100000000093132,2462898.669999999459833,2468172.399999999906868,10153259.169999999925494
FS( 25 ),2711143.200000000186265,2498828.500000000000000,2466056.229999999515712,2477265.999999999534339,10153293.929999999701977
FS( 26 ),2727237.600000000093132,2485239.099999999627471,2458951.719999999739230,2462110.000000000000000,10133538.419999998062849
FS( 27 ),2770922.400000000372529,2511480.699999999720603,2499210.609999999869615,2478023.799999999813735,10259637.509999997913837
FS( 28 ),2707694.399999999906868,2534442.100000000093132,2556836.079999999608845,2531827.599999999627471,10330800.179999999701977
FS( 29 ),2560545.600000000093132,2559277.899999999906868,2584464.729999999981374,2561381.799999999813735,10265670.030000001192093
FS( 30 ),2587752.800000000279397,2572633.000000000000000,2580517.779999999329448,2579568.999999999534339,10320472.580000000074506
FS( 31 ),2544834.399999999906868,2608480.899999999906868,2607357.039999999571592,2573506.600000000093132,10334178.939999999478459
FS( 32 ),2463979.200000000186265,2710167.100000000093132,2589201.069999999366701,2584115.799999999813735,10347463.169999999925494
FS( 33 ),2492719.200000000186265,2743906.299999999813735,2599463.139999999664724,2588662.599999999627471,10424751.239999998360872
FS( 34 ),2543684.799999999813735,2774131.000000000000000,2630249.349999999627471,2632615.000000000000000,10580680.149999998509884
FS( 35 ),2585453.600000000093132,2789126.200000000186265,2655509.829999999608845,2633372.799999999813735,10663462.429999999701977
FS( 36 ),2558629.600000000093132,2732659.899999999906868,2588411.679999999701977,2628825.999999999534339,10508527.179999999701977
FS( 37 ),2685852.000000000465661,2753278.300000000279397,2584464.729999999981374,2613670.000000000000000,10637265.030000001192093
FS( 38 ),2677421.600000000558794,2788189.000000000000000,2562361.809999999590218,2631099.399999999906868,10659071.810000000521541
FS( 39 ),2636036.000000000465661,2776708.300000000279397,2566308.759999999310821,2611396.600000000093132,10590449.660000000149012
FS( 40 ),2661710.399999999906868,2797092.399999999906868,2586832.899999999906868,2665200.399999999906868,10710836.099999999627471
FS( 41 ),2642550.399999999906868,2782097.199999999720603,2626302.399999999906868,2790237.399999999906868,10841187.400000000372529
FS( 42 ),2609978.400000000372529,2753044.000000000000000,2627091.789999999571592,2752347.399999999906868,10742461.589999999850988
FS( 43 ),2671290.399999999906868,2758901.500000000000000,2650773.489999999292195,2744011.600000000093132,10824976.990000000223517
FS( 44 ),2680104.000000000000000,2761010.200000000186265,2677612.750000000000000,2724308.799999999813735,10843035.750000000000000
FS( 45 ),2646382.400000000372529,2700092.199999999720603,2672876.409999999683350,2714457.399999999906868,10733808.410000000149012
FS( 46 ),2644083.200000000186265,2746015.000000000000000,2674455.189999999944121,2733402.399999999906868,10797955.790000000968575
FS( 47 ),2670140.800000000279397,2734065.699999999720603,2628670.569999999366701,2703090.399999999906868,10735967.469999998807907
FS( 48 ),2632970.399999999906868,2704778.199999999720603,2605778.259999999310821,2662927.000000000000000,10606453.859999999403954
FS( 49 ),2663626.400000000372529,2682051.100000000093132,2610514.599999999627471,2686418.799999999813735,10642610.899999998509884
FS( 50 ),2680487.200000000186265,2785846.000000000000000,2664982.509999999310821,2782659.399999999906868,10913975.109999999403954
FS( 51 ),2697731.200000000186265,2764290.399999999906868,2694189.939999999944121,2783417.199999999720603,10939628.739999998360872
FS( 52 ),2715358.400000000372529,2798966.799999999813735,2719450.419999999925494,2806151.199999999720603,11039926.820000000298023
FS( 53 ),2729920.000000000000000,2768976.400000000372529,2722607.979999999981374,2792510.799999999813735,11014015.179999999701977
FS( 54 ),2743332.000000000465661,2819585.200000000186265,2734448.829999999608845,2823580.599999999627471,11120946.630000000819564
FS( 55 ),2761725.600000000093132,2865273.700000000186265,2756551.750000000000000,2824338.399999999906868,11207889.450000001117587
FS( 56 ),2785867.200000000186265,2870662.600000000093132,2759709.309999999590218,2877384.399999999906868,11293623.509999999776483
FS( 57 ),2854076.800000000279397,2846061.100000000093132,2762077.479999999981374,2883446.799999999813735,11345662.179999999701977
FS( 58 ),2846029.600000000093132,2869725.399999999906868,2729712.489999999292195,2878142.199999999720603,11323609.689999997615814
FS( 59 ),2873620.000000000000000,3022957.600000000093132,2664982.509999999310821,2862986.199999999720603,11424546.309999998658895
FS( 60 ),2911940.000000000000000,3022020.399999999906868,2661824.949999999720603,2861470.599999999627471,11457255.949999999254942
FS( 61 ),2879368.000000000000000,3073800.699999999720603,2820492.339999999385327,2868290.799999999813735,11641951.839999999850988
FS( 62 ),2900827.200000000186265,3043107.399999999906868,2807862.099999999627471,2861470.599999999627471,11613267.299999998882413
FS( 63 ),2828402.400000000372529,3037952.799999999813735,2803915.149999999906868,2876626.600000000093132,11546896.949999999254942
FS( 64 ),2873620.000000000000000,3038421.400000000372529,2805493.929999999701977,2884962.399999999906868,11602497.730000000447035
FS( 65 ),2861357.600000000093132,3057634.000000000000000,2795231.859999999403954,2870564.200000000186265,11584787.660000000149012
