代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11008952.349999997764826
真實報酬,1008952.349999997764826

夏普值報酬,0.092195235000000
夏普值風險,0.035236585924250
夏普值,2.616463331555389

二次趨勢線,-559.224320032400442 x^2 + 54733.210622998019971 x + 10000000.000000000000000
二次平均預期報酬,19502.078460956792696
風險,111439.033708350165398
二次平均趨勢值,0.175002221501634
一次趨勢線,28521.248294439319579 x + 10000000.000000000000000
一次預期報酬,28521.248294439319579
一次風險,269288.861752352269832
一次趨勢值,0.105913211964439
找到最佳解世代,2100
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](6),NKE[19](1),UNH[23](3),WBA[27](2),
Stock#,DIS[6](6),NKE[19](1),UNH[23](3),WBA[27](2),
張數,27194,54395,23301,33382,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,55.579999999608845,5.799999999813735,35.709999999962747,22.020000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2559010.979999999515712,2539164.399999999906868,2512116.520000000018626,2496661.800000000279397,10106953.699999999254942
FS( 3 ),2754263.899999999441206,2516862.450000000186265,2514679.629999999888241,2492655.959999999962747,10278461.939999999478459
FS( 4 ),2791247.739999999757856,2538620.449999999720603,2535650.529999999795109,2496661.800000000279397,10362180.519999999552965
FS( 5 ),2774387.459999999497086,2496736.299999999813735,2507223.310000000055879,2542061.320000000298023,10320408.390000000596046
FS( 6 ),2766501.199999999720603,2479873.850000000093132,2481359.199999999720603,2550406.820000000298023,10278141.070000000298023
FS( 7 ),2771668.059999999590218,2522845.899999999906868,2539145.680000000167638,2560087.600000000093132,10393747.239999998360872
FS( 8 ),2770308.359999999869615,2483681.499999999534339,2559650.560000000055879,2654892.479999999981374,10468532.900000000372529
FS( 9 ),2816810.099999999627471,2502175.799999999813735,2559417.549999999813735,2669246.739999999757856,10547650.189999999478459
FS( 10 ),2832854.559999999590218,2503263.700000000186265,2550097.149999999906868,2628186.880000000353903,10514402.290000000968575
FS( 11 ),2831494.859999999869615,2498368.149999999906868,2557553.470000000204891,2603818.020000000018626,10491234.500000000000000
FS( 12 ),2824424.419999999459833,2546235.750000000000000,2557786.479999999981374,2596807.800000000279397,10525254.450000001117587
FS( 13 ),2825240.239999999757856,2548411.549999999813735,2563844.739999999757856,2573774.219999999739230,10511270.750000000000000
FS( 14 ),2843188.279999999329448,2582136.449999999720603,2624194.330000000074506,2574775.679999999701977,10624294.739999998360872
FS( 15 ),2855153.639999999664724,2584312.249999999534339,2712272.109999999869615,2623513.399999999906868,10775251.399999998509884
FS( 16 ),2846451.559999999590218,2595191.250000000000000,2689670.140000000130385,2683601.000000000000000,10814913.949999999254942
FS( 17 ),2870926.159999999217689,2633267.749999999534339,2657514.759999999776483,2670915.840000000316650,10832624.509999997913837
FS( 18 ),2843460.219999999739230,2638163.299999999813735,2648427.370000000111759,2725662.320000000298023,10855713.210000000894070
FS( 19 ),2830407.099999999627471,2641427.000000000000000,2647728.339999999850988,2773398.580000000074506,10892961.019999999552965
FS( 20 ),2879628.239999999757856,2686030.899999999906868,2665670.109999999869615,2791424.860000000335276,11022754.109999999403954
FS( 21 ),2892137.479999999515712,2664816.850000000093132,2629786.569999999832362,2777738.239999999757856,10964479.140000000596046
FS( 22 ),2870926.159999999217689,2652305.999999999534339,2652155.529999999795109,2771395.659999999683350,10946783.349999997764826
FS( 23 ),2856241.399999999441206,2677871.649999999441206,2674757.500000000000000,2777404.419999999925494,10986274.969999998807907
FS( 24 ),2823336.659999999217689,2635987.500000000000000,2630252.589999999850988,2749029.719999999739230,10838606.469999998807907
FS( 25 ),2862496.019999999552965,2650130.199999999720603,2677320.609999999869615,2787419.020000000018626,10977365.849999997764826
FS( 26 ),2803485.039999999571592,2625108.499999999534339,2620466.169999999925494,2761381.060000000055879,10810440.769999999552965
FS( 27 ),2798046.239999999757856,2593015.449999999720603,2626524.430000000167638,2754370.840000000316650,10771956.959999999031425
FS( 28 ),2914436.559999999590218,2639251.200000000186265,2676854.589999999850988,2812455.520000000018626,11042997.869999999180436
FS( 29 ),2894584.939999999478459,2606070.249999999534339,2685475.959999999962747,2794763.060000000055879,10980894.209999999031425
FS( 30 ),2919875.359999999869615,2622932.699999999720603,2761670.229999999981374,2896578.159999999683350,11201056.449999999254942
FS( 31 ),2908725.819999999366701,2625652.450000000186265,2740233.310000000055879,2879553.340000000316650,11154164.919999999925494
FS( 32 ),2936191.759999999776483,2652305.999999999534339,2795223.669999999925494,2910264.780000000260770,11293986.210000000894070
FS( 33 ),2919875.359999999869615,2674063.999999999534339,2813864.470000000204891,2916273.540000000037253,11324077.370000001043081
FS( 34 ),2948701.000000000000000,2773606.850000000093132,2776116.850000000093132,2945315.880000000353903,11443740.580000000074506
FS( 35 ),2942990.259999999776483,2759464.149999999441206,2773786.750000000000000,2934967.459999999962747,11411208.620000001043081
FS( 36 ),2912804.919999999459833,2737706.149999999906868,2752349.830000000074506,2937638.020000000018626,11340498.919999998062849
FS( 37 ),2855425.579999999608845,2692558.299999999813735,2715534.250000000000000,2866868.179999999701977,11130386.309999998658895
FS( 38 ),2861952.139999999664724,2701805.449999999720603,2708776.959999999962747,2818798.100000000093132,11091332.650000000372529
FS( 39 ),2868478.699999999720603,2716492.099999999627471,2749786.720000000204891,2847172.800000000279397,11181930.320000000298023
FS( 40 ),2885882.859999999869615,2744233.549999999813735,2819456.709999999962747,2870540.199999999720603,11320113.320000000298023
FS( 41 ),2852434.239999999757856,2729002.949999999720603,2756311.000000000000000,2826809.780000000260770,11164557.969999998807907
FS( 42 ),2867390.939999999478459,2707788.899999999906868,2736738.160000000149012,2812789.340000000316650,11124707.339999999850988
FS( 43 ),2882619.579999999608845,2710508.649999999906868,2734641.069999999832362,2869872.560000000055879,11197641.859999999403954
FS( 44 ),2872557.799999999348074,2712684.449999999720603,2742563.410000000149012,2937971.840000000316650,11265777.500000000000000
FS( 45 ),2867119.000000000000000,2709420.750000000000000,2734408.060000000055879,2913602.979999999981374,11224550.790000000968575
FS( 46 ),2892409.419999999459833,2742601.699999999720603,2753980.899999999906868,2926955.780000000260770,11315947.800000000745058
FS( 47 ),2903558.959999999497086,2739338.000000000000000,2762369.259999999776483,3091862.860000000335276,11497129.079999998211861
FS( 48 ),2908453.879999999888241,2719211.850000000093132,2772854.709999999962747,3071833.659999999683350,11472354.100000001490116
FS( 49 ),2896488.519999999552965,2700173.599999999627471,2781476.080000000074506,3061485.239999999757856,11439623.439999999478459
FS( 50 ),2900567.619999999646097,2707244.950000000186265,2794291.629999999888241,3070498.380000000353903,11472602.580000000074506
FS( 51 ),2909269.699999999720603,2715404.199999999720603,2733709.029999999795109,3055810.300000000279397,11414193.230000000447035
FS( 52 ),2939726.979999999515712,2717036.049999999813735,2833437.310000000055879,2988378.659999999683350,11478579.000000000000000
