代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11151219.240000000223517
真實報酬,1151219.240000000223517

夏普值報酬,0.106421924000000
夏普值風險,0.040117860274661
夏普值,2.652731807514094

二次趨勢線,72.412511038872537 x^2 + 17499.058370990867843 x + 10000000.000000000000000
二次平均預期報酬,22205.871588517580676
風險,64629.019013454148080
二次平均趨勢值,0.343589798011554
一次趨勢線,21001.803091010733624 x + 10000000.000000000000000
一次預期報酬,21001.803091010733624
一次風險,72935.766407539791544
一次趨勢值,0.287949302865482
找到最佳解世代,1932
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),CSCO[4](5),CVX[5](10),DIS[6](6),INTC[11](1),VZ[26](7),
Stock#,AAPL[0](3),CSCO[4](5),CVX[5](10),DIS[6](6),INTC[11](1),VZ[26](7),
張數,19723,72432,13339,20948,63011,35295,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.500000000000000,5.679999999934807,91.340000000083819,43.119999999878928,25.050000000046566,36.100000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1669624.450000000186265,1661595.760000000009313,1663731.420000000158325,1682377.000000000000000,1664145.560000000055879,1663136.500000000000000,10004614.689999999478459
FS( 3 ),1693292.049999999813735,1663044.399999999906868,1672268.380000000121072,1701439.679999999934807,1649022.920000000158325,1672666.150000000139698,10051737.580000000074506
FS( 4 ),1674949.660000000149012,1645660.719999999739230,1667066.170000000158325,1697459.559999999823049,1650913.250000000000000,1675489.750000000000000,10011543.109999999403954
FS( 5 ),1669032.760000000009313,1656525.520000000018626,1683873.310000000055879,1681958.040000000037253,1661625.120000000111759,1697725.600000000093132,10050744.349999999627471
FS( 6 ),1656804.500000000000000,1667390.319999999832362,1668666.850000000093132,1709399.919999999692664,1659734.790000000037253,1711490.650000000139698,10073491.029999999329448
FS( 7 ),1649901.450000000186265,1667390.319999999832362,1667866.510000000009313,1716731.719999999972060,1657214.350000000093132,1711137.699999999953434,10070246.049999998882413
FS( 8 ),1670413.369999999878928,1679703.760000000009313,1670667.699999999953434,1726577.280000000027940,1661625.120000000111759,1699843.300000000046566,10108834.530000001192093
FS( 9 ),1672977.359999999869615,1655801.199999999953434,1678804.489999999990687,1719454.959999999729916,1666666.000000000000000,1688901.850000000093132,10082609.859999999403954
FS( 10 ),1673371.820000000065193,1652179.599999999860302,1686407.720000000204891,1695155.280000000027940,1659104.679999999934807,1694549.050000000046566,10060772.150000000372529
FS( 11 ),1659171.260000000009313,1751411.439999999944121,1651592.930000000167638,1679025.320000000065193,1638941.160000000149012,1692784.300000000046566,10072930.410000002011657
FS( 12 ),1683627.780000000027940,1765173.520000000018626,1643189.360000000102445,1684052.839999999850988,1626969.070000000065193,1731961.750000000000000,10134978.320000000298023
FS( 13 ),1703548.010000000009313,1763724.880000000121072,1640121.390000000130385,1697878.519999999785796,1640831.489999999990687,1734785.350000000093132,10180893.639999998733401
FS( 14 ),1703942.469999999972060,1747065.520000000018626,1634118.840000000083819,1698716.439999999944121,1640831.489999999990687,1717137.850000000093132,10141816.609999999403954
