代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344803.910000000149012
真實報酬,1344803.910000000149012

夏普值報酬,0.125780391000000
夏普值風險,0.038597846373446
夏普值,3.258741168692092

二次趨勢線,384.212264602719358 x^2 + -4964.149863275816642 x + 10000000.000000000000000
二次平均預期報酬,20393.859600503659749
風險,46057.299641066732875
二次平均趨勢值,0.442793211053120
一次趨勢線,13909.177791063890254 x + 10000000.000000000000000
一次預期報酬,13909.177791063890254
一次風險,190603.839306171663338
一次趨勢值,0.072974279225935
找到最佳解世代,2176
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,6
AXP[1](2),CAT[3](1),IBM[10](14),INTC[11](3),MCD[15](17),V[25](4),
Stock#,AXP[1](2),CAT[3](1),IBM[10](14),INTC[11](3),MCD[15](17),V[25](4),
張數,19552,14736,11470,45850,10819,16522,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,53.520000000018626,24.400000000139698,74.999999999767169,18.500000000000000,107.239999999990687,91.859999999869615,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1667839.119999999878928,1666518.640000000130385,1656916.499999999534339,1679962.500000000000000,1694254.449999999953434,1673440.019999999785796,10038935.230000000447035
FS( 3 ),1672531.600000000093132,1673444.560000000288710,1662536.799999999813735,1673085.000000000000000,1674022.919999999925494,1662039.839999999850988,10017664.719999998807907
FS( 4 ),1680938.959999999962747,1685086.000000000000000,1665060.199999999720603,1664373.499999999767169,1664285.819999999832362,1666996.439999999944121,10026744.919999999925494
FS( 5 ),1678592.719999999972060,1690390.959999999962747,1645675.899999999674037,1670334.000000000000000,1676727.669999999925494,1676909.639999999897555,10038634.889999998733401
FS( 6 ),1680352.399999999906868,1685970.160000000149012,1630076.699999999953434,1669416.999999999767169,1676186.719999999739230,1673440.019999999785796,10015447.000000000000000
FS( 7 ),1675464.399999999906868,1684938.640000000130385,1626176.899999999906868,1677670.000000000232831,1676186.719999999739230,1668318.199999999953434,10008758.859999999403954
FS( 8 ),1653370.640000000130385,1667402.800000000279397,1626979.799999999813735,1657037.500000000000000,1694579.020000000018626,1643865.639999999897555,9943239.400000000372529
FS( 9 ),1648091.600000000093132,1662982.000000000000000,1626979.799999999813735,1644657.999999999767169,1701935.940000000176951,1653778.839999999850988,9938430.179999999701977
FS( 10 ),1671162.959999999962747,1675654.959999999962747,1632485.399999999674037,1666207.500000000232831,1701503.179999999934807,1683188.000000000000000,10030206.000000000000000
FS( 11 ),1696971.600000000093132,1674770.800000000279397,1629617.899999999674037,1650618.500000000000000,1705398.020000000018626,1695744.719999999739230,10053125.539999999105930
FS( 12 ),1708702.800000000046566,1681696.720000000204891,1634549.999999999767169,1641907.000000000000000,1719246.340000000083819,1707144.899999999674037,10093251.759999999776483
FS( 13 ),1683285.200000000186265,1667255.440000000176951,1613903.999999999534339,1612563.000000000000000,1708319.149999999906868,1687979.379999999888241,9973310.170000001788139
FS( 14 ),1669403.280000000027940,1678749.520000000251457,1602433.999999999534339,1605227.000000000000000,1706912.679999999934807,1693762.079999999841675,9956492.559999998658895
FS( 15 ),1667839.119999999878928,1674034.000000000000000,1609660.099999999860302,1601100.500000000000000,1713404.080000000074506,1705492.699999999953434,9971534.500000000000000
FS( 16 ),1667839.119999999878928,1706747.919999999925494,1617459.699999999720603,1588721.000000000000000,1727252.399999999906868,1719536.399999999674037,10027560.540000000968575
FS( 17 ),1667448.080000000074506,1690980.400000000139698,1630420.799999999580905,1589179.499999999767169,1718272.630000000121072,1704831.820000000065193,10001137.230000000447035
FS( 18 ),1669012.239999999990687,1691422.480000000214204,1639596.799999999813735,1591472.000000000000000,1713945.030000000027940,1705492.699999999953434,10010945.250000000000000
FS( 19 ),1671162.959999999962747,1699822.000000000000000,1648772.799999999813735,1589638.000000000000000,1718380.819999999832362,1707640.559999999823049,10035421.140000000596046
FS( 20 ),1669989.839999999850988,1695695.919999999925494,1634664.699999999720603,1588721.000000000000000,1727576.969999999739230,1714745.019999999785796,10031397.449999999254942
FS( 21 ),1670185.360000000102445,1709547.760000000242144,1641890.799999999580905,1592388.999999999767169,1724439.459999999962747,1714579.799999999813735,10053036.179999999701977
FS( 22 ),1675464.399999999906868,1732241.200000000186265,1635238.199999999720603,1599725.000000000000000,1726062.310000000055879,1713918.919999999925494,10082654.029999999329448
FS( 23 ),1683480.719999999972060,1731357.040000000037253,1640629.099999999860302,1607978.000000000000000,1730822.669999999925494,1710449.299999999813735,10104720.829999998211861
FS( 24 ),1684262.800000000046566,1742998.480000000214204,1652672.599999999860302,1608895.000000000232831,1729091.630000000121072,1716727.659999999916181,10134652.169999999925494
FS( 25 ),1668034.640000000130385,1743293.200000000186265,1640743.799999999580905,1605685.500000000232831,1721410.139999999897555,1702023.079999999841675,10081194.359999999403954
FS( 26 ),1666470.479999999981374,1723841.680000000167638,1649690.399999999674037,1639614.500000000000000,1711889.419999999925494,1704831.820000000065193,10096342.300000000745058
FS( 27 ),1650437.839999999850988,1735483.120000000111759,1639137.999999999767169,1629527.500000000000000,1730065.340000000083819,1727632.179999999934807,10112287.980000000447035
FS( 28 ),1647309.520000000018626,1736219.919999999925494,1633976.499999999534339,1613480.000000000000000,1728009.729999999981374,1725484.320000000065193,10084483.990000000223517
FS( 29 ),1675464.399999999906868,1751692.720000000204891,1661619.199999999953434,1640073.000000000232831,1747700.310000000055879,1753902.159999999916181,10230455.790000000968575
FS( 30 ),1692279.119999999878928,1782196.239999999990687,1671942.199999999720603,1654745.000000000232831,1691441.510000000242144,1754893.479999999748543,10247501.550000000745058
FS( 31 ),1694038.800000000046566,1762892.080000000074506,1674580.299999999813735,1665749.000000000000000,1698690.239999999990687,1748615.119999999878928,10244569.539999999105930
FS( 32 ),1685240.399999999906868,1775417.680000000167638,1669418.799999999580905,1672626.499999999767169,1698690.239999999990687,1752745.619999999878928,10254143.239999998360872
FS( 33 ),1700882.000000000000000,1788532.720000000204891,1661160.399999999674037,1696468.500000000000000,1697824.719999999739230,1739858.459999999729916,10284730.799999998882413
FS( 34 ),1718087.760000000009313,1824783.280000000027940,1658063.500000000000000,1696468.500000000000000,1695228.160000000149012,1732093.119999999878928,10324728.319999998435378
FS( 35 ),1740181.520000000018626,1838193.040000000037253,1656228.299999999580905,1707013.999999999767169,1703342.410000000149012,1741675.879999999888241,10386639.149999998509884
FS( 36 ),1729036.880000000121072,1839814.000000000000000,1673318.599999999627471,1699678.000000000000000,1729848.959999999962747,1741675.879999999888241,10413376.320000000298023
FS( 37 ),1728841.360000000102445,1838929.840000000316650,1666207.199999999720603,1705638.500000000232831,1720652.810000000055879,1740023.679999999934807,10400297.390000000596046
FS( 38 ),1728450.320000000065193,1833624.880000000353903,1664716.099999999627471,1704721.500000000000000,1719354.530000000027940,1744154.179999999934807,10395025.509999999776483
FS( 39 ),1724735.439999999944121,1832003.919999999925494,1673203.899999999906868,1703804.499999999767169,1690684.179999999934807,1702188.299999999813735,10326624.239999998360872
FS( 40 ),1734120.399999999906868,1834803.760000000242144,1681118.199999999720603,1718018.000000000000000,1659200.889999999897555,1700866.539999999804422,10328131.789999999105930
FS( 41 ),1749762.000000000000000,1834951.120000000111759,1670795.199999999720603,1721227.500000000000000,1666774.190000000176951,1716562.439999999944121,10360076.449999999254942
FS( 42 ),1762470.800000000046566,1845413.680000000167638,1670795.199999999720603,1734524.000000000000000,1703991.550000000046566,1727962.619999999878928,10445161.849999999627471
