代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12183300.009999997913837
真實報酬,2183300.009999997913837

夏普值報酬,0.209630001000000
夏普值風險,0.063348930908057
夏普值,3.309132419365576

二次趨勢線,504.199037661929538 x^2 + 6524.430808920605159 x + 10000000.000000000000000
二次平均預期報酬,37784.771143960235349
風險,74212.112687325046863
二次平均趨勢值,0.509145606771193
一次趨勢線,29779.074228889076039 x + 10000000.000000000000000
一次預期報酬,29779.074228889076039
一次風險,226524.256675977230771
一次趨勢值,0.131460862805017
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),HD[9](3),IBM[10](22),MSFT[18](2),V[25](6),
Stock#,AAPL[0](1),HD[9](3),IBM[10](22),MSFT[18](2),V[25](6),
張數,36088,50838,10556,79113,81833,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,3.040000000037253,33.079999999841675,165.800000000046566,23.359999999869615,1.479999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2009022.000000000000000,2030502.799999999813735,2002216.760000000009313,1995253.219999999739230,1988543.380000000121072,10025538.160000000149012
FS( 3 ),2025983.360000000102445,2045245.819999999599531,2014672.840000000083819,2033227.459999999729916,1965630.139999999897555,10084759.619999999180436
FS( 4 ),2015517.840000000083819,2049821.239999999757856,2036840.439999999944121,2030062.939999999944121,1950900.199999999953434,10083142.659999998286366
FS( 5 ),2005774.080000000074506,2070664.819999999599531,2048557.600000000093132,2025316.159999999916181,1986088.389999999897555,10136401.050000000745058
FS( 6 ),2014074.320000000065193,2028977.659999999683350,2022484.280000000260770,2009493.559999999823049,1959901.829999999841675,10034931.649999998509884
FS( 7 ),2029231.280000000027940,2045245.819999999599531,2053941.160000000149012,2033227.459999999729916,1988543.380000000121072,10150189.099999999627471
FS( 8 ),2020209.280000000027940,2036094.979999999748543,2028817.880000000121072,2018195.989999999990687,1982815.070000000065193,10086133.199999999254942
FS( 9 ),2004330.560000000055879,2008642.459999999729916,2017945.200000000186265,2037974.239999999990687,1962356.820000000065193,10031249.279999999329448
FS( 10 ),1959942.320000000065193,1989832.399999999906868,1992294.120000000111759,2024525.029999999795109,1971358.449999999953434,9937952.319999998435378
FS( 11 ),1953446.480000000214204,2004067.040000000037253,1979204.679999999934807,2022151.639999999664724,1960720.160000000149012,9919590.000000000000000
FS( 12 ),1964272.880000000121072,2054905.040000000037253,1937930.719999999972060,2056961.359999999869615,1993453.359999999869615,10007523.359999999403954
FS( 13 ),1970407.840000000083819,2043720.679999999934807,1930752.639999999897555,2019778.250000000000000,2017184.929999999934807,9981844.339999999850988
FS( 14 ),2041140.320000000065193,2132687.179999999701977,1976671.240000000223517,2059334.750000000000000,2073649.699999999953434,10283483.189999999478459
FS( 15 ),2044027.360000000102445,2135229.080000000074506,1915763.120000000111759,2037974.239999999990687,2060556.419999999925494,10193550.220000000670552
FS( 16 ),2054853.760000000009313,2131162.040000000037253,1921780.040000000037253,2041929.889999999664724,2057283.100000000093132,10207008.830000000074506
FS( 17 ),2079393.599999999860302,2139804.500000000000000,1950386.800000000046566,2059334.750000000000000,2096562.940000000176951,10325482.589999999850988
FS( 18 ),2095994.080000000074506,2146413.439999999478459,1952498.000000000000000,2060125.879999999888241,2085106.320000000065193,10340137.719999998807907
FS( 19 ),2075784.800000000046566,2111335.219999999739230,1942364.240000000223517,2042721.019999999785796,2060556.419999999925494,10232761.699999999254942
FS( 20 ),2088415.599999999860302,2135737.459999999962747,1965481.880000000121072,2058543.619999999878928,2110474.549999999813735,10358653.109999999403954
FS( 21 ),2088054.719999999972060,2137262.599999999627471,1941203.080000000074506,2053796.839999999850988,2076923.019999999785796,10297240.259999999776483
FS( 22 ),2120173.040000000037253,2142346.399999999441206,1966748.600000000093132,2117878.369999999646097,2107201.229999999981374,10454347.639999998733401
FS( 23 ),2131360.320000000298023,2172849.200000000186265,1958726.040000000037253,2167719.559999999590218,2069558.049999999813735,10500213.170000001788139
FS( 24 ),2155178.399999999906868,2190642.500000000000000,1949436.760000000009313,2189871.199999999720603,2085106.320000000065193,10570235.179999999701977
FS( 25 ),2177552.959999999962747,2196234.679999999701977,1927058.040000000037253,2223889.790000000037253,2060556.419999999925494,10585291.889999998733401
