代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11152992.899999998509884
真實報酬,1152992.899999998509884

夏普值報酬,0.106599290000000
夏普值風險,0.036363135744606
夏普值,2.931520833315726

二次趨勢線,79.025251982651554 x^2 + 15544.165401970663879 x + 10000000.000000000000000
二次平均預期報酬,20680.806780843016895
風險,139375.143060943053570
二次平均趨勢值,0.148382317869982
一次趨勢線,19366.782242061715806 x + 10000000.000000000000000
一次預期報酬,19366.782242061715806
一次風險,144174.833483075490221
一次趨勢值,0.134328452297711
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](1),INTC[11](4),NKE[19](2),
Stock#,CVX[5](1),INTC[11](4),NKE[19](2),
張數,29751,69676,50261,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,30.959999999962747,33.159999999683350,23.480000000447035,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3321432.600000000093132,3412763.639999999664724,3311720.770000000484288,10045918.010000001639128
FS( 3 ),3366356.610000000335276,3466414.159999999683350,3269501.530000000260770,10102273.300000000745058
FS( 4 ),3381232.110000000335276,3533303.119999999646097,3279051.120000000111759,10193587.350000001490116
FS( 5 ),3386884.800000000279397,3575805.479999999515712,3225271.850000000558794,10187963.129999998956919
FS( 6 ),3372306.809999999590218,3535393.399999999906868,3272517.190000000409782,10180218.399999998509884
FS( 7 ),3487443.179999999701977,3636423.599999999627471,3332327.780000000260770,10456195.559999998658895
FS( 8 ),3474650.250000000000000,3589740.679999999701977,3358463.500000000000000,10422855.429999999701977
FS( 9 ),3464832.419999999925494,3607856.439999999944121,3325793.850000000558794,10398483.710000000894070
FS( 10 ),3425263.589999999850988,3613430.519999999552965,3327301.680000000633299,10365996.789999999105930
FS( 11 ),3438651.540000000037253,3545148.040000000037253,3336851.270000000484288,10320651.850000001490116
FS( 12 ),3433296.360000000335276,3565354.079999999608845,3312725.990000000223517,10311377.429999999701977
FS( 13 ),3388372.350000000093132,3541664.239999999757856,3302673.790000000037253,10232711.379999998956919
FS( 14 ),3406520.459999999962747,3591830.959999999497086,3357458.280000000260770,10355810.699999999254942
FS( 15 ),3482088.000000000000000,3592527.719999999739230,3334840.830000000074506,10409457.550000000745058
FS( 16 ),3382719.660000000149012,3541664.239999999757856,3237837.100000000558794,10162222.000000000000000
FS( 17 ),3361298.939999999944121,3439240.519999999552965,3248391.910000000149012,10048932.369999999180436
FS( 18 ),3431808.809999999590218,3656629.639999999664724,3312223.380000000819564,10400662.830000000074506
FS( 19 ),3411280.619999999646097,3566747.599999999627471,3325793.850000000558794,10303823.070000000298023
FS( 20 ),3335118.059999999590218,3455962.759999999776483,3289103.320000000298023,10080185.140000000596046
FS( 21 ),3392835.000000000000000,3628759.239999999757856,3339364.320000000298023,10360959.560000000521541
FS( 22 ),3339283.199999999720603,3408583.079999999608845,3222758.800000000745058,9970626.080000000074506
FS( 23 ),3416338.290000000037253,3466414.159999999683350,3352432.180000000633299,10235185.629999998956919
FS( 24 ),3405925.439999999944121,3483136.399999999906868,3438881.100000000558794,10327943.940000001341105
FS( 25 ),3489525.750000000000000,3510310.040000000037253,3497686.470000000670552,10497523.260000001639128
FS( 26 ),3414255.720000000204891,3399525.199999999720603,3395154.030000000260770,10208935.949999999254942
FS( 27 ),3450551.939999999944121,3452478.959999999497086,3376557.460000000894070,10279589.359999999403954
FS( 28 ),3535937.309999999590218,3572321.679999999701977,3367510.480000000447035,10475770.469999998807907
FS( 29 ),3547837.709999999962747,3560476.759999999776483,3358966.110000000335276,10467281.580000000074506
FS( 30 ),3547242.689999999944121,3673351.879999999422580,3406211.450000000186265,10626807.019999999552965
FS( 31 ),3567770.879999999888241,3613430.519999999552965,3380075.730000000447035,10561278.129999998956919
FS( 32 ),3590976.660000000149012,3651055.559999999590218,3370526.140000000596046,10612559.359999999403954
FS( 33 ),3590976.660000000149012,3730486.199999999720603,3393143.590000000782311,10714607.449999999254942
FS( 34 ),3683799.779999999795109,3735363.519999999552965,3327301.680000000633299,10746465.980000000447035
FS( 35 ),3680527.169999999925494,3638513.879999999422580,3303679.010000000707805,10622721.059999998658895
FS( 36 ),3638875.770000000018626,3590437.439999999944121,3321772.970000000670552,10551087.179999999701977
FS( 37 ),3676659.540000000037253,3560476.759999999776483,3361479.160000000149012,10598616.460000000894070
FS( 38 ),3645718.500000000000000,3584863.359999999869615,3366002.650000000372529,10596585.509999999776483
FS( 39 ),3651073.679999999701977,3579986.040000000037253,3350924.350000000558794,10581985.070000000298023
FS( 40 ),3695700.179999999701977,3696344.959999999497086,3420284.530000000260770,10812330.669999998062849
FS( 41 ),3767102.580000000074506,3674048.639999999664724,3496178.640000000596046,10937330.859999999403954
FS( 42 ),3722178.569999999832362,3596708.279999999329448,3437373.270000000484288,10756261.120000001043081
FS( 43 ),3714740.819999999832362,3715854.239999999757856,3422797.580000000074506,10853393.640000000596046
FS( 44 ),3733483.949999999720603,3644784.719999999739230,3430839.340000000782311,10809109.010000001639128
FS( 45 ),3748954.470000000204891,3642694.439999999944121,3362484.380000000819564,10754134.290000000968575
FS( 46 ),3734673.990000000223517,3677532.439999999944121,3422797.580000000074506,10835005.009999999776483
FS( 47 ),3717120.899999999906868,3715854.239999999757856,3485121.220000000670552,10918097.359999999403954
FS( 48 ),3765615.029999999795109,3736757.040000000037253,3440891.540000000037253,10943264.609999999403954
FS( 49 ),3829579.679999999701977,3786227.000000000000000,3415258.430000000633299,11031066.109999999403954
FS( 50 ),3832554.779999999795109,3830819.639999999664724,3413750.600000000558794,11077126.019999999552965
FS( 51 ),3862900.800000000279397,3809220.079999999608845,3439383.710000000894070,11111505.589999999850988
FS( 52 ),3879263.849999999627471,3825245.559999999590218,3459990.720000000670552,11164501.129999998956919
FS( 53 ),3859925.700000000186265,3756963.079999999608845,3493162.980000000447035,11110052.759999999776483
