代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11438842.050000000745058
真實報酬,1438842.050000000745058

夏普值報酬,0.135184205000000
夏普值風險,0.046597751752346
夏普值,2.901088570076642

二次趨勢線,196.822310486775507 x^2 + 9925.234123873200588 x + 10000000.000000000000000
二次平均預期報酬,22915.506616000388021
風險,147428.526978007226717
二次平均趨勢值,0.155434684763681
一次趨勢線,19593.566703891541692 x + 10000000.000000000000000
一次預期報酬,19593.566703891541692
一次風險,175249.449578900093911
一次趨勢值,0.111803870146081
找到最佳解世代,2343
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),VZ[26](2),
Stock#,AAPL[0](1),VZ[26](2),
張數,23988,90481,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,181.160000000149012,19.940000000409782,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4894212.920000000856817,5029858.730000000447035,9924071.650000002235174
FS( 3 ),4638021.080000000074506,4996380.760000000707805,9634401.839999999850988
FS( 4 ),4725817.160000000149012,4980998.990000000223517,9706816.150000000372529
FS( 5 ),4774752.679999999701977,4984618.230000000447035,9759370.910000000149012
FS( 6 ),4880060.000000000000000,5050669.360000000335276,9930729.359999999403954
FS( 7 ),4821529.280000000260770,5047050.120000000111759,9868579.400000000372529
FS( 8 ),4809295.399999999441206,5038906.830000000074506,9848202.230000000447035
FS( 9 ),5012953.520000000484288,5100433.910000000149012,10113387.429999999701977
FS( 10 ),4863748.160000000149012,5041621.260000000707805,9905369.420000001788139
FS( 11 ),4839520.280000000260770,5094100.240000000223517,9933620.519999999552965
FS( 12 ),4953703.160000000149012,5125768.589999999850988,10079471.750000000000000
FS( 13 ),5046056.959999999962747,5157436.940000000409782,10203493.900000000372529
FS( 14 ),5046296.840000000782311,5091385.810000000521541,10137682.650000002235174
FS( 15 ),5100989.479999999515712,5120339.730000000447035,10221329.210000000894070
FS( 16 ),5096671.640000000596046,5137531.120000000111759,10234202.760000001639128
FS( 17 ),4861109.479999999515712,5059717.460000000894070,9920826.940000001341105
FS( 18 ),4953463.280000000260770,5131197.450000000186265,10084660.730000000447035
FS( 19 ),4897571.240000000223517,5173723.520000000484288,10071294.760000001639128
FS( 20 ),4930434.799999999813735,5243393.890000000596046,10173828.690000001341105
FS( 21 ),5013913.040000000037253,5242489.080000000074506,10256402.120000001043081
FS( 22 ),5007436.280000000260770,5262394.900000000372529,10269831.179999999701977
FS( 23 ),4934512.759999999776483,5251537.180000000633299,10186049.940000001341105
FS( 24 ),5018230.879999999888241,5264204.520000000484288,10282435.400000000372529
FS( 25 ),5116341.799999999813735,5301301.730000000447035,10417643.530000001192093
FS( 26 ),5115862.040000000037253,5343827.800000000745058,10459689.839999999850988
FS( 27 ),5137691.120000000111759,5307635.400000000372529,10445326.519999999552965
FS( 28 ),5198380.759999999776483,5402640.450000000186265,10601021.210000000894070
FS( 29 ),5363658.080000000074506,5440642.470000000670552,10804300.550000000745058
FS( 30 ),5351664.080000000074506,5467786.770000000484288,10819450.850000001490116
FS( 31 ),5247556.160000000149012,5425260.700000000186265,10672816.859999999403954
FS( 32 ),5275142.360000000335276,5383639.440000000409782,10658781.800000000745058
FS( 33 ),5294332.759999999776483,5417117.410000000149012,10711450.169999999925494
FS( 34 ),5343987.920000000856817,5422546.270000000484288,10766534.190000001341105
FS( 35 ),5300569.640000000596046,5427070.320000000298023,10727639.960000000894070
FS( 36 ),5223088.399999999441206,5455119.430000000633299,10678207.830000000074506
FS( 37 ),5246836.520000000484288,5447880.950000000186265,10694717.470000000670552
FS( 38 ),5221889.000000000000000,5475025.250000000000000,10696914.250000000000000
FS( 39 ),5302248.799999999813735,5453309.810000000521541,10755558.609999999403954
FS( 40 ),5274902.479999999515712,5468691.580000000074506,10743594.059999998658895
FS( 41 ),5249235.320000000298023,5456024.240000000223517,10705259.560000000521541
FS( 42 ),5372773.520000000484288,5461453.100000000558794,10834226.620000001043081
FS( 43 ),5387646.080000000074506,5415307.790000000968575,10802953.870000001043081
FS( 44 ),5252593.640000000596046,5330255.650000000372529,10582849.290000000968575
FS( 45 ),5297211.320000000298023,5339303.750000000000000,10636515.070000000298023
FS( 46 ),5445697.040000000037253,5419831.839999999850988,10865528.879999998956919
FS( 47 ),5446896.440000000409782,5451500.190000000409782,10898396.630000000819564
FS( 48 ),5383088.360000000335276,5403545.260000000707805,10786633.620000001043081
FS( 49 ),5446176.799999999813735,5358304.760000000707805,10804481.560000000521541
FS( 50 ),5519580.080000000074506,5413498.169999999925494,10933078.250000000000000
FS( 51 ),5666386.640000000596046,5422546.270000000484288,11088932.910000000149012
FS( 52 ),5658230.720000000670552,5392687.540000000968575,11050918.260000001639128
FS( 53 ),5645037.320000000298023,5478644.490000000223517,11123681.810000000521541
FS( 54 ),5622248.720000000670552,5455119.430000000633299,11077368.150000002235174
FS( 55 ),5644077.799999999813735,5465977.150000000372529,11110054.949999999254942
FS( 56 ),5671184.240000000223517,5523884.990000000223517,11195069.230000000447035
FS( 57 ),5769535.040000000037253,5496740.690000000409782,11266275.730000000447035
FS( 58 ),5756341.640000000596046,5498550.310000000521541,11254891.950000001117587
FS( 59 ),5833583.000000000000000,5508503.220000000670552,11342086.220000000670552
FS( 60 ),5843178.200000000186265,5481358.919999999925494,11324537.120000001043081
FS( 61 ),5915142.200000000186265,5462357.910000000149012,11377500.109999999403954
FS( 62 ),5974392.560000000521541,5445166.520000000484288,11419559.080000001937151
FS( 63 ),5836221.679999999701977,5446071.330000000074506,11282293.009999999776483
FS( 64 ),5835502.040000000037253,5503074.360000000335276,11338576.400000000372529
FS( 65 ),5967436.040000000037253,5471406.010000000707805,11438842.050000000745058
