代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11423115.900000002235174
真實報酬,1423115.900000002235174

夏普值報酬,0.133611590000000
夏普值風險,0.044463550555407
夏普值,3.004968976409220

二次趨勢線,258.448606859178597 x^2 + 8130.980925586440208 x + 10000000.000000000000000
二次平均預期報酬,24930.140371433051769
風險,108988.693431444306043
二次平均趨勢值,0.228740611402177
一次趨勢線,20632.680978309494094 x + 10000000.000000000000000
一次預期報酬,20632.680978309494094
一次風險,162588.802653310762253
一次趨勢值,0.126900995896407
找到最佳解世代,1808
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),MCD[15](2),
Stock#,AXP[1](1),MCD[15](2),
張數,115874,66764,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.900000000372529,44.040000000037253,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4984936.380000000819564,4986647.200000000186265,9971583.580000001937151
FS( 3 ),5133255.099999999627471,5090131.399999999441206,10223386.500000000000000
FS( 4 ),5066048.180000000633299,5076110.959999999962747,10142159.140000000596046
FS( 5 ),5064889.440000000409782,5093469.600000000558794,10158359.040000000968575
FS( 6 ),5242176.660000000149012,5043396.600000000558794,10285573.260000001639128
FS( 7 ),5220160.599999999627471,5059419.959999999962747,10279580.559999998658895
FS( 8 ),5100810.380000000819564,5119507.560000000521541,10220317.940000001341105
FS( 9 ),5130937.620000000111759,5122845.760000000707805,10253783.380000000819564
FS( 10 ),5088064.240000000223517,5052075.919999999925494,10140140.160000000149012
FS( 11 ),5056778.260000000707805,5015355.720000000670552,10072133.980000000447035
FS( 12 ),4908459.540000000037253,4899186.359999999403954,9807645.899999998509884
FS( 13 ),5031285.980000000447035,4900521.640000000596046,9931807.620000001043081
FS( 14 ),5118191.480000000447035,4873148.399999999441206,9991339.879999998956919
FS( 15 ),5135572.580000000074506,4924556.680000000633299,10060129.260000001639128
FS( 16 ),5185398.400000000372529,4931900.720000000670552,10117299.120000001043081
FS( 17 ),5216684.380000000819564,4975964.959999999962747,10192649.339999999850988
FS( 18 ),5282732.560000000521541,5002670.560000000521541,10285403.120000001043081
FS( 19 ),5282732.560000000521541,5024035.040000000037253,10306767.600000001490116
FS( 20 ),5297796.180000000633299,5007344.040000000037253,10305140.220000000670552
FS( 21 ),5289685.000000000000000,5032046.720000000670552,10321731.720000000670552
FS( 22 ),5319812.240000000223517,5061422.879999999888241,10381235.120000001043081
FS( 23 ),5237541.700000001117587,5080116.799999999813735,10317658.500000000000000
FS( 24 ),5256081.540000000037253,5073440.399999999441206,10329521.939999999478459
FS( 25 ),5263033.980000000447035,5100146.000000000000000,10363179.980000000447035
FS( 26 ),5263033.980000000447035,5114166.439999999478459,10377200.419999999925494
FS( 27 ),5362685.620000000111759,5122178.120000000111759,10484863.740000000223517
FS( 28 ),5348780.740000000223517,5074775.680000000633299,10423556.420000001788139
FS( 29 ),5362685.620000000111759,5076778.600000000558794,10439464.220000000670552
