代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11311002.480000000447035
真實報酬,1311002.480000000447035

夏普值報酬,0.122400248000000
夏普值風險,0.039398019570577
夏普值,3.106761439638744

二次趨勢線,355.830918760684654 x^2 + -1098.381269903212342 x + 10000000.000000000000000
二次平均預期報酬,21674.797530780604575
風險,81153.709965632166131
二次平均趨勢值,0.267083261380899
一次趨勢線,15847.015554227593384 x + 10000000.000000000000000
一次預期報酬,15847.015554227593384
一次風險,180304.919573419669177
一次趨勢值,0.087890089697607
找到最佳解世代,1866
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](15),BA[2](2),CVX[5](4),GS[8](1),MSFT[18](8),
Stock#,AAPL[0](15),BA[2](2),CVX[5](4),GS[8](1),MSFT[18](8),
張數,18738,15396,19958,11868,34728,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,93.260000000009313,59.599999999860302,8.820000000065193,123.320000000065193,14.479999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2018738.000000000000000,2019398.959999999729916,2014369.760000000242144,2007951.560000000055879,2002778.239999999990687,10063236.520000001415610
FS( 3 ),2018175.860000000102445,2047573.639999999897555,2044306.760000000242144,2009731.760000000242144,2000694.560000000055879,10120482.580000000074506
FS( 4 ),2030542.939999999944121,2042185.039999999571592,2053287.859999999869615,2013766.879999999888241,2002430.959999999962747,10142213.679999999701977
FS( 5 ),1977327.020000000018626,2046188.000000000000000,2078035.780000000260770,2037384.199999999953434,1994443.520000000018626,10133378.520000001415610
FS( 6 ),1932543.199999999953434,1978907.479999999981374,2021155.479999999981374,2000712.080000000074506,1952075.360000000102445,9885393.599999999627471
FS( 7 ),1975827.979999999981374,2003387.119999999878928,2040714.320000000065193,2030263.400000000139698,1981246.879999999888241,10031439.699999999254942
FS( 8 ),2022860.360000000102445,1982448.559999999823049,1984432.760000000242144,1982079.320000000065193,1963188.320000000065193,9935009.320000000298023
FS( 9 ),2094439.520000000018626,1965666.919999999925494,1964275.180000000167638,1972110.199999999953434,1953811.760000000009313,9950303.580000000074506
FS( 10 ),2165643.919999999925494,1967206.519999999785796,1985829.820000000065193,1994896.760000000242144,1986108.799999999813735,10099685.820000000298023
