代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11279882.830000000074506
真實報酬,1279882.830000000074506

夏普值報酬,0.119288283000000
夏普值風險,0.027942341228269
夏普值,4.269086903831729

二次趨勢線,50.987690482133104 x^2 + 11955.667933743417962 x + 10000000.000000000000000
二次平均預期報酬,15116.904743635674095
風險,124194.065453568924568
二次平均趨勢值,0.121720024933778
一次趨勢線,14307.319706955931906 x + 10000000.000000000000000
一次預期報酬,14307.319706955931906
一次風險,126065.849955680518178
一次趨勢值,0.113490843967544
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WMT[28](1),
Stock#,MCD[15](2),WMT[28](1),
張數,44599,86790,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.110000000335276,28.099999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4998662.030000000260770,5043395.000000000000000,10042057.030000001192093
FS( 3 ),5012933.710000000894070,5065960.399999999441206,10078894.109999999403954
FS( 4 ),5033003.259999999776483,5086790.000000000000000,10119793.259999999776483
FS( 5 ),5053518.800000000745058,5101544.299999999813735,10155063.100000001490116
FS( 6 ),5036571.180000000633299,5076375.200000000186265,10112946.380000000819564
FS( 7 ),5049504.890000000596046,5092865.299999999813735,10142370.190000001341105
FS( 8 ),5077602.259999999776483,4997396.299999999813735,10074998.559999998658895
FS( 9 ),5000000.000000000000000,4942718.599999999627471,9942718.599999999627471
FS( 10 ),4904558.140000000596046,4896719.899999999441206,9801278.039999999105930
FS( 11 ),4953171.050000000745058,5022565.399999999441206,9975736.449999999254942
FS( 12 ),4947819.169999999925494,5200484.899999999441206,10148304.070000000298023
FS( 13 ),5018731.580000000074506,5288142.799999999813735,10306874.379999998956919
FS( 14 ),5053072.810000000521541,5268181.099999999627471,10321253.910000000149012
FS( 15 ),5080278.200000000186265,5213503.399999999441206,10293781.599999999627471
FS( 16 ),5105253.640000000596046,5229993.499999999068677,10335247.140000000596046
FS( 17 ),5096779.830000000074506,5200484.899999999441206,10297264.730000000447035
FS( 18 ),5102131.710000000894070,5228257.700000000186265,10330389.410000000149012
FS( 19 ),5094549.880000000819564,5197881.199999999254942,10292431.080000000074506
FS( 20 ),5091427.950000000186265,5106751.700000000186265,10198179.650000000372529
FS( 21 ),5104361.660000000149012,5119770.200000000186265,10224131.859999999403954
FS( 22 ),5071804.390000000596046,5064224.599999999627471,10136028.990000000223517
FS( 23 ),5057086.720000000670552,5124109.699999999254942,10181196.419999999925494
FS( 24 ),5182409.910000000149012,5177919.499999999068677,10360329.410000000149012
FS( 25 ),5192221.690000000409782,5250823.099999999627471,10443044.789999999105930
FS( 26 ),5197127.580000000074506,5173580.000000000000000,10370707.580000000074506
FS( 27 ),5199357.530000000260770,5131920.799999999813735,10331278.330000000074506
FS( 28 ),5227008.910000000149012,5169240.500000000000000,10396249.410000000149012
FS( 29 ),5177058.030000000260770,5151882.500000000000000,10328940.530000001192093
FS( 30 ),5185085.850000000558794,5241276.199999999254942,10426362.050000000745058
FS( 31 ),5214967.180000000633299,5176183.699999999254942,10391150.879999998956919
FS( 32 ),5255552.270000000484288,5233465.099999999627471,10489017.370000001043081
FS( 33 ),5240388.610000000335276,5118902.299999999813735,10359290.910000000149012
FS( 34 ),5202925.450000000186265,5107619.599999999627471,10310545.050000000745058
FS( 35 ),5248862.419999999925494,5168372.599999999627471,10417235.019999999552965
FS( 36 ),5250200.390000000596046,5254294.699999999254942,10504495.089999999850988
FS( 37 ),5298367.310000000521541,5302029.200000000186265,10600396.510000001639128
FS( 38 ),5288109.540000000037253,5279463.799999999813735,10567573.339999999850988
FS( 39 ),5296137.360000000335276,5272520.599999999627471,10568657.960000000894070
FS( 40 ),5355008.040000000037253,5347160.000000000000000,10702168.039999999105930
FS( 41 ),5326464.680000000633299,5353235.299999999813735,10679699.980000000447035
FS( 42 ),5268931.970000000670552,5320255.099999999627471,10589187.070000000298023
FS( 43 ),5243956.530000000260770,5334141.500000000000000,10578098.030000001192093
FS( 44 ),5316206.910000000149012,5460854.899999999441206,10777061.809999998658895
FS( 45 ),5280527.710000000894070,5515532.599999999627471,10796060.310000000521541
FS( 46 ),5158326.450000000186265,5643981.799999999813735,10802308.250000000000000
FS( 47 ),5150298.630000000819564,5514664.699999999254942,10664963.330000000074506
FS( 48 ),5204263.419999999925494,5573681.899999999441206,10777945.320000000298023
FS( 49 ),5237712.669999999925494,5521607.899999999441206,10759320.570000000298023
FS( 50 ),5134242.990000000223517,5374064.899999999441206,10508307.890000000596046
FS( 51 ),5201141.490000000223517,5473005.500000000000000,10674146.990000000223517
FS( 52 ),5136918.930000000633299,5374932.799999999813735,10511851.730000000447035
FS( 53 ),5240388.610000000335276,5429610.500000000000000,10669999.109999999403954
FS( 54 ),5163678.330000000074506,5280331.700000000186265,10444010.030000001192093
FS( 55 ),5255552.270000000484288,5370593.299999999813735,10626145.570000000298023
FS( 56 ),5280527.710000000894070,5440893.199999999254942,10721420.910000000149012
FS( 57 ),5316206.910000000149012,5506853.599999999627471,10823060.509999999776483
FS( 58 ),5371063.680000000633299,5554588.099999999627471,10925651.780000001192093
FS( 59 ),5390687.240000000223517,5550248.599999999627471,10940935.839999999850988
FS( 60 ),5458031.730000000447035,5573681.899999999441206,11031713.629999998956919
FS( 61 ),5520470.330000000074506,5759412.500000000000000,11279882.830000000074506
