代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070322.379999998956919
真實報酬,1070322.379999998956919

夏普值報酬,0.098332238000000
夏普值風險,0.033824299691678
夏普值,2.907147787133428

二次趨勢線,226.850863939841616 x^2 + 4115.470381704553802 x + 10000000.000000000000000
二次平均預期報酬,18180.223945974736125
風險,103823.863123802220798
二次平均趨勢值,0.175106410019594
一次趨勢線,14578.274862442118319 x + 10000000.000000000000000
一次預期報酬,14578.274862442118319
一次風險,141604.749429791700095
一次趨勢值,0.102950465440921
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](5),DD[7](3),JNJ[12](9),MRK[17](1),MSFT[18](4),UNH[23](2),
Stock#,CAT[3](5),DD[7](3),JNJ[12](9),MRK[17](1),MSFT[18](4),UNH[23](2),
張數,18545,26679,18308,33676,44851,22350,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,26.849999999860302,28.870000000111759,88.760000000009313,40.760000000009313,2.840000000083819,26.500000000232831,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665738.749999999767169,1659195.880000000121072,1681678.559999999823049,1674748.239999999990687,1655453.250000000000000,1678511.500000000000000,10015330.179999999701977
FS( 3 ),1643855.649999999906868,1656261.190000000176951,1690466.399999999906868,1675085.000000000000000,1620469.470000000204891,1659290.500000000232831,9945432.210000000894070
FS( 4 ),1649233.699999999953434,1637852.680000000167638,1726350.080000000074506,1687545.119999999878928,1633027.750000000000000,1710025.000000000232831,10044038.330000000074506
FS( 5 ),1653128.149999999906868,1639720.210000000195578,1723970.040000000037253,1676768.800000000046566,1603874.600000000093132,1690133.500000000232831,9987599.300000000745058
FS( 6 ),1663698.799999999813735,1618643.800000000046566,1734405.600000000093132,1667676.280000000027940,1593558.870000000111759,1700414.500000000232831,9978401.849999999627471
FS( 7 ),1678534.800000000046566,1622645.650000000139698,1734588.679999999934807,1679799.640000000130385,1616432.880000000121072,1669571.500000000232831,10001577.150000000372529
FS( 8 ),1667036.899999999906868,1591698.010000000009313,1730194.760000000009313,1788909.879999999888241,1568890.819999999832362,1652585.500000000232831,9999319.869999999180436
FS( 9 ),1679462.049999999813735,1620511.330000000074506,1734222.520000000018626,1784868.760000000009313,1604771.620000000111759,1654373.500000000232831,10078213.780000001192093
FS( 10 ),1713770.299999999813735,1635718.360000000102445,1735687.159999999916181,1768704.280000000027940,1648725.600000000093132,1672700.500000000232831,10175310.200000001117587
FS( 11 ),1706352.300000000046566,1637052.310000000055879,1732757.880000000121072,1768030.760000000009313,1654556.230000000214204,1626212.500000000232831,10124965.980000000447035
FS( 12 ),1695781.649999999906868,1636518.730000000214204,1740447.239999999990687,1749508.960000000195578,1631682.220000000204891,1620848.500000000232831,10074791.300000000745058
FS( 13 ),1680203.849999999860302,1745102.260000000009313,1721590.000000000000000,1745467.839999999850988,1622263.510000000242144,1635152.500000000232831,10149783.959999999031425
FS( 14 ),1662400.649999999906868,1735497.820000000065193,1726899.319999999832362,1729303.360000000102445,1611499.270000000018626,1640516.500000000465661,10106120.919999999925494
FS( 15 ),1640888.449999999953434,1699214.380000000121072,1697972.679999999934807,1737722.360000000102445,1617329.900000000139698,1636046.500000000232831,10029178.269999999552965
FS( 16 ),1598049.500000000000000,1649324.650000000139698,1658976.639999999897555,1750519.239999999990687,1650968.150000000139698,1600286.500000000000000,9908128.679999999701977
FS( 17 ),1692999.899999999906868,1637585.890000000130385,1646710.280000000027940,1769041.040000000037253,1615984.370000000111759,1601404.000000000465661,9963729.480000000447035
FS( 18 ),1714882.999999999767169,1635985.150000000139698,1649639.559999999823049,1780490.879999999888241,1626748.610000000335276,1602745.000000000000000,10010496.199999999254942
FS( 19 ),1680574.750000000000000,1699481.170000000158325,1627669.960000000195578,1758264.719999999972060,1644240.500000000000000,1592687.500000000232831,10002922.599999999627471
FS( 20 ),1728420.849999999860302,1721624.740000000223517,1638654.760000000009313,1802043.520000000018626,1653210.699999999953434,1627106.500000000232831,10171065.069999998435378
FS( 21 ),1741587.799999999813735,1729094.860000000102445,1619797.520000000018626,1783858.479999999981374,1697164.680000000167638,1615484.500000000232831,10186991.839999999850988
FS( 22 ),1713955.750000000000000,1697880.430000000167638,1588857.000000000000000,1753886.839999999850988,1636167.319999999832362,1581065.500000000232831,9971816.839999999850988
FS( 23 ),1715439.349999999860302,1708285.240000000223517,1585927.720000000204891,1802043.520000000018626,1630336.690000000176951,1575925.000000000232831,10017961.519999999552965
