代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13346903.839999999850988
真實報酬,3346903.839999999850988

夏普值報酬,0.325990384000000
夏普值風險,0.086056213038859
夏普值,3.788109800425409

二次趨勢線,-341.863006141509175 x^2 + 75526.516647436554194 x + 10000000.000000000000000
二次平均預期報酬,54672.873272804499720
風險,310526.611624607758131
二次平均趨勢值,0.176065017380533
一次趨勢線,60015.542236553308612 x + 10000000.000000000000000
一次預期報酬,60015.542236553308612
一次風險,340808.841742745076772
一次趨勢值,0.176097374497858
找到最佳解世代,1929
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
BA[2](1),
Stock#,BA[2](1),
張數,36848,
分配資金,10000000.000000000000000,
剩餘資金,189.759999999776483,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10242828.320000000298023,10242828.320000000298023
FS( 3 ),10153287.679999999701977,10153287.679999999701977
FS( 4 ),10253882.719999998807907,10253882.719999998807907
FS( 5 ),10390220.320000000298023,10390220.320000000298023
FS( 6 ),10535032.959999999031425,10535032.959999999031425
FS( 7 ),10434069.440000001341105,10434069.440000001341105
FS( 8 ),10683898.879999998956919,10683898.879999998956919
FS( 9 ),10753910.079999998211861,10753910.079999998211861
FS( 10 ),10829080.000000000000000,10829080.000000000000000
FS( 11 ),10831290.879999998956919,10831290.879999998956919
FS( 12 ),10912356.479999998584390,10912356.479999998584390
FS( 13 ),10953257.759999999776483,10953257.759999999776483
FS( 14 ),10977208.959999999031425,10977208.959999999031425
FS( 15 ),10871455.199999999254942,10871455.199999999254942
FS( 16 ),10874034.560000000521541,10874034.560000000521541
FS( 17 ),10883615.040000000968575,10883615.040000000968575
FS( 18 ),10893195.519999999552965,10893195.519999999552965
FS( 19 ),10920094.560000000521541,10920094.560000000521541
FS( 20 ),10867033.440000001341105,10867033.440000001341105
FS( 21 ),10938150.079999998211861,10938150.079999998211861
FS( 22 ),10973524.160000000149012,10973524.160000000149012
FS( 23 ),10931885.919999999925494,10931885.919999999925494
FS( 24 ),11380326.079999998211861,11380326.079999998211861
FS( 25 ),11428596.959999999031425,11428596.959999999031425
FS( 26 ),11733698.400000000372529,11733698.400000000372529
FS( 27 ),11801130.240000000223517,11801130.240000000223517
FS( 28 ),12090755.519999999552965,12090755.519999999552965
FS( 29 ),12388855.839999999850988,12388855.839999999850988
FS( 30 ),12350165.440000001341105,12350165.440000001341105
FS( 31 ),12934206.240000000223517,12934206.240000000223517
FS( 32 ),12534405.440000001341105,12534405.440000001341105
FS( 33 ),12444864.800000000745058,12444864.800000000745058
FS( 34 ),12454813.759999999776483,12454813.759999999776483
FS( 35 ),12366010.079999998211861,12366010.079999998211861
FS( 36 ),12332846.879999998956919,12332846.879999998956919
FS( 37 ),12643107.040000000968575,12643107.040000000968575
FS( 38 ),12647160.320000000298023,12647160.320000000298023
FS( 39 ),12558725.119999999180436,12558725.119999999180436
FS( 40 ),12444127.839999999850988,12444127.839999999850988
FS( 41 ),13058015.519999999552965,13058015.519999999552965
FS( 42 ),13152714.879999998956919,13152714.879999998956919
FS( 43 ),12856825.440000001341105,12856825.440000001341105
FS( 44 ),12118760.000000000000000,12118760.000000000000000
FS( 45 ),12562041.440000001341105,12562041.440000001341105
FS( 46 ),12827715.519999999552965,12827715.519999999552965
FS( 47 ),12147501.440000001341105,12147501.440000001341105
FS( 48 ),12264309.599999999627471,12264309.599999999627471
FS( 49 ),12668532.160000000149012,12668532.160000000149012
FS( 50 ),12644949.440000001341105,12644949.440000001341105
FS( 51 ),12707222.560000000521541,12707222.560000000521541
FS( 52 ),13135027.839999999850988,13135027.839999999850988
FS( 53 ),13082703.679999999701977,13082703.679999999701977
FS( 54 ),13020430.560000000521541,13020430.560000000521541
FS( 55 ),12984319.519999999552965,12984319.519999999552965
FS( 56 ),13115129.919999999925494,13115129.919999999925494
FS( 57 ),13142397.440000001341105,13142397.440000001341105
FS( 58 ),13393700.800000000745058,13393700.800000000745058
FS( 59 ),13436444.479999998584390,13436444.479999998584390
FS( 60 ),13346903.839999999850988,13346903.839999999850988
