代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11324120.720000000670552
真實報酬,1324120.720000000670552

夏普值報酬,0.123712072000000
夏普值風險,0.034376966211742
夏普值,3.598690798891544

二次趨勢線,23.013570605717732 x^2 + 17259.385200275752140 x + 10000000.000000000000000
二次平均預期報酬,18778.280860253129504
風險,106804.950265945430147
二次平均趨勢值,0.175818450488437
一次趨勢線,18389.860977739823284 x + 10000000.000000000000000
一次預期報酬,18389.860977739823284
一次風險,107377.977630308567313
一次趨勢值,0.171262873296555
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PFE[20](4),WBA[27](1),
Stock#,MCD[15](3),PFE[20](4),WBA[27](1),
張數,21242,82774,50170,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.360000000335276,24.019999999552965,38.200000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3301257.580000000074506,3282013.119999999646097,3360424.800000000279397,9943696.500000000000000
FS( 3 ),3318251.180000000633299,3355681.979999999515712,3372465.600000000093132,10046399.759999999776483
FS( 4 ),3329084.600000000093132,3397068.979999999515712,3382499.600000000093132,10108654.179999999701977
FS( 5 ),3314640.040000000037253,3380514.179999999701977,3363936.700000000186265,10059091.919999999925494
FS( 6 ),3375817.000000000000000,3427695.359999999403954,3335841.500000000000000,10139354.859999999403954
FS( 7 ),3383888.960000000428408,3393758.019999999552965,3319787.100000000093132,10097435.080000000074506
FS( 8 ),3370718.920000000391155,3387963.839999999385327,3335841.500000000000000,10094525.259999999776483
FS( 9 ),3359248.240000000223517,3378030.959999999962747,3335339.800000000279397,10072620.000000000000000
FS( 10 ),3411503.560000000055879,3369753.559999999590218,3444710.399999999906868,10225968.519999999552965
FS( 11 ),3396209.320000000298023,3407001.859999999403954,3448222.300000000279397,10251434.480000000447035
FS( 12 ),3435507.020000000018626,3428523.099999999627471,3492873.600000000558794,10356904.719999998807907
FS( 13 ),3423186.660000000614673,3483981.679999999701977,3511436.500000000000000,10418605.839999999850988
FS( 14 ),3434444.920000000391155,3503847.439999999478459,3511436.500000000000000,10449729.859999999403954
FS( 15 ),3420850.040000000037253,3489775.859999999403954,3524480.700000000186265,10435107.599999999627471
FS( 16 ),3410441.460000000428408,3482326.199999999720603,3493877.000000000000000,10386645.660000000149012
FS( 17 ),3378578.460000000428408,3493086.819999999832362,3475815.800000000279397,10347482.080000000074506
FS( 18 ),3385588.320000000298023,3509641.619999999646097,3472303.899999999906868,10367534.839999999850988
FS( 19 ),3408954.520000000018626,3441766.939999999478459,3483843.000000000000000,10334565.459999999031425
FS( 20 ),3433595.240000000223517,3435145.019999999552965,3475815.800000000279397,10344557.060000000521541
FS( 21 ),3464820.980000000447035,3435145.019999999552965,3444710.399999999906868,10344677.400000000372529
FS( 22 ),3458235.960000000428408,3435145.019999999552965,3401564.200000000186265,10294946.179999999701977
FS( 23 ),3446128.020000000018626,3436800.500000000000000,3439693.400000000372529,10322622.919999999925494
FS( 24 ),3435294.600000000093132,3424384.399999999441206,3392533.600000000558794,10252213.600000001490116
FS( 25 ),3467582.440000000409782,3464115.919999999459833,3423639.000000000000000,10355338.359999999403954
FS( 26 ),3478203.440000000409782,3458321.739999999757856,3413103.300000000279397,10349629.480000000447035
FS( 27 ),3481602.160000000614673,3493086.819999999832362,3421130.500000000000000,10395820.480000000447035
FS( 28 ),3506455.300000000279397,3481498.459999999962747,3451734.200000000186265,10439688.960000000894070
FS( 29 ),3496896.400000000372529,3502191.959999999962747,3448724.000000000000000,10447813.359999999403954
FS( 30 ),3499445.440000000409782,3510469.359999999403954,3531002.799999999813735,10540918.599999999627471
FS( 31 ),3449739.160000000614673,3546889.919999999459833,3536019.800000000279397,10532649.880000000819564
FS( 32 ),3416601.640000000596046,3555995.059999999590218,3525985.800000000279397,10498583.500000000000000
FS( 33 ),3359248.240000000223517,3560133.759999999310821,3534514.700000000186265,10453897.699999999254942
FS( 34 ),3351388.700000000651926,3601520.759999999310821,3556087.799999999813735,10508998.259999999776483
FS( 35 ),3381339.920000000391155,3580827.259999999310821,3576155.800000000279397,10538323.980000000447035
FS( 36 ),3415539.540000000037253,3621386.519999999552965,3656929.500000000000000,10693856.559999998658895
FS( 37 ),3511340.960000000428408,3647046.459999999962747,3662448.200000000186265,10820836.620000001043081
FS( 38 ),3469069.380000000353903,3636285.839999999385327,3622312.200000000186265,10727668.419999999925494
FS( 39 ),3534919.580000000074506,3624697.479999999515712,3622813.899999999906868,10782431.959999999031425
FS( 40 ),3521112.280000000260770,3615592.339999999385327,3660441.399999999906868,10797147.019999999552965
FS( 41 ),3537468.620000000577420,3633802.619999999646097,3703085.900000000372529,10874358.140000000596046
FS( 42 ),3553612.540000000037253,3647874.199999999720603,3657431.200000000651926,10858918.940000001341105
FS( 43 ),3540442.500000000000000,3664429.000000000000000,3635356.399999999906868,10840228.900000000372529
FS( 44 ),3508791.920000000391155,3660290.299999999348074,3687031.500000000000000,10856114.719999998807907
FS( 45 ),3497746.080000000074506,3709126.959999999962747,3702584.200000000186265,10909458.240000000223517
FS( 46 ),3521961.960000000428408,3700021.819999999832362,3679506.000000000465661,10901490.780000001192093
FS( 47 ),3538318.300000000279397,3717404.359999999403954,3637864.900000000372529,10893588.560000000521541
FS( 48 ),3563808.700000000651926,3748030.739999999757856,3720143.700000000651926,11031984.140000000596046
FS( 49 ),3607567.220000000670552,3763757.799999999348074,3690543.400000000372529,11061869.419999999925494
FS( 50 ),3576553.900000000372529,3684294.759999999310821,3627830.900000000372529,10888680.560000000521541
FS( 51 ),3461847.100000000093132,3543578.959999999962747,3557091.200000000651926,10562518.260000001639128
FS( 52 ),3479902.800000000279397,3623869.739999999757856,3687533.200000000186265,10791306.740000000223517
FS( 53 ),3476716.500000000000000,3569238.899999999441206,3748740.600000000093132,10794697.000000000000000
FS( 54 ),3485213.300000000279397,3636285.839999999385327,3827005.800000000279397,10948505.939999999478459
FS( 55 ),3542566.700000000651926,3689261.199999999720603,3862124.800000000279397,11093953.700000001117587
FS( 56 ),3543416.380000000353903,3642080.019999999552965,3842056.800000000279397,11027554.200000001117587
FS( 57 ),3557860.940000000409782,3683467.019999999552965,3880687.699999999720603,11122016.660000000149012
FS( 58 ),3539592.820000000298023,3672706.399999999441206,3895738.700000000651926,11108038.919999999925494
FS( 59 ),3763058.660000000614673,3650357.419999999459833,3876172.400000000372529,11289589.480000000447035
FS( 60 ),3767307.060000000055879,3516263.539999999105930,3722652.200000000186265,11006223.800000000745058
FS( 61 ),3723973.380000000353903,3593243.359999999403954,3799914.000000000000000,11117131.740000000223517
FS( 62 ),3682126.640000000596046,3526196.419999999459833,3824497.300000000279397,11032821.360000001266599
FS( 63 ),3679790.020000000018626,3578344.039999999105930,3854097.599999999627471,11112232.659999998286366
FS( 64 ),3791522.940000000409782,3550200.879999999422580,3953434.200000000186265,11295159.019999999552965
FS( 65 ),3757748.160000000614673,3564272.459999999962747,4002099.100000000093132,11324120.720000000670552
