代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11030256.830000000074506
真實報酬,1030256.830000000074506

夏普值報酬,0.094325683000000
夏普值風險,0.029049079531874
夏普值,3.247114349922890

二次趨勢線,114.666015980882861 x^2 + 9340.115867941565739 x + 10000000.000000000000000
二次平均預期報酬,16678.740890718065202
風險,59262.921080807187536
二次平均趨勢值,0.281436361666614
一次趨勢線,14800.746298275200388 x + 10000000.000000000000000
一次預期報酬,14800.746298275200388
一次風險,78766.385953187957057
一次趨勢值,0.187906885902719
找到最佳解世代,3565
找到最佳解實驗#,6
找到最佳解次數,13

stock[index](rank)
投資組合檔數,4
AAPL[0](1),JNJ[12](11),MRK[17](20),WMT[28](10),
Stock#,AAPL[0](1),JNJ[12](11),MRK[17](20),WMT[28](10),
張數,12153,19418,28851,21807,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,127.899999999906868,126.679999999701977,60.849999999627471,45.520000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2542413.969999999739230,2502330.160000000149012,2482689.399999999441206,2527694.890000000130385,10055128.419999999925494
FS( 3 ),2592119.739999999757856,2496893.120000000111759,2484131.949999999254942,2517445.600000000093132,10090590.409999998286366
FS( 4 ),2591876.679999999701977,2489708.459999999962747,2497691.919999999459833,2501962.629999999888241,10081239.689999997615814
FS( 5 ),2602935.909999999683350,2465241.779999999795109,2408253.819999999366701,2536853.830000000074506,10013285.339999999850988
FS( 6 ),2633683.000000000000000,2515728.580000000074506,2356899.039999999571592,2530747.870000000111759,10037058.489999998360872
FS( 7 ),2717417.169999999925494,2547185.739999999292195,2392385.769999999552965,2530093.660000000149012,10187082.339999999850988
FS( 8 ),2711340.669999999925494,2532816.419999999925494,2403637.659999999683350,2549719.959999999962747,10197514.710000000894070
FS( 9 ),2658596.649999999906868,2539612.719999999739230,2383441.959999999497086,2560841.530000000260770,10142492.859999999403954
FS( 10 ),2672572.600000000093132,2515534.399999999441206,2366708.379999999888241,2520280.509999999776483,10075095.890000000596046
FS( 11 ),2682295.000000000000000,2518058.739999999292195,2380556.859999999869615,2540779.090000000316650,10121689.689999999478459
FS( 12 ),2707451.709999999962747,2532428.059999999590218,2395270.869999999646097,2554953.640000000130385,10190104.279999999329448
FS( 13 ),2685454.779999999795109,2526602.660000000149012,2422679.319999999366701,2553863.290000000037253,10188600.049999998882413
FS( 14 ),2646200.589999999850988,2556506.379999999888241,2457012.009999999310821,2551028.379999999888241,10210747.359999999403954
FS( 15 ),2658232.060000000055879,2558254.000000000000000,2433931.209999999497086,2564984.860000000335276,10215402.129999998956919
FS( 16 ),2645592.939999999944121,2554564.580000000074506,2412004.449999999254942,2581994.320000000298023,10194156.289999999105930
FS( 17 ),2686305.489999999757856,2543690.500000000000000,2397578.949999999254942,2583520.810000000055879,10211095.750000000000000
FS( 18 ),2672451.069999999832362,2502135.979999999515712,2420082.729999999515712,2579813.620000000111759,10174483.399999998509884
FS( 19 ),2659447.359999999869615,2497281.479999999515712,2392097.259999999310821,2583084.669999999925494,10131910.769999999552965
FS( 20 ),2722035.310000000055879,2512427.519999999552965,2428738.029999999795109,2588100.280000000260770,10251301.140000000596046
FS( 21 ),2729570.169999999925494,2524272.500000000000000,2412292.959999999497086,2570000.469999999739230,10236136.099999997764826
FS( 22 ),2661148.779999999795109,2563302.679999999701977,2354879.469999999739230,2532274.360000000335276,10111605.289999999105930
FS( 23 ),2683753.359999999869615,2547574.099999999627471,2387192.589999999385327,2536417.689999999944121,10154937.739999998360872
FS( 24 ),2758980.429999999701977,2595536.559999999590218,2452395.849999999627471,2576760.640000000130385,10383673.479999998584390
FS( 25 ),2759588.080000000074506,2585827.559999999590218,2434796.739999999757856,2556480.129999999888241,10336692.509999997913837
FS( 26 ),2727261.100000000093132,2560195.799999999813735,2403060.639999999664724,2564112.580000000074506,10254630.120000001043081
