代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11929065.320000000298023
真實報酬,1929065.320000000298023

夏普值報酬,0.184206532000000
夏普值風險,0.051492729346887
夏普值,3.577330903535311

二次趨勢線,163.950174384661835 x^2 + 20405.685110565467767 x + 10000000.000000000000000
二次平均預期報酬,30898.496271183827048
風險,134181.497410562820733
二次平均趨勢值,0.230273896680717
一次趨勢線,28213.328060789281153 x + 10000000.000000000000000
一次預期報酬,28213.328060789281153
一次風險,153323.691356375871692
一次趨勢值,0.184011536711649
找到最佳解世代,2172
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](3),WBA[27](1),
Stock#,VZ[26](3),WBA[27](1),
張數,94002,73942,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.620000000111759,41.959999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5059221.259999999776483,5045844.040000000037253,10105065.300000000745058
FS( 3 ),5103402.200000000186265,5030316.219999999739230,10133718.419999999925494
FS( 4 ),5076141.620000000111759,5042146.939999999478459,10118288.559999998658895
FS( 5 ),5087421.860000000335276,5087251.559999999590218,10174673.419999999925494
FS( 6 ),5143823.059999999590218,5082815.040000000037253,10226638.099999999627471
FS( 7 ),5167323.559999999590218,5204079.919999999925494,10371403.480000000447035
FS( 8 ),5164503.500000000000000,5211474.120000000111759,10375977.620000001043081
FS( 9 ),5127842.719999999739230,5196685.719999999739230,10324528.439999999478459
FS( 10 ),5141943.020000000484288,5209255.860000000335276,10351198.880000000819564
FS( 11 ),5112802.400000000372529,5241050.919999999925494,10353853.320000000298023
FS( 12 ),5029140.620000000111759,5270627.719999999739230,10299768.339999999850988
FS( 13 ),5071441.520000000484288,5389674.339999999850988,10461115.859999999403954
FS( 14 ),5115622.459999999962747,5397807.959999999962747,10513430.419999999925494
FS( 15 ),5032900.700000000186265,5338654.360000000335276,10371555.060000000521541
FS( 16 ),4986839.719999999739230,5339393.779999999329448,10326233.500000000000000
FS( 17 ),4995299.900000000372529,5394850.279999999329448,10390150.179999999701977
FS( 18 ),5037600.800000000745058,5457700.980000000447035,10495301.780000001192093
FS( 19 ),5018800.400000000372529,5390413.760000000707805,10409214.160000000149012
FS( 20 ),5061101.300000000745058,5357879.279999999329448,10418980.580000000074506
FS( 21 ),5115622.459999999962747,5434039.540000000037253,10549662.000000000000000
FS( 22 ),5103402.200000000186265,5456961.559999999590218,10560363.759999999776483
FS( 23 ),5172023.660000000149012,5422948.240000000223517,10594971.900000000372529
FS( 24 ),5164503.500000000000000,5361576.379999999888241,10526079.879999998956919
FS( 25 ),5172023.660000000149012,5482841.260000000707805,10654864.920000001788139
FS( 26 ),5169203.600000000558794,5439215.480000000447035,10608419.080000001937151
FS( 27 ),5107162.280000000260770,5346787.980000000447035,10453950.260000001639128
FS( 28 ),5013160.280000000260770,5242529.760000000707805,10255690.040000000968575
FS( 29 ),5050761.080000000074506,5434778.959999999962747,10485540.039999999105930
FS( 30 ),5038540.820000000298023,5524988.200000000186265,10563529.019999999552965
FS( 31 ),5047941.020000000484288,5640337.719999999739230,10688278.740000000223517
FS( 32 ),5072381.540000000037253,5692097.120000000111759,10764478.660000000149012
FS( 33 ),5137242.919999999925494,5662520.320000000298023,10799763.240000000223517
FS( 34 ),5160743.419999999925494,5719455.659999999217689,10880199.079999998211861
FS( 35 ),5168263.580000000074506,5741638.260000000707805,10909901.839999999850988
FS( 36 ),5377888.040000000037253,5712800.879999999888241,11090688.919999999925494
FS( 37 ),5397628.459999999962747,5486538.360000000335276,10884166.820000000298023
FS( 38 ),5304566.480000000447035,5600409.040000000037253,10904975.519999999552965
FS( 39 ),5218084.639999999664724,5636640.620000000111759,10854725.259999999776483
FS( 40 ),5309266.580000000074506,5680266.399999999441206,10989532.980000000447035
FS( 41 ),5469069.980000000447035,5826671.559999999590218,11295741.539999999105930
FS( 42 ),5366607.800000000745058,5898395.299999999813735,11265003.100000001490116
FS( 43 ),5268845.719999999739230,5908007.760000000707805,11176853.480000000447035
FS( 44 ),5323366.879999999888241,5863642.559999999590218,11187009.439999999478459
FS( 45 ),5377888.040000000037253,5913183.700000000186265,11291071.740000000223517
FS( 46 ),5377888.040000000037253,5959767.159999999217689,11337655.199999999254942
FS( 47 ),5419248.919999999925494,6056631.179999999701977,11475880.099999999627471
FS( 48 ),5477530.160000000149012,6095820.439999999478459,11573350.599999999627471
FS( 49 ),5495390.540000000037253,6092123.339999999850988,11587513.879999998956919
FS( 50 ),5519831.059999999590218,6049236.980000000447035,11569068.039999999105930
FS( 51 ),5514190.939999999478459,6057370.599999999627471,11571561.539999999105930
FS( 52 ),5540511.500000000000000,6027793.799999999813735,11568305.300000000745058
FS( 53 ),5553671.780000000260770,6084729.140000000596046,11638400.920000001788139
FS( 54 ),5659894.040000000037253,6101735.799999999813735,11761629.839999999850988
FS( 55 ),5698434.860000000335276,6057370.599999999627471,11755805.460000000894070
FS( 56 ),5589392.540000000037253,5899874.140000000596046,11489266.679999999701977
FS( 57 ),5561191.939999999478459,5897655.879999999888241,11458847.820000000298023
FS( 58 ),5512310.900000000372529,5975294.980000000447035,11487605.880000000819564
FS( 59 ),5562131.959999999962747,6041103.360000000335276,11603235.320000000298023
FS( 60 ),5701254.919999999925494,6175677.799999999813735,11876932.719999998807907
FS( 61 ),5645793.740000000223517,6258492.839999999850988,11904286.580000000074506
FS( 62 ),5588452.520000000484288,6274020.659999999217689,11862473.179999999701977
FS( 63 ),5668354.219999999739230,6260711.099999999627471,11929065.320000000298023
