代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11471148.919999999925494
真實報酬,1471148.919999999925494

夏普值報酬,0.138414892000000
夏普值風險,0.043453528871224
夏普值,3.185354460168163

二次趨勢線,125.793737801481342 x^2 + 15192.853727590254493 x + 10000000.000000000000000
二次平均預期報酬,23369.446684686539811
風險,84881.364749113403377
二次平均趨勢值,0.275318931944136
一次趨勢線,21277.760114266555320 x + 10000000.000000000000000
一次預期報酬,21277.760114266555320
一次風險,103215.004546050724457
一次趨勢值,0.206149873343010
找到最佳解世代,2023
找到最佳解實驗#,1
找到最佳解次數,26

stock[index](rank)
投資組合檔數,3
AAPL[0](4),GS[8](2),XOM[29](1),
Stock#,AAPL[0](4),GS[8](2),XOM[29](1),
張數,47817,20964,38759,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.930000000167638,57.000000000000000,59.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3344330.910000000149012,3326414.879999999888241,3336433.719999999739230,10007180.509999999776483
FS( 3 ),3302251.950000000186265,3288260.399999999906868,3313953.500000000000000,9904466.849999999627471
FS( 4 ),3299382.930000000167638,3281971.200000000186265,3345735.879999999888241,9927091.010000001639128
FS( 5 ),3331898.490000000689179,3233754.000000000000000,3329457.100000000093132,9895110.589999999850988
FS( 6 ),3285516.000000000000000,3208597.200000000186265,3314341.090000000316650,9808455.290000000968575
FS( 7 ),3323769.600000000558794,3237737.160000000149012,3300775.439999999944121,9862283.200000001117587
FS( 8 ),3344809.080000000074506,3312578.639999999664724,3334883.360000000335276,9992272.080000000074506
FS( 9 ),3366326.730000000447035,3354297.000000000000000,3370154.050000000279397,10090778.780000001192093
FS( 10 ),3388322.550000000279397,3342976.439999999944121,3395347.399999999906868,10126647.390000000596046
FS( 11 ),3406493.009999999776483,3304612.319999999832362,3363952.610000000335276,10075058.940000001341105
FS( 12 ),3423228.960000000428408,3401466.000000000000000,3384107.290000000037253,10208803.250000000000000
FS( 13 ),3446181.119999999646097,3319077.479999999981374,3390696.320000000298023,10155955.919999999925494
FS( 14 ),3476305.830000000074506,3326834.160000000149012,3393409.449999999720603,10196550.439999999478459
FS( 15 ),3561420.090000000316650,3349475.280000000260770,3381006.570000000298023,10291902.940000001341105
FS( 16 ),3551378.520000000018626,3338574.000000000000000,3410075.820000000298023,10300029.339999999850988
FS( 17 ),3585806.759999999776483,3306918.360000000335276,3395734.989999999757856,10288461.109999999403954
FS( 18 ),3633623.759999999776483,3353458.439999999944121,3427129.780000000260770,10414212.980000000447035
FS( 19 ),3592979.310000000055879,3398111.760000000242144,3409688.229999999981374,10400780.300000000745058
FS( 20 ),3619756.830000000074506,3384694.799999999813735,3419765.570000000298023,10424218.199999999254942
FS( 21 ),3529382.700000000186265,3398531.040000000502914,3446896.870000000111759,10374811.609999999403954
FS( 22 ),3585806.759999999776483,3397273.200000000186265,3442245.790000000037253,10425326.750000000000000
FS( 23 ),3570505.320000000298023,3372326.040000000502914,3473640.580000000074506,10416472.940000001341105
FS( 24 ),3552334.860000000335276,3397273.200000000186265,3481392.379999999888241,10431001.440000001341105
FS( 25 ),3598239.180000000167638,3420543.239999999757856,3569762.899999999906868,10588546.320000000298023
FS( 26 ),3589153.950000000186265,3395176.799999999813735,3565499.409999999683350,10549831.160000000149012
FS( 27 ),3558551.070000000298023,3428090.280000000260770,3613172.979999999981374,10599815.330000000074506
FS( 28 ),3500692.500000000000000,3346749.959999999497086,3564336.639999999664724,10411780.099999997764826
FS( 29 ),3556160.220000000204891,3420752.879999999888241,3594181.070000000298023,10571095.169999999925494
FS( 30 ),3545640.480000000447035,3434798.760000000242144,3603095.639999999664724,10583535.879999998956919
FS( 31 ),3552334.860000000335276,3414882.959999999497086,3591855.530000000260770,10559074.350000001490116
FS( 32 ),3556638.390000000130385,3415931.160000000149012,3588754.810000000055879,10561325.360000001266599
FS( 33 ),3607802.580000000074506,3421381.799999999813735,3613172.979999999981374,10642358.359999999403954
FS( 34 ),3586284.930000000167638,3446538.600000000093132,3692628.929999999701977,10725453.460000000894070
FS( 35 ),3542771.460000000428408,3473372.520000000018626,3699605.550000000279397,10715750.530000001192093
FS( 36 ),3548987.669999999925494,3492659.399999999906868,3698442.780000000260770,10740090.850000001490116
FS( 37 ),3517906.619999999646097,3459117.000000000000000,3669761.120000000111759,10646785.739999998360872
FS( 38 ),3559985.580000000074506,3502512.479999999981374,3670148.709999999962747,10732647.769999999552965
FS( 39 ),3550900.350000000558794,3524105.399999999906868,3682551.590000000316650,10757558.339999999850988
FS( 40 ),3577677.869999999646097,3553035.719999999739230,3685652.310000000055879,10816366.900000000372529
FS( 41 ),3643665.330000000074506,3522847.560000000055879,3653869.929999999701977,10820383.820000000298023
FS( 42 ),3729257.759999999776483,3526621.080000000074506,3635653.199999999720603,10891533.039999999105930
FS( 43 ),3798592.410000000149012,3541715.160000000149012,3623250.320000000298023,10963558.890000000596046
FS( 44 ),3765598.680000000167638,3558067.080000000074506,3624800.679999999701977,10948467.439999999478459
FS( 45 ),3868405.230000000447035,3523057.200000000186265,3658521.010000000242144,11049984.440000001341105
FS( 46 ),3859320.000000000000000,3536683.799999999813735,3669373.530000000260770,11065378.330000000074506
FS( 47 ),3879403.140000000130385,3470856.839999999850988,3648443.669999999925494,10998704.650000000372529
FS( 48 ),3825369.930000000167638,3505447.439999999944121,3707357.350000000093132,11038175.720000000670552
FS( 49 ),3869361.570000000298023,3515090.879999999888241,3714721.560000000055879,11099175.009999999776483
