代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10805936.990000000223517
真實報酬,805936.990000000223517

夏普值報酬,0.071893699000000
夏普值風險,0.023242085382900
夏普值,3.093255093748845

二次趨勢線,-67.614869857581709 x^2 + 16875.523963022242242 x + 10000000.000000000000000
二次平均預期報酬,12412.942552421849541
風險,37453.164572899964696
二次平均趨勢值,0.331425733819126
一次趨勢線,13554.137035285328238 x + 10000000.000000000000000
一次預期報酬,13554.137035285328238
一次風險,49620.360654559262912
一次趨勢值,0.273156761790685
找到最佳解世代,1655
找到最佳解實驗#,4
找到最佳解次數,32

stock[index](rank)
投資組合檔數,6
AXP[1](2),JPM[13](6),MCD[15](8),PG[21](7),UNH[23](1),V[25](4),
Stock#,AXP[1](2),JPM[13](6),MCD[15](8),PG[21](7),UNH[23](1),V[25](4),
張數,21291,20065,10936,18911,9280,17470,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,6.520000000018626,67.099999999860302,128.960000000195578,39.570000000065193,163.599999999860302,28.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1671137.109999999869615,1658238.699999999953434,1681429.600000000325963,1675365.060000000055879,1664902.799999999813735,1679768.500000000000000,10030845.769999999552965
FS( 3 ),1681356.790000000037253,1661248.449999999953434,1671040.400000000139698,1678201.709999999962747,1664717.199999999953434,1686756.500000000000000,10043325.050000000745058
FS( 4 ),1678801.869999999878928,1664659.499999999767169,1653980.239999999990687,1679336.370000000111759,1678173.199999999720603,1673479.300000000046566,10028434.480000000447035
FS( 5 ),1699241.229999999981374,1683721.249999999767169,1661744.800000000279397,1678769.040000000037253,1700352.399999999906868,1678720.300000000046566,10102553.019999999552965
FS( 6 ),1702221.969999999972060,1704588.849999999860302,1656167.440000000176951,1661370.919999999925494,1686246.799999999813735,1678720.300000000046566,10089320.280000001192093
FS( 7 ),1709886.729999999981374,1744919.499999999767169,1656714.239999999990687,1667233.330000000074506,1684112.399999999906868,1651991.199999999953434,10114861.399999998509884
FS( 8 ),1706905.989999999990687,1745320.800000000046566,1623796.880000000121072,1668746.209999999962747,1663603.599999999860302,1633473.000000000000000,10041850.480000000447035
FS( 9 ),1715848.210000000195578,1751139.649999999674037,1638560.480000000214204,1665342.230000000214204,1680307.599999999860302,1661075.599999999860302,10112277.769999999552965
FS( 10 ),1721170.960000000195578,1747527.949999999953434,1647965.440000000176951,1672528.409999999916181,1692464.399999999906868,1665268.399999999906868,10146929.560000000521541
FS( 11 ),1718190.219999999972060,1737094.149999999674037,1653324.080000000074506,1690304.750000000000000,1674089.999999999767169,1645177.900000000139698,10118185.099999999627471
FS( 12 ),1734158.469999999972060,1729268.800000000046566,1662291.600000000325963,1695599.830000000074506,1685689.999999999767169,1645177.900000000139698,10152190.599999999627471
FS( 13 ),1743313.599999999860302,1767191.649999999674037,1674868.000000000000000,1699382.030000000027940,1698589.199999999953434,1656009.300000000046566,10239357.780000001192093
FS( 14 ),1756726.930000000167638,1756155.899999999674037,1685038.480000000214204,1695032.500000000000000,1700909.199999999953434,1648846.599999999860302,10242713.609999999403954
FS( 15 ),1750339.629999999888241,1748129.899999999906868,1681320.239999999990687,1690682.970000000204891,1716221.199999999720603,1651641.800000000046566,10238339.740000000223517
FS( 16 ),1751191.270000000018626,1746123.399999999674037,1693021.760000000242144,1683685.900000000139698,1730883.599999999860302,1641334.500000000000000,10246244.429999999701977
FS( 17 ),1750552.540000000037253,1742912.999999999767169,1691272.000000000000000,1691061.190000000176951,1719283.599999999860302,1669810.599999999860302,10264896.929999999701977
FS( 18 ),1766307.879999999888241,1750537.699999999720603,1683835.520000000251457,1689926.530000000027940,1718077.199999999953434,1663521.399999999906868,10272210.230000000447035
FS( 19 ),1768862.800000000046566,1766790.349999999860302,1681210.880000000121072,1675743.280000000027940,1713251.599999999860302,1657931.000000000000000,10263793.910000000149012
FS( 20 ),1787811.790000000037253,1802305.399999999674037,1687553.760000000242144,1671204.640000000130385,1723459.599999999860302,1681166.100000000093132,10353505.289999999105930
FS( 21 ),1780572.849999999860302,1828991.849999999860302,1674758.640000000130385,1645107.459999999962747,1719469.199999999953434,1649545.400000000139698,10298449.400000000372529
FS( 22 ),1793560.359999999869615,1834008.099999999860302,1675086.720000000204891,1648133.220000000204891,1720861.199999999720603,1638364.600000000093132,10310018.199999999254942
FS( 23 ),1811870.619999999878928,1861095.849999999860302,1667868.960000000195578,1659290.709999999962747,1732275.599999999860302,1630852.500000000000000,10363258.240000000223517
FS( 24 ),1807399.510000000009313,1879756.300000000046566,1674102.480000000214204,1657966.940000000176951,1747123.599999999860302,1642382.700000000186265,10408735.530000001192093
FS( 25 ),1782914.859999999869615,1873736.799999999813735,1674321.200000000186265,1652293.640000000130385,1734966.799999999813735,1629105.500000000000000,10347342.800000000745058
FS( 26 ),1795476.550000000046566,1883167.349999999860302,1709097.680000000400469,1657588.720000000204891,1744432.399999999906868,1640810.400000000139698,10430577.100000001490116
