代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11998983.730000000447035
真實報酬,1998983.730000000447035

夏普值報酬,0.191198373000000
夏普值風險,0.051875535407809
夏普值,3.685713728001684

二次趨勢線,252.678125293034356 x^2 + 18154.409637395408936 x + 10000000.000000000000000
二次平均預期報酬,33567.775280270507210
風險,108089.095044372908887
二次平均趨勢值,0.310556539181776
一次趨勢線,29618.896479203347553 x + 10000000.000000000000000
一次預期報酬,29618.896479203347553
一次風險,149861.304448403679999
一次趨勢值,0.197642057022138
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),BA[2](4),V[25](2),
Stock#,AAPL[0](1),BA[2](4),V[25](2),
張數,30444,21873,44191,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.439999999944121,106.530000000260770,5.869999999646097,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3345815.040000000037253,3330270.780000000260770,3346148.389999999664724,10022235.210000000894070
FS( 3 ),3321764.279999999795109,3328302.209999999962747,3416412.079999999608845,10066479.570000000298023
FS( 4 ),3347337.240000000223517,3330052.050000000279397,3407573.879999999422580,10084964.169999999925494
FS( 5 ),3380216.759999999776483,3371610.750000000000000,3504794.079999999608845,10256622.589999999850988
FS( 6 ),3413400.720000000204891,3398952.000000000000000,3503468.349999999627471,10315822.070000000298023
FS( 7 ),3469113.240000000223517,3423012.300000000279397,3497281.609999999869615,10389408.150000000372529
FS( 8 ),3449324.639999999664724,3437667.209999999962747,3468999.369999999646097,10355992.219999998807907
FS( 9 ),3506863.799999999813735,3426730.709999999962747,3499933.069999999832362,10433528.580000000074506
FS( 10 ),3506863.799999999813735,3378828.840000000316650,3496839.699999999254942,10382533.339999999850988
FS( 11 ),3526043.519999999552965,3363517.740000000689179,3513190.369999999646097,10402752.629999998956919
FS( 12 ),3530610.120000000111759,3379485.030000000260770,3462370.719999999273568,10372466.869999999180436
FS( 13 ),3551007.600000000093132,3416231.670000000391155,3451322.969999999273568,10418563.240000000223517
FS( 14 ),3560445.240000000223517,3420825.000000000000000,3462812.629999999422580,10444083.869999999180436
FS( 15 ),3563794.080000000074506,3444666.569999999832362,3453090.609999999869615,10461552.259999999776483
FS( 16 ),3540352.200000000186265,3444229.110000000335276,3442484.770000000018626,10427067.080000000074506
FS( 17 ),3547354.319999999832362,3451884.660000000149012,3453532.520000000018626,10452772.500000000000000
FS( 18 ),3569882.879999999888241,3444666.569999999832362,3462370.719999999273568,10476921.169999998062849
FS( 19 ),3554660.879999999888241,3414481.830000000074506,3460161.169999999459833,10429304.879999998956919
FS( 20 ),3553747.560000000055879,3405513.900000000372529,3461486.899999999441206,10420749.359999999403954
FS( 21 ),3526043.519999999552965,3405295.170000000391155,3447787.689999999478459,10379127.379999998956919
FS( 22 ),3536090.040000000037253,3433511.340000000316650,3513190.369999999646097,10482792.750000000000000
FS( 23 ),3532132.319999999832362,3469601.790000000502914,3541914.520000000018626,10543649.630000000819564
FS( 24 ),3550094.279999999795109,3471570.360000000335276,3583454.059999999590218,10605119.699999999254942
