代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11911015.550000000745058
真實報酬,1911015.550000000745058

夏普值報酬,0.182401555000000
夏普值風險,0.055567762875351
夏普值,3.282506719033490

二次趨勢線,-8.272206109097397 x^2 + 31280.577718586748233 x + 10000000.000000000000000
二次平均預期報酬,30742.884321495414042
風險,109116.556647313918802
二次平均趨勢值,0.281743534309486
一次趨勢線,30880.433795169927180 x + 10000000.000000000000000
一次預期報酬,30880.433795169927180
一次風險,109184.868676429163315
一次趨勢值,0.282827045262879
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](3),WMT[28](1),
Stock#,DIS[6](3),WMT[28](1),
張數,114181,84645,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,14.009999999776483,19.849999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4971454.750000000000000,4994921.299999999813735,9966376.050000000745058
FS( 3 ),5002283.620000000111759,4993228.399999999441206,9995512.019999999552965
FS( 4 ),4901804.339999999850988,4968681.349999999627471,9870485.689999999478459
FS( 5 ),5003425.429999999701977,5010157.399999999441206,10013582.829999998211861
FS( 6 ),5058232.309999999590218,4998307.099999999627471,10056539.410000000149012
FS( 7 ),5140442.629999999888241,4996614.200000000186265,10137056.830000000074506
FS( 8 ),5170129.689999999478459,5010157.399999999441206,10180287.089999999850988
FS( 9 ),5202100.370000000111759,5029625.750000000000000,10231726.120000001043081
FS( 10 ),5157569.780000000260770,5000000.000000000000000,10157569.780000001192093
FS( 11 ),5139300.819999999366701,5023700.599999999627471,10163001.419999998062849
FS( 12 ),5147293.489999999292195,5010157.399999999441206,10157450.889999998733401
FS( 13 ),5061657.739999999292195,5220923.449999999254942,10282581.189999997615814
FS( 14 ),5002283.620000000111759,5284407.199999999254942,10286690.820000000298023
FS( 15 ),5068508.599999999627471,5336040.649999999441206,10404549.250000000000000
FS( 16 ),5068508.599999999627471,5394445.699999999254942,10462954.299999998882413
FS( 17 ),5068508.599999999627471,5394445.699999999254942,10462954.299999998882413
FS( 18 ),5074217.649999999441206,5507869.999999999068677,10582087.649999998509884
FS( 19 ),5081068.509999999776483,5528184.799999999813735,10609253.309999998658895
FS( 20 ),5192965.889999999664724,5559503.450000000186265,10752469.339999999850988
FS( 21 ),5160995.209999999962747,5539188.649999999441206,10700183.859999999403954
FS( 22 ),5219227.519999999552965,5571353.749999999068677,10790581.269999999552965
FS( 23 ),5069650.409999999217689,5548499.599999999627471,10618150.009999997913837
FS( 24 ),5070792.219999999739230,5585743.399999999441206,10656535.619999999180436
FS( 25 ),5119890.049999999813735,5544267.349999999627471,10664157.399999998509884
FS( 26 ),5198674.939999999478459,5580664.700000000186265,10779339.640000000596046
FS( 27 ),5210093.040000000037253,5575586.000000000000000,10785679.039999999105930
FS( 28 ),5279743.450000000186265,5774501.749999999068677,11054245.199999999254942
FS( 29 ),5229503.809999999590218,5716096.700000000186265,10945600.509999999776483
FS( 30 ),5295728.790000000037253,5732179.249999999068677,11027908.039999999105930
FS( 31 ),5278601.639999999664724,5677159.999999999068677,10955761.639999998733401
