代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11391418.170000001788139
真實報酬,1391418.170000001788139

夏普值報酬,0.130441817000000
夏普值風險,0.071798254601859
夏普值,1.816782562798152

二次趨勢線,1384.593242576867624 x^2 + -49984.601962812477723 x + 10000000.000000000000000
二次平均預期報酬,33090.992591799571528
風險,259873.517699072137475
二次平均趨勢值,0.127334993133537
一次趨勢線,11798.508273180490505 x + 10000000.000000000000000
一次預期報酬,11798.508273180490505
一次風險,608479.746614109491929
一次趨勢值,0.019390141313385
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),PG[21](2),
Stock#,BA[2](1),PG[21](2),
張數,13890,53579,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,155.600000000558794,7.720000000670552,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4757480.600000000558794,4999464.210000000894070,9756944.810000002384186
FS( 3 ),4610246.600000000558794,5012323.170000000856817,9622569.770000001415610
FS( 4 ),4489681.400000001303852,4953386.270000000484288,9443067.670000001788139
FS( 5 ),4533157.100000000558794,4984462.090000000782311,9517619.190000001341105
FS( 6 ),4473152.299999999813735,5031611.610000000335276,9504763.910000000149012
FS( 7 ),4537879.700000000186265,5038041.090000000782311,9575920.790000000968575
FS( 8 ),4520933.900000001303852,5169845.430000000633299,9690779.330000001937151
FS( 9 ),4427593.100000000558794,5177882.280000000260770,9605475.380000000819564
FS( 10 ),4391201.300000000745058,4970531.550000000745058,9361732.850000001490116
FS( 11 ),4556909.000000000931323,4955529.430000000633299,9512438.430000001564622
FS( 12 ),4438705.100000000558794,4916416.760000000707805,9355121.860000001266599
FS( 13 ),4348420.100000000558794,4874625.140000000596046,9223045.240000002086163
FS( 14 ),4230355.100000000558794,4874089.350000000558794,9104444.450000001117587
FS( 15 ),4086038.000000000931323,4680669.160000001080334,8766707.160000002011657
FS( 16 ),4360643.300000000745058,4826939.830000001005828,9187583.130000002682209
FS( 17 ),4405230.200000000186265,4930347.300000000745058,9335577.500000000000000
FS( 18 ),4394673.800000000745058,4885340.940000001341105,9280014.740000002086163
FS( 19 ),4479680.600000000558794,4924989.400000000372529,9404670.000000000000000
FS( 20 ),4497876.500000000931323,4890698.840000000782311,9388575.340000001713634
FS( 21 ),4318556.600000000558794,4856408.280000000260770,9174964.880000000819564
FS( 22 ),4543296.800000000745058,4955529.430000000633299,9498826.230000000447035
FS( 23 ),4557603.500000000931323,4935705.200000001117587,9493308.700000002980232
FS( 24 ),4730117.299999999813735,4953922.060000000521541,9684039.359999999403954
FS( 25 ),4775954.300000000745058,4873017.770000000484288,9648972.070000000298023
FS( 26 ),4897908.500000000931323,4884805.150000000372529,9782713.650000002235174
FS( 27 ),4901936.600000000558794,4916952.550000000745058,9818889.150000002235174
FS( 28 ),4866656.000000000931323,4883733.570000001229346,9750389.570000002160668
FS( 29 ),4892769.200000001117587,4929811.510000000707805,9822580.710000000894070
FS( 30 ),4890269.000000000931323,4895520.950000001117587,9785789.950000002980232
FS( 31 ),4987915.700000000186265,4856408.280000000260770,9844323.980000000447035
FS( 32 ),5066255.300000000745058,4898199.900000000372529,9964455.200000001117587
FS( 33 ),4971386.600000000558794,4845692.480000000447035,9817079.080000001937151
FS( 34 ),4981248.500000000931323,5081440.080000001005828,10062688.580000001937151
FS( 35 ),4976525.900000000372529,5052507.420000000856817,10029033.320000000298023
FS( 36 ),5058893.600000000558794,5015002.120000000111759,10073895.720000000670552
FS( 37 ),5041808.900000001303852,5010715.800000000745058,10052524.700000002980232
FS( 38 ),5068755.500000000931323,5011787.380000000819564,10080542.880000002682209
FS( 39 ),5385586.400000001303852,5064294.800000000745058,10449881.200000002980232
FS( 40 ),5356417.400000000372529,5168773.850000000558794,10525191.250000000000000
FS( 41 ),5381558.300000000745058,5222352.850000000558794,10603911.150000002235174
FS( 42 ),5514485.600000000558794,5252357.090000000782311,10766842.690000001341105
FS( 43 ),5697555.800000000745058,5220745.480000000447035,10918301.280000001192093
FS( 44 ),5710473.500000000931323,5246463.400000000372529,10956936.900000002235174
FS( 45 ),5627966.900000000372529,5204671.780000000260770,10832638.679999999701977
FS( 46 ),5624355.500000000931323,5235211.810000000521541,10859567.310000002384186
FS( 47 ),5611021.100000000558794,5265216.050000000745058,10876237.150000002235174
FS( 48 ),5705056.400000001303852,5318259.260000000707805,11023315.660000002011657
FS( 49 ),5703111.800000000745058,5317187.680000000633299,11020299.480000000447035
FS( 50 ),5692555.400000000372529,5275396.060000000521541,10967951.460000000894070
FS( 51 ),5805758.900000001303852,5276467.640000000596046,11082226.540000002831221
FS( 52 ),5782007.000000000000000,5357371.930000000633299,11139378.929999999701977
FS( 53 ),5855485.100000000558794,5319330.840000000782311,11174815.940000001341105
FS( 54 ),5800341.800000000745058,5346120.340000000782311,11146462.140000000596046
FS( 55 ),5890210.100000000558794,5371302.470000000670552,11261512.570000000298023
FS( 56 ),5929379.900000000372529,5334868.750000000000000,11264248.650000000372529
FS( 57 ),5927990.900000000372529,5348799.290000000968575,11276790.190000001341105
FS( 58 ),6048417.200000000186265,5299506.610000000335276,11347923.810000000521541
FS( 59 ),6111200.000000000000000,5280218.170000000856817,11391418.170000001788139
