代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11947360.519999999552965
真實報酬,1947360.519999999552965

夏普值報酬,0.186036052000000
夏普值風險,0.056236548703264
夏普值,3.308098670521781

二次趨勢線,315.439404895913185 x^2 + 13687.450337098229284 x + 10000000.000000000000000
二次平均預期報酬,33560.132845540763810
風險,69236.147026034901501
二次平均趨勢值,0.484719821756129
一次趨勢線,28472.726123379405180 x + 10000000.000000000000000
一次預期報酬,28472.726123379405180
一次風險,154644.742031625035452
一次趨勢值,0.184117001000633
找到最佳解世代,2851
找到最佳解實驗#,3
找到最佳解次數,15

stock[index](rank)
投資組合檔數,7
BA[2](1),CAT[3](8),CVX[5](14),MSFT[18](6),NKE[19](5),TRV[22](23),WMT[28](10),
Stock#,BA[2](1),CAT[3](8),CVX[5](14),MSFT[18](6),NKE[19](5),TRV[22](23),WMT[28](10),
張數,5526,10481,12325,17174,25941,10703,16244,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,100.000000000000000,115.510000000009313,103.500000000000000,37.679999999934807,0.129999999888241,41.590000000083819,73.640000000130385,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1451393.379999999888241,1430457.580000000074506,1421545.750000000000000,1443512.379999999888241,1429868.049999999813735,1441628.660000000149012,1442540.840000000083819,10060949.640000000596046
FS( 3 ),1446530.500000000000000,1432134.540000000037253,1417355.250000000000000,1445058.040000000037253,1445173.239999999990687,1426965.550000000046566,1456835.560000000288710,10070055.680000001564622
FS( 4 ),1459350.820000000065193,1443454.020000000018626,1442621.500000000000000,1450725.459999999962747,1453733.769999999785796,1428249.910000000149012,1440916.440000000176951,10119054.919999999925494
FS( 5 ),1470734.379999999888241,1454983.120000000111759,1445086.500000000000000,1447290.659999999916181,1430646.279999999795109,1431246.750000000000000,1444977.440000000176951,10124968.129999998956919
FS( 6 ),1467639.820000000065193,1439052.000000000000000,1438061.250000000000000,1452271.119999999878928,1446470.289999999804422,1429106.150000000139698,1466257.080000000307336,10138860.710000000894070
