代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10969059.240000000223517
真實報酬,969059.240000000223517

夏普值報酬,0.088205924000000
夏普值風險,0.026406923853254
夏普值,3.340257444985628

二次趨勢線,-78.885767946944469 x^2 + 20801.413099429784779 x + 10000000.000000000000000
二次平均預期報酬,15910.495486719226392
風險,53464.204067849335843
二次平均趨勢值,0.297591552406314
一次趨勢線,17163.047558267018758 x + 10000000.000000000000000
一次預期報酬,17163.047558267018758
一次風險,63084.866159786179196
一次趨勢值,0.272062835400096
找到最佳解世代,1868
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](2),INTC[11](3),KO[14](12),MCD[15](9),PG[21](6),UNH[23](18),
Stock#,CVX[5](2),INTC[11](3),KO[14](12),MCD[15](9),PG[21](6),UNH[23](18),
張數,14996,69589,44802,17917,22016,23560,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,10.560000000055879,9.449999999953434,31.599999999860302,26.660000000149012,54.800000000046566,31.600000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1662017.239999999990687,1657619.429999999934807,1679210.559999999823049,1667920.190000000176951,1675252.240000000223517,1661247.200000000186265,10003270.859999999403954
FS( 3 ),1642372.479999999981374,1636742.729999999981374,1685034.819999999832362,1676699.520000000018626,1683178.000000000000000,1668550.800000000046566,9992582.349999999627471
FS( 4 ),1668615.479999999981374,1669449.559999999823049,1703851.659999999916181,1701066.640000000130385,1693085.200000000186265,1669728.800000000279397,10105801.339999999850988
FS( 5 ),1680312.360000000102445,1684759.139999999897555,1700267.500000000000000,1718625.300000000279397,1702111.760000000009313,1681273.200000000186265,10167353.260000001639128
FS( 6 ),1674913.800000000046566,1690326.260000000009313,1728044.739999999757856,1699633.280000000027940,1717963.280000000027940,1643106.000000000000000,10153991.359999999403954
FS( 7 ),1703256.239999999990687,1702852.279999999795109,1731180.879999999888241,1708233.440000000176951,1735796.240000000223517,1663838.800000000279397,10245161.880000000819564
FS( 8 ),1680012.440000000176951,1708419.399999999906868,1725356.619999999878928,1700170.790000000270084,1706074.639999999897555,1654886.000000000000000,10174923.890000000596046
FS( 9 ),1687210.520000000018626,1718857.750000000000000,1731628.899999999906868,1710383.479999999981374,1712899.600000000093132,1677739.199999999953434,10238723.449999999254942
FS( 10 ),1701756.640000000130385,1723033.090000000083819,1744173.459999999962747,1716116.920000000158325,1748125.200000000186265,1732162.800000000046566,10365372.110000001266599
FS( 11 ),1690209.719999999972060,1723033.090000000083819,1678762.539999999804422,1720417.000000000000000,1716642.320000000065193,1739466.400000000139698,10268535.070000000298023
FS( 12 ),1703556.159999999916181,1704939.949999999953434,1662185.799999999813735,1711996.010000000009313,1720385.040000000037253,1732869.600000000093132,10235936.560000000521541
FS( 13 ),1718552.159999999916181,1721641.309999999823049,1671146.199999999720603,1715579.410000000149012,1715541.520000000018626,1731220.400000000139698,10273685.000000000000000
FS( 14 ),1689759.840000000083819,1699372.830000000074506,1665769.959999999962747,1728121.310000000288710,1716642.320000000065193,1738995.200000000186265,10238665.460000000894070
FS( 15 ),1711803.960000000195578,1713986.519999999785796,1680106.599999999860302,1729017.160000000149012,1714220.560000000055879,1790827.200000000186265,10339966.000000000000000
FS( 16 ),1724100.679999999934807,1713290.630000000121072,1692203.139999999897555,1731167.200000000186265,1719944.720000000204891,1774570.800000000046566,10355281.170000001788139
