代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11064970.220000000670552
真實報酬,1064970.220000000670552

夏普值報酬,0.097797022000000
夏普值風險,0.027596463582728
夏普值,3.543824436302391

二次趨勢線,-271.788425258529685 x^2 + 32860.595483100463753 x + 10000000.000000000000000
二次平均預期報酬,15194.347841296033948
風險,57479.717543514700083
二次平均趨勢值,0.264342771514026
一次趨勢線,19713.620493850619823 x + 10000000.000000000000000
一次預期報酬,19713.620493850619823
一次風險,139290.907963855657727
一次趨勢值,0.141528408293283
找到最佳解世代,1892
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
CVX[5](2),IBM[10](10),JNJ[12](3),KO[14](21),PFE[20](4),XOM[29](1),
Stock#,CVX[5](2),IBM[10](10),JNJ[12](3),KO[14](21),PFE[20](4),XOM[29](1),
張數,19350,12403,15544,38147,55481,20505,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,50.500000000000000,74.889999999897555,38.320000000065193,23.570000000065193,16.760000000009313,19.599999999860302,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1686209.500000000000000,1690603.790000000037253,1663868.080000000074506,1669717.760000000242144,1663337.140000000130385,1695783.099999999860302,10069523.370000001043081
FS( 3 ),1693756.000000000000000,1709208.290000000037253,1657805.920000000158325,1676965.690000000176951,1658343.850000000093132,1689631.600000000093132,10085715.349999999627471
FS( 4 ),1701496.000000000232831,1709208.290000000037253,1655474.320000000065193,1682687.739999999990687,1648357.270000000018626,1687376.050000000046566,10084603.670000001788139
FS( 5 ),1754515.000000000000000,1738355.340000000083819,1659204.879999999888241,1678873.040000000037253,1652795.750000000000000,1731871.899999999674037,10215619.910000000149012
FS( 6 ),1717169.500000000000000,1724960.099999999860302,1651122.000000000000000,1690698.610000000102445,1628938.919999999925494,1694347.749999999767169,10107240.879999998956919
FS( 7 ),1796117.499999999767169,1741580.119999999878928,1660759.280000000027940,1709390.640000000130385,1650021.699999999953434,1689631.600000000093132,10247504.839999997988343
FS( 8 ),1817789.500000000000000,1738851.459999999962747,1665422.479999999981374,1725412.379999999888241,1641699.550000000046566,1685120.500000000000000,10274299.869999999180436
FS( 9 ),1830173.500000000000000,1765765.969999999972060,1674282.560000000055879,1724267.970000000204891,1692187.260000000009313,1685325.549999999813735,10372006.809999998658895
FS( 10 ),1823981.500000000000000,1770975.229999999981374,1673505.360000000102445,1727701.199999999953434,1669994.860000000102445,1689836.649999999674037,10355998.800000000745058
FS( 11 ),1824175.000000000000000,1773207.770000000018626,1675059.760000000242144,1725793.850000000093132,1638925.500000000000000,1698243.699999999720603,10335409.580000000074506
