代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11158225.379999998956919
真實報酬,1158225.379999998956919

夏普值報酬,0.107122538000000
夏普值風險,0.032996050436267
夏普值,3.246526071564525

二次趨勢線,-239.488163124210217 x^2 + 33663.900805429620959 x + 10000000.000000000000000
二次平均預期報酬,18576.146528604374907
風險,62174.446097383086453
二次平均趨勢值,0.298774620356228
一次趨勢線,22438.611623471584608 x + 10000000.000000000000000
一次預期報酬,22438.611623471584608
一次風險,122014.424914203991648
一次趨勢值,0.183901302155459
找到最佳解世代,2122
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](9),DIS[6](1),MMM[16](12),NKE[19](11),UNH[23](6),
Stock#,AAPL[0](9),DIS[6](1),MMM[16](12),NKE[19](11),UNH[23](6),
張數,17938,21647,12176,40306,14344,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,92.380000000121072,33.669999999925494,92.000000000000000,16.280000000027940,16.079999999841675,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2001793.800000000279397,1989609.439999999944121,2018020.479999999981374,2004030.600000000093132,1993545.199999999720603,10006999.519999999552965
FS( 3 ),1970222.920000000158325,2021214.060000000055879,2031414.080000000074506,2004433.659999999916181,1977049.600000000093132,10004334.320000000298023
FS( 4 ),1952464.300000000279397,2001298.820000000065193,2027152.479999999981374,2013704.040000000037253,1975328.320000000065193,9969947.959999999031425
FS( 5 ),1980626.959999999962747,2044159.880000000121072,2066846.240000000223517,2051994.739999999990687,2035860.000000000000000,10179487.820000000298023
FS( 6 ),1992286.660000000149012,2043077.529999999795109,2082553.280000000027940,2058846.760000000009313,2049773.679999999934807,10226537.910000000149012
FS( 7 ),1989057.820000000065193,2048705.750000000000000,2074760.639999999897555,2060459.000000000000000,2035429.679999999934807,10208412.890000000596046
FS( 8 ),1933629.400000000139698,2055632.789999999804422,2122125.279999999795109,2031035.620000000111759,2096104.799999999813735,10238527.890000000596046
FS( 9 ),1945109.720000000204891,2114512.629999999888241,2131866.080000000074506,2046351.900000000139698,2100264.559999999590218,10338104.890000000596046
FS( 10 ),1896318.360000000102445,2119707.910000000149012,2105444.160000000149012,2023780.540000000037253,2184320.399999999441206,10329571.370000001043081
FS( 11 ),1921431.560000000055879,2114945.569999999832362,2121638.240000000223517,2020556.060000000055879,2183603.199999999254942,10362174.629999998956919
FS( 12 ),1973093.000000000000000,2145684.310000000055879,2094485.759999999776483,2042724.360000000102445,2173132.080000000074506,10429119.510000001639128
FS( 13 ),1972375.480000000214204,2151096.060000000055879,2103739.520000000018626,2079402.820000000065193,2162660.959999999962747,10469274.839999999850988
FS( 14 ),1974348.660000000149012,2126634.949999999720603,2106052.959999999962747,2059652.880000000121072,2143726.879999999888241,10410416.330000000074506
