代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11184747.390000000596046
真實報酬,1184747.390000000596046

夏普值報酬,0.109774739000000
夏普值風險,0.033190519761523
夏普值,3.307412471655843

二次趨勢線,161.764611185914788 x^2 + 8358.218703950868075 x + 10000000.000000000000000
二次平均預期報酬,18711.153819849416323
風險,53771.094069875223795
二次平均趨勢值,0.347977926495868
一次趨勢線,16061.780660269017972 x + 10000000.000000000000000
一次預期報酬,16061.780660269017972
一次風險,90824.328552336053690
一次趨勢值,0.176844474561831
找到最佳解世代,2115
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),CSCO[4](6),INTC[11](11),MCD[15](3),TRV[22](1),VZ[26](15),
Stock#,AAPL[0](4),CSCO[4](6),INTC[11](11),MCD[15](3),TRV[22](1),VZ[26](15),
張數,22107,77267,68027,17670,20036,35228,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,19.270000000018626,16.810000000055879,4.500000000000000,31.600000000093132,71.519999999785796,29.319999999832362,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1677719.500000000000000,1685982.750000000000000,1674148.969999999972060,1678328.200000000186265,1685299.479999999748543,1687450.519999999785796,10088933.419999999925494
FS( 3 ),1681256.619999999878928,1689846.100000000093132,1666666.000000000000000,1679035.000000000000000,1690508.839999999850988,1669131.959999999962747,10076448.519999999552965
FS( 4 ),1676172.009999999776483,1685982.750000000000000,1675509.510000000009313,1688930.199999999953434,1691109.919999999925494,1671950.199999999953434,10089658.589999999850988
FS( 5 ),1675287.729999999981374,1679028.720000000204891,1676189.780000000027940,1687516.600000000093132,1681693.000000000000000,1661029.519999999785796,10060749.349999999627471
FS( 6 ),1676835.219999999972060,1675938.040000000270084,1689795.179999999934807,1682215.600000000093132,1678687.599999999860302,1656802.159999999916181,10060277.800000000745058
FS( 7 ),1692973.330000000074506,1669756.679999999934807,1682312.209999999962747,1745474.200000000186265,1674680.399999999674037,1645176.919999999925494,10110377.740000000223517
FS( 8 ),1694741.889999999897555,1685982.750000000000000,1684353.020000000018626,1744237.300000000046566,1671675.000000000000000,1633199.399999999906868,10114193.360000001266599
FS( 9 ),1675950.940000000176951,1662802.649999999906868,1671427.890000000130385,1720559.500000000232831,1654844.759999999776483,1621574.159999999916181,10007163.900000000372529
FS( 10 ),1657159.989999999990687,1649667.260000000242144,1666666.000000000000000,1724270.199999999953434,1656247.279999999795109,1623335.559999999823049,9977350.290000000968575
FS( 11 ),1663571.020000000018626,1662029.980000000214204,1680271.399999999906868,1724623.600000000093132,1673878.959999999962747,1631438.000000000000000,10035816.960000000894070
FS( 12 ),1678161.639999999897555,1671302.020000000018626,1688434.640000000130385,1719499.300000000046566,1682093.719999999739230,1645176.919999999925494,10084672.240000000223517
FS( 13 ),1677719.500000000000000,1671302.020000000018626,1702040.040000000037253,1698118.600000000093132,1667066.719999999739230,1633199.399999999906868,10049450.279999999329448
FS( 14 ),1669760.979999999981374,1686755.419999999925494,1729931.109999999869615,1706953.600000000093132,1667667.799999999813735,1663143.199999999953434,10124216.109999999403954
FS( 15 ),1682804.110000000102445,1672074.690000000176951,1712244.090000000083819,1686986.500000000000000,1678687.599999999860302,1652574.799999999813735,10085375.789999999105930
FS( 16 ),1702921.479999999981374,1666666.000000000000000,1708842.739999999990687,1699532.200000000186265,1680290.479999999748543,1656097.599999999860302,10114354.500000000000000
FS( 17 ),1721270.290000000037253,1726161.590000000083819,1731971.920000000158325,1694761.300000000046566,1683696.599999999860302,1663495.479999999748543,10221361.179999999701977
FS( 18 ),1704690.040000000037253,1724616.250000000000000,1726529.760000000009313,1693524.400000000139698,1671675.000000000000000,1656097.599999999860302,10177137.049999998882413
FS( 19 ),1697394.729999999981374,1701436.149999999906868,1721767.869999999878928,1699178.800000000046566,1672877.159999999683350,1680052.639999999664724,10172711.349999997764826
FS( 20 ),1695405.099999999860302,1725388.919999999925494,1742856.239999999990687,1718262.399999999906868,1682895.159999999683350,1670541.079999999841675,10235352.900000000372529
FS( 21 ),1695184.030000000260770,1732342.950000000186265,1755781.369999999878928,1732221.700000000186265,1705135.119999999646097,1675825.279999999795109,10296494.449999999254942
FS( 22 ),1710658.929999999934807,1784884.510000000242144,1768026.229999999981374,1729924.600000000093132,1690909.559999999823049,1682166.319999999832362,10366574.150000000372529
FS( 23 ),1713532.840000000083819,1776385.139999999897555,1761223.530000000027940,1724446.900000000139698,1696118.919999999925494,1684632.279999999795109,10356343.609999999403954
FS( 24 ),1701595.060000000055879,1784111.840000000083819,1796597.570000000065193,1725683.800000000046566,1702730.799999999813735,1695200.679999999701977,10405923.750000000000000
FS( 25 ),1679488.060000000055879,1754750.380000000121072,1779590.820000000065193,1729394.500000000232831,1707138.719999999739230,1692382.439999999711290,10342748.919999999925494
FS( 26 ),1653180.729999999981374,1765567.760000000242144,1802039.729999999981374,1714198.300000000279397,1703131.519999999785796,1695200.679999999701977,10333322.720000000670552
FS( 27 ),1653180.729999999981374,1772521.790000000270084,1830611.070000000065193,1733105.199999999953434,1697721.799999999813735,1698371.199999999953434,10385515.789999999105930
FS( 28 ),1674845.590000000083819,1786429.850000000093132,1835372.959999999962747,1737876.100000000093132,1719561.039999999571592,1690268.759999999776483,10444358.299999998882413
FS( 29 ),1653180.729999999981374,1750114.359999999869615,1797958.109999999869615,1756959.700000000186265,1702931.159999999683350,1672302.479999999748543,10333450.539999999105930
FS( 30 ),1641021.880000000121072,1735433.630000000121072,1780951.359999999869615,1754485.900000000139698,1709142.319999999832362,1658211.279999999795109,10279250.369999999180436
FS( 31 ),1647653.979999999981374,1765567.760000000242144,1806801.619999999878928,1768975.300000000046566,1713149.519999999785796,1665256.879999999888241,10367409.059999998658895
FS( 32 ),1635716.199999999953434,1768658.440000000176951,1821087.290000000037253,1781697.699999999953434,1720963.559999999823049,1652927.079999999841675,10381054.269999999552965
FS( 33 ),1639032.250000000000000,1779475.820000000065193,1831971.609999999869615,1781697.699999999953434,1738795.599999999860302,1659268.119999999878928,10430245.099999999627471
FS( 34 ),1657823.199999999953434,1793383.880000000121072,1839454.579999999841675,1771449.100000000093132,1736792.000000000000000,1676882.119999999878928,10475788.879999998956919
FS( 35 ),1677498.429999999934807,1808064.609999999869615,1833332.149999999906868,1761200.500000000232831,1731181.919999999925494,1690268.759999999776483,10501550.369999999180436
FS( 36 ),1679266.989999999990687,1817336.649999999906868,1825849.179999999934807,1755016.000000000000000,1740999.559999999823049,1688155.079999999841675,10506627.459999999031425
FS( 37 ),1657159.989999999990687,1815791.310000000055879,1819726.750000000000000,1751658.699999999953434,1765844.199999999720603,1670893.359999999869615,10481078.309999998658895
FS( 38 ),1793118.040000000037253,1802655.919999999925494,1819726.750000000000000,1764204.400000000139698,1775060.759999999776483,1630381.159999999916181,10585151.030000001192093
FS( 39 ),1806382.239999999990687,1777157.810000000055879,1786393.520000000018626,1779930.700000000186265,1769450.679999999934807,1618403.639999999664724,10537722.589999999850988
FS( 40 ),1876240.360000000102445,1778703.149999999906868,1791155.409999999916181,1772509.300000000046566,1796098.559999999823049,1641654.119999999878928,10656364.899999998509884
FS( 41 ),1870713.610000000102445,1789520.530000000027940,1801359.459999999962747,1793536.600000000093132,1821343.919999999925494,1647642.879999999888241,10724121.000000000000000
FS( 42 ),1863639.369999999878928,1785657.179999999934807,1815645.130000000121072,1791416.199999999953434,1814932.399999999674037,1646233.759999999776483,10717528.039999999105930
FS( 43 ),1868060.770000000018626,1777930.480000000214204,1799318.649999999906868,1783994.800000000046566,1819941.399999999674037,1663495.479999999748543,10712745.580000000074506
FS( 44 ),1871376.820000000065193,1772521.790000000270084,1796597.570000000065193,1792299.700000000186265,1823347.519999999785796,1659972.679999999701977,10716120.080000000074506
FS( 45 ),1897905.219999999972060,1774067.130000000121072,1780271.090000000083819,1787175.400000000139698,1816334.919999999925494,1669484.239999999757856,10725242.000000001862645
FS( 46 ),1877345.709999999962747,1755523.050000000046566,1782311.899999999906868,1783818.100000000093132,1800907.199999999720603,1672302.479999999748543,10672212.439999999478459
FS( 47 ),1870713.610000000102445,1767113.100000000093132,1793876.489999999990687,1801664.800000000046566,1824750.039999999571592,1694496.119999999878928,10752618.159999998286366
FS( 48 ),1857007.270000000018626,1778703.149999999906868,1791835.679999999934807,1801488.100000000093132,1828156.159999999683350,1708235.039999999804422,10765429.399999998509884
FS( 49 ),1849269.820000000065193,1778703.149999999906868,1789114.600000000093132,1818804.700000000186265,1829358.319999999832362,1707882.759999999776483,10773137.349999999627471
FS( 50 ),1872261.099999999860302,1791838.540000000270084,1793876.489999999990687,1817567.800000000046566,1844184.959999999962747,1696609.799999999813735,10816342.690000001341105
FS( 51 ),1875135.009999999776483,1766340.429999999934807,1799318.649999999906868,1829406.700000000186265,1861616.279999999795109,1685689.119999999878928,10817510.189999999478459
FS( 52 ),1875577.150000000139698,1762477.079999999841675,1791155.409999999916181,1820571.700000000186265,1856406.919999999925494,1691325.599999999860302,10797517.859999999403954
FS( 53 ),1859660.110000000102445,1868332.870000000111759,1769386.770000000018626,1811206.600000000093132,1850796.839999999850988,1689564.199999999953434,10848951.389999998733401
FS( 54 ),1887072.790000000037253,1883013.600000000093132,1756461.640000000130385,1822515.400000000139698,1855004.399999999674037,1728667.279999999795109,10932739.109999999403954
FS( 55 ),1909400.860000000102445,1881468.260000000242144,1771427.579999999841675,1803961.900000000139698,1858811.239999999757856,1731485.519999999785796,10956559.359999999403954
FS( 56 ),1909843.000000000000000,1863696.850000000093132,1771427.579999999841675,1794066.700000000186265,1856807.639999999897555,1713871.519999999785796,10909717.289999999105930
FS( 57 ),1914927.610000000102445,1891512.970000000204891,1782311.899999999906868,1812266.800000000046566,1860614.479999999748543,1732190.079999999841675,10993827.839999999850988
FS( 58 ),1917801.520000000018626,1883786.270000000018626,1778910.549999999813735,1810323.100000000093132,1863619.879999999888241,1742053.919999999925494,10996499.240000000223517
FS( 59 ),1939466.380000000121072,1894603.649999999906868,1788434.329999999841675,1802371.600000000093132,1860614.479999999748543,1752270.039999999804422,11037764.480000000447035
FS( 60 ),1975942.929999999934807,1909284.380000000121072,1817005.670000000158325,1808732.800000000046566,1873237.159999999683350,1748042.679999999701977,11132249.619999999180436
FS( 61 ),1970637.250000000000000,1917783.750000000000000,1828570.260000000009313,1790002.600000000093132,1872636.079999999608845,1752270.039999999804422,11131903.979999998584390
FS( 62 ),2006671.659999999916181,1906966.370000000111759,1834012.420000000158325,1790709.400000000139698,1885459.119999999646097,1751565.479999999748543,11175388.450000001117587
FS( 63 ),1999155.280000000260770,1902330.350000000093132,1858502.140000000130385,1792299.700000000186265,1872435.719999999739230,1760020.199999999953434,11184747.390000000596046
