代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11450376.709999999031425
真實報酬,1450376.709999999031425

夏普值報酬,0.136337671000000
夏普值風險,0.042514307700457
夏普值,3.206865603001078

二次趨勢線,20.796234193205720 x^2 + 22924.814528807193710 x + 10000000.000000000000000
二次平均預期報酬,24276.569751365561388
風險,83691.333681934585911
二次平均趨勢值,0.290072683554401
一次趨勢線,23930.771903734344960 x + 10000000.000000000000000
一次預期報酬,23930.771903734344960
一次風險,84252.531943839028827
一次趨勢值,0.284036234301968
找到最佳解世代,2884
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](2),DIS[6](5),KO[14](1),
Stock#,CAT[3](2),DIS[6](5),KO[14](1),
張數,42614,99979,112764,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,65.919999999925494,33.139999999664724,29.160000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3292849.699999999720603,3313337.199999999720603,3319801.320000000298023,9925989.219999998807907
FS( 3 ),3383617.520000000018626,3382322.709999999497086,3363779.279999999795109,10129720.509999999776483
FS( 4 ),3360605.959999999962747,3354328.589999999385327,3369417.479999999981374,10084353.029999999329448
FS( 5 ),3355492.279999999795109,3390321.029999999329448,3351375.240000000223517,10097189.549999998882413
FS( 6 ),3424953.100000000093132,3450308.429999999236315,3350247.600000000093132,10225510.129999998956919
FS( 7 ),3408333.640000000130385,3456307.169999999925494,3358141.080000000074506,10222782.890000000596046
FS( 8 ),3381060.680000000167638,3447309.059999999124557,3360396.360000000335276,10188767.099999999627471
FS( 9 ),3421543.979999999981374,3490300.029999999329448,3379566.240000000223517,10291411.250000000000000
FS( 10 ),3405350.659999999683350,3484301.290000000037253,3378438.600000000093132,10268091.549999998882413
FS( 11 ),3398532.419999999925494,3487300.660000000149012,3379566.240000000223517,10265400.320000000298023
FS( 12 ),3419413.279999999795109,3474303.389999999664724,3382949.160000000149012,10276666.830000000074506
FS( 13 ),3347395.619999999646097,3423314.100000000093132,3402119.040000000502914,10172829.759999999776483
FS( 14 ),3422822.399999999441206,3461306.119999999180436,3448352.279999999795109,10332481.799999998882413
FS( 15 ),3361884.379999999888241,3467304.859999999403954,3466394.520000000018626,10295584.759999999776483
FS( 16 ),3338020.540000000037253,3496298.769999999552965,3474288.000000000000000,10308608.309999998658895
FS( 17 ),3368702.619999999646097,3545288.479999999981374,3440458.800000000279397,10354450.900000000372529
FS( 18 ),3351657.020000000018626,3595277.979999999981374,3452862.840000000316650,10399798.839999999850988
FS( 19 ),3333333.000000000000000,3591278.819999999832362,3450607.560000000521541,10375220.380000000819564
FS( 20 ),3312878.279999999795109,3650266.429999999236315,3451735.200000000186265,10414880.910000000149012
FS( 21 ),3349526.319999999832362,3612274.410000000149012,3457373.400000000372529,10419175.130000000819564
FS( 22 ),3378077.699999999720603,3602276.509999999776483,3479926.200000000186265,10460281.410000000149012
FS( 23 ),3398532.419999999925494,3610274.829999999608845,3487819.680000000167638,10496627.929999999701977
FS( 24 ),3404072.239999999757856,3628271.049999999348074,3493457.880000000353903,10525802.169999999925494
FS( 25 ),3544698.440000000409782,3702255.509999999776483,3521648.880000000353903,10768603.830000000074506
