代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12485777.710000000894070
真實報酬,2485777.710000000894070

夏普值報酬,0.239877771000000
夏普值風險,0.055644176587421
夏普值,4.310923185701802

二次趨勢線,-282.955586513142862 x^2 + 54939.706222107837675 x + 10000000.000000000000000
二次平均預期報酬,36830.548685266694520
風險,213540.333397634472931
二次平均趨勢值,0.172475841445299
一次趨勢線,41464.781913198370603 x + 10000000.000000000000000
一次預期報酬,41464.781913198370603
一次風險,248982.252797471504891
一次趨勢值,0.166537098316509
找到最佳解世代,1684
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,158277,58126,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.570000000298023,1.480000000447035,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5139283.759999999776483,5026737.960000000894070,10166021.720000000670552
FS( 3 ),5196263.480000000447035,4988956.060000000521541,10185219.540000000968575
FS( 4 ),5283315.830000001005828,5063357.340000000782311,10346673.170000001788139
FS( 5 ),5368785.410000000149012,5068588.680000000633299,10437374.089999999850988
FS( 6 ),5485910.389999999664724,5144733.740000001154840,10630644.130000000819564
FS( 7 ),5493824.240000000223517,5192978.320000000298023,10686802.560000000521541
FS( 8 ),5495407.009999999776483,5136014.840000000782311,10631421.850000001490116
FS( 9 ),5446341.139999999664724,5191234.540000000968575,10637575.679999999701977
FS( 10 ),5547638.419999999925494,5227853.919999999925494,10775492.339999999850988
FS( 11 ),5484327.620000000111759,5153452.640000000596046,10637780.260000001639128
FS( 12 ),5690087.720000000670552,5210416.120000000111759,10900503.839999999850988
FS( 13 ),5603035.370000000111759,5209253.600000000558794,10812288.970000000670552
FS( 14 ),5655266.780000000260770,5173796.740000001154840,10829063.520000001415610
FS( 15 ),5834119.790000000037253,5366193.799999999813735,11200313.589999999850988
FS( 16 ),5808795.470000000670552,5348174.740000001154840,11156970.210000000894070
FS( 17 ),5704332.650000000372529,5334224.500000000000000,11038557.150000000372529
FS( 18 ),5785053.919999999925494,5334805.760000000707805,11119859.679999999701977
FS( 19 ),5914841.059999999590218,5435363.740000001154840,11350204.800000000745058
FS( 20 ),5716994.809999999590218,5422576.020000000484288,11139570.830000000074506
FS( 21 ),5666346.169999999925494,5397000.580000000074506,11063346.750000000000000
FS( 22 ),5625194.150000000372529,5342362.140000000596046,10967556.290000000968575
FS( 23 ),5696418.800000000745058,5378400.260000000707805,11074819.060000002384186
FS( 24 ),5769226.220000000670552,5405719.480000000447035,11174945.700000001117587
FS( 25 ),5759729.600000000558794,5452801.540000000968575,11212531.140000000596046
FS( 26 ),5910092.750000000931323,5499883.600000000558794,11409976.350000001490116
FS( 27 ),6005058.950000000186265,5498721.080000000074506,11503780.030000001192093
FS( 28 ),5881602.889999999664724,5385375.380000000819564,11266978.269999999552965
FS( 29 ),5887933.970000000670552,5420832.240000001154840,11308766.210000000894070
FS( 30 ),6024052.190000000409782,5508021.240000001154840,11532073.430000001564622
FS( 31 ),6054124.820000000298023,5467333.040000000968575,11521457.860000001266599
FS( 32 ),6025634.959999999962747,5491164.700000000186265,11516799.660000000149012
FS( 33 ),5989231.250000000931323,5414438.380000000819564,11403669.630000002682209
FS( 34 ),5954410.309999999590218,5364450.020000000484288,11318860.330000000074506
FS( 35 ),5995562.330000001005828,5390606.719999999739230,11386169.050000000745058
FS( 36 ),5865775.190000000409782,5363868.760000000707805,11229643.950000001117587
FS( 37 ),5872106.270000000484288,5385375.380000000819564,11257481.650000002235174
FS( 38 ),5780305.610000000335276,5340037.100000000558794,11120342.710000000894070
FS( 39 ),5772391.759999999776483,5353406.080000000074506,11125797.839999999850988
FS( 40 ),5903761.669999999925494,5449895.240000001154840,11353656.910000000149012
FS( 41 ),6166501.490000000223517,5432457.440000000409782,11598958.929999999701977
FS( 42 ),6207653.509999999776483,5552197.000000000000000,11759850.509999999776483
FS( 43 ),6226646.750000000931323,5551034.480000000447035,11777681.230000000447035
FS( 44 ),6321612.950000000186265,5562659.680000000633299,11884272.630000000819564
FS( 45 ),6367513.280000000260770,5542315.580000000074506,11909828.859999999403954
FS( 46 ),6381758.209999999962747,5580678.740000001154840,11962436.950000001117587
FS( 47 ),6446651.780000000260770,5606254.180000000633299,12052905.960000000894070
FS( 48 ),6316864.639999999664724,5633573.400000000372529,11950438.039999999105930
FS( 49 ),6367513.280000000260770,5698093.260000000707805,12065606.540000000968575
FS( 50 ),6339023.419999999925494,5724249.960000000894070,12063273.380000000819564
FS( 51 ),6253553.839999999850988,5696349.480000000447035,11949903.320000000298023
FS( 52 ),6194991.350000000558794,5673680.340000000782311,11868671.690000001341105
FS( 53 ),6239308.910000000149012,5704487.120000000111759,11943796.030000001192093
FS( 54 ),6397585.910000000149012,5666705.219999999739230,12064291.129999998956919
FS( 55 ),6362764.970000000670552,5652173.719999999739230,12014938.690000001341105
FS( 56 ),6639749.720000000670552,5744012.799999999813735,12383762.519999999552965
FS( 57 ),6647663.570000000298023,5766100.680000000633299,12413764.250000000000000
FS( 58 ),6635001.410000000149012,5731225.080000000074506,12366226.490000000223517
FS( 59 ),6661908.500000000931323,5821320.380000000819564,12483228.880000002682209
FS( 60 ),6682484.509999999776483,5844570.780000000260770,12527055.289999999105930
FS( 61 ),6573273.380000000819564,5788188.560000000521541,12361461.940000001341105
FS( 62 ),6649246.339999999850988,5859683.540000000968575,12508929.880000000819564
FS( 63 ),6653994.650000000372529,5831783.060000000521541,12485777.710000000894070
