代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11555284.640000000596046
真實報酬,1555284.640000000596046

夏普值報酬,0.146828464000000
夏普值風險,0.045794562140807
夏普值,3.206242338305085

二次趨勢線,439.851279468662369 x^2 + -3038.131255954509470 x + 10000000.000000000000000
二次平均預期報酬,25112.350630039880343
風險,100055.159981365257408
二次平均趨勢值,0.250985062986426
一次趨勢線,17908.487155277485726 x + 10000000.000000000000000
一次預期報酬,17908.487155277485726
一次風險,222761.993428475019755
一次趨勢值,0.080392920173017
找到最佳解世代,1737
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),KO[14](19),NKE[19](1),UNH[23](4),
Stock#,AAPL[0](2),KO[14](19),NKE[19](1),UNH[23](4),
張數,24201,60038,63067,28938,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,36.700000000186265,17.680000000167638,24.120000000111759,46.180000000167638,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2394483.640000000130385,2508405.320000000298023,2485494.589999999850988,2511575.200000000186265,9899958.750000000000000
FS( 3 ),2374638.820000000298023,2513808.740000000223517,2520181.439999999944121,2519388.460000000428408,9928017.460000000894070
FS( 4 ),2395209.670000000391155,2512007.600000000558794,2587032.460000000428408,2539355.680000000167638,10033605.410000002011657
FS( 5 ),2380447.060000000055879,2508405.320000000298023,2598384.520000000484288,2543985.760000000242144,10031222.660000002011657
FS( 6 ),2371492.689999999944121,2518011.399999999906868,2580725.760000000242144,2562795.460000000428408,10033025.310000000521541
FS( 7 ),2444337.700000000186265,2531820.140000000130385,2600907.200000000186265,2524886.680000000167638,10101951.720000000670552
FS( 8 ),2454744.130000000353903,2518611.780000000260770,2580095.089999999850988,2519967.220000000204891,10073418.220000000670552
FS( 9 ),2460310.360000000335276,2489193.160000000149012,2580725.760000000242144,2493923.020000000484288,10024152.300000000745058
FS( 10 ),2459584.330000000074506,2491594.680000000167638,2573788.390000000130385,2489582.320000000298023,10014549.720000000670552
FS( 11 ),2440949.560000000055879,2500000.000000000000000,2560544.320000000298023,2522282.260000000242144,10023776.140000000596046
FS( 12 ),2458374.280000000260770,2498198.860000000335276,2570635.040000000037253,2517362.799999999813735,10044570.980000000447035
FS( 13 ),2463456.490000000223517,2509005.700000000186265,2585140.450000000186265,2535883.120000000111759,10093485.760000001639128
FS( 14 ),2443369.660000000149012,2524615.580000000074506,2580095.089999999850988,2540802.580000000074506,10088882.910000000149012
FS( 15 ),2445789.760000000242144,2534822.040000000037253,2544777.570000000298023,2539934.439999999944121,10065323.810000000521541
FS( 16 ),2484027.340000000316650,2515009.500000000000000,2526488.140000000130385,2505787.600000000093132,10031312.580000000074506
FS( 17 ),2462488.450000000186265,2537823.940000000409782,2549192.260000000242144,2552667.160000000149012,10102171.810000000521541
FS( 18 ),2368588.570000000298023,2508405.320000000298023,2515136.080000000074506,2493923.020000000484288,9886052.990000002086163
FS( 19 ),2438287.450000000186265,2533621.280000000260770,2822272.370000000111759,2506076.979999999981374,10300258.080000000074506
FS( 20 ),2422798.810000000055879,2536623.180000000167638,2810289.640000000130385,2503472.560000000521541,10273184.190000001341105
FS( 21 ),2438287.450000000186265,2561238.759999999776483,2812812.320000000298023,2495948.680000000167638,10308287.210000000894070
FS( 22 ),2400291.880000000353903,2566041.800000000279397,2765512.070000000298023,2456303.620000000111759,10188149.370000001043081
FS( 23 ),2417716.600000000093132,2561238.759999999776483,2815965.669999999925494,2456882.380000000353903,10251803.410000000149012
FS( 24 ),2410940.320000000298023,2581651.680000000167638,2847499.169999999925494,2489292.939999999944121,10329384.109999999403954
FS( 25 ),2410940.320000000298023,2617674.480000000447035,2813442.990000000223517,2462380.600000000093132,10304438.390000000596046
FS( 26 ),2389885.450000000186265,2636886.640000000130385,2777494.800000000279397,2436336.399999999906868,10240603.290000000968575
FS( 27 ),2439497.500000000000000,2674710.580000000074506,2801460.260000000242144,2506655.740000000223517,10422324.080000000074506
FS( 28 ),2444821.720000000204891,2633884.740000000223517,2751006.660000000149012,2458039.899999999906868,10287753.020000001415610
FS( 29 ),2437803.430000000167638,2669907.540000000037253,2749745.320000000298023,2471062.000000000000000,10328518.290000000968575
FS( 30 ),2415538.510000000242144,2645892.340000000316650,2692985.020000000484288,2429391.280000000260770,10183807.150000002235174
FS( 31 ),2389885.450000000186265,2620076.000000000000000,2683524.969999999739230,2396691.339999999850988,10090177.759999999776483
FS( 32 ),2360602.240000000223517,2595460.419999999925494,2686047.650000000372529,2377592.260000000242144,10019702.570000000298023
FS( 33 ),2329624.960000000428408,2555234.960000000428408,2744699.960000000428408,2471062.000000000000000,10100621.880000000819564
FS( 34 ),2363748.370000000111759,2574447.120000000111759,2749114.650000000372529,2551799.020000000484288,10239109.160000000149012
FS( 35 ),2414328.460000000428408,2599062.700000000186265,2803352.270000000484288,2562216.700000000186265,10378960.130000000819564
FS( 36 ),2479913.170000000391155,2442363.520000000018626,2858220.560000000055879,2631957.280000000260770,10412454.530000001192093
FS( 37 ),2492497.689999999944121,2438761.240000000223517,2833624.430000000167638,2597810.439999999944121,10362693.799999998882413
FS( 38 ),2537027.530000000260770,2453170.360000000335276,2850021.850000000093132,2623565.260000000242144,10463785.000000000000000
FS( 39 ),2546465.920000000391155,2463376.820000000298023,2866419.270000000484288,2651924.500000000000000,10528186.510000001639128
FS( 40 ),2543803.810000000055879,2447166.560000000055879,2889754.060000000055879,2666104.120000000111759,10546828.550000000745058
FS( 41 ),2583251.439999999944121,2435158.960000000428408,2915611.529999999795109,2680862.500000000000000,10614884.429999999701977
FS( 42 ),2597772.040000000037253,2459174.160000000149012,2899844.779999999795109,2690122.660000000149012,10646913.640000000596046
FS( 43 ),2589059.680000000167638,2485590.879999999888241,2932639.620000000111759,2716745.620000000111759,10724035.800000000745058
FS( 44 ),2613744.700000000186265,2514409.120000000111759,2932008.950000000186265,2749445.560000000521541,10809608.330000001937151
FS( 45 ),2647626.100000000093132,2510206.460000000428408,2947145.029999999795109,2745104.860000000335276,10850082.449999999254942
FS( 46 ),2628265.300000000279397,2510806.840000000316650,2962911.779999999795109,2748577.420000000391155,10850561.339999999850988
FS( 47 ),2634557.560000000055879,2540225.460000000428408,2985615.900000000372529,2772306.580000000074506,10932705.500000000000000
FS( 48 ),2630685.400000000372529,2539024.700000000186265,2983093.219999999739230,2784171.160000000149012,10936974.480000000447035
FS( 49 ),2638187.710000000428408,2540825.840000000316650,2957235.750000000000000,2708932.360000000335276,10845181.660000000149012
FS( 50 ),2633831.530000000260770,2545028.500000000000000,2994445.279999999795109,2741921.680000000167638,10915226.990000000223517
FS( 51 ),2654886.400000000372529,2552233.060000000055879,2991922.600000000093132,2769123.399999999906868,10968165.460000000894070
FS( 52 ),2692397.950000000186265,2564240.660000000149012,3021564.089999999850988,2768834.020000000484288,11047036.720000000670552
FS( 53 ),2730393.520000000018626,2569043.700000000186265,3031024.140000000130385,2775200.380000000353903,11105661.740000002086163
FS( 54 ),2763306.880000000353903,2565441.419999999925494,3011473.370000000111759,2752339.360000000335276,11092561.030000001192093
FS( 55 ),2758708.689999999944121,2576848.640000000130385,3029132.130000000353903,2791695.040000000037253,11156384.500000000000000
FS( 56 ),2794526.170000000391155,2613471.820000000298023,3042376.200000000186265,2841468.399999999906868,11291842.590000001713634
FS( 57 ),2775165.370000000111759,2654898.040000000037253,3057512.279999999795109,2802980.860000000335276,11290556.550000000745058
FS( 58 ),2814855.010000000242144,2656699.180000000167638,3068233.669999999925494,2802691.479999999981374,11342479.339999999850988
FS( 59 ),2818727.170000000391155,2671708.680000000167638,3072017.689999999944121,2798640.160000000149012,11361093.700000001117587
FS( 60 ),2871001.330000000074506,2657899.940000000409782,3089045.779999999795109,2804138.380000000353903,11422085.430000001564622
FS( 61 ),2846074.300000000279397,2667506.020000000018626,3068233.669999999925494,2833076.380000000353903,11414890.370000001043081
FS( 62 ),2879955.700000000186265,2659100.700000000186265,3084000.419999999925494,2839153.360000000335276,11462210.179999999701977
FS( 63 ),2878261.630000000353903,2691521.220000000204891,3131300.669999999925494,2854201.120000000111759,11555284.640000000596046
