代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11087518.230000000447035
真實報酬,1087518.230000000447035

夏普值報酬,0.100051823000000
夏普值風險,0.035039770593499
夏普值,2.855378939568823

二次趨勢線,271.739163340026380 x^2 + 1715.611859185448793 x + 10000000.000000000000000
二次平均預期報酬,19106.918312947134837
風險,85664.174198972265003
二次平均趨勢值,0.223044446428299
一次趨勢線,14656.387133834838096 x + 10000000.000000000000000
一次預期報酬,14656.387133834838096
一次風險,149857.191569148504641
一次趨勢值,0.097802360903527
找到最佳解世代,2039
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MSFT[18](13),PFE[20](2),VZ[26](9),
Stock#,JNJ[12](1),MSFT[18](13),PFE[20](2),VZ[26](9),
張數,22172,49397,76219,48713,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,107.000000000000000,17.830000000074506,16.800000000279397,48.839999999850988,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498669.680000000167638,2459000.490000000223517,2568597.100000000558794,2468823.679999999701977,9995090.949999999254942
FS( 3 ),2488248.839999999850988,2463446.219999999739230,2545731.400000000372529,2476617.760000000242144,9974044.220000000670552
FS( 4 ),2502882.359999999869615,2466904.009999999776483,2558688.630000000353903,2476617.760000000242144,10005092.759999999776483
FS( 5 ),2499778.279999999795109,2489132.660000000149012,2559450.820000000298023,2490257.399999999906868,10038619.160000000149012
FS( 6 ),2521506.839999999850988,2473325.620000000111759,2577743.380000000353903,2488308.879999999888241,10060884.719999998807907
FS( 7 ),2542570.240000000223517,2520252.770000000018626,2576219.000000000000000,2510716.859999999869615,10149758.869999999180436
FS( 8 ),2535918.640000000130385,2521734.679999999701977,2527438.839999999850988,2491718.789999999571592,10076810.949999999254942
FS( 9 ),2532814.560000000055879,2544457.299999999813735,2529725.410000000149012,2507306.949999999720603,10114304.219999998807907
FS( 10 ),2517959.319999999832362,2523216.589999999850988,2529725.410000000149012,2481489.059999999590218,10052390.379999998956919
FS( 11 ),2537470.680000000167638,2560264.339999999850988,2544207.020000000484288,2495615.829999999608845,10137557.869999999180436
FS( 12 ),2523945.759999999776483,2495060.299999999813735,2517530.370000000577420,2479540.539999999571592,10016076.969999998807907
FS( 13 ),2518624.479999999981374,2509879.400000000372529,2528201.030000000260770,2454696.909999999683350,10011401.820000000298023
FS( 14 ),2502217.199999999720603,2485674.870000000111759,2544207.020000000484288,2417675.029999999795109,9949774.120000001043081
FS( 15 ),2497561.080000000074506,2500493.969999999739230,2571645.860000000335276,2419136.419999999459833,9988837.330000000074506
FS( 16 ),2486918.520000000018626,2471349.740000000223517,2566310.530000000260770,2393805.659999999683350,9918384.449999999254942
FS( 17 ),2498669.680000000167638,2548409.060000000055879,2599084.700000000186265,2415239.379999999888241,10061402.820000000298023
FS( 18 ),2513303.199999999720603,2574589.469999999739230,2618139.450000000186265,2428391.890000000130385,10134424.009999999776483
FS( 19 ),2503325.800000000279397,2563228.160000000149012,2624236.970000000204891,2443492.919999999459833,10134283.850000001490116
FS( 20 ),2506873.319999999832362,2584468.870000000111759,2637956.390000000130385,2465900.899999999906868,10195199.480000000447035
FS( 21 ),2498669.680000000167638,2618058.830000000074506,2644816.100000000558794,2479540.539999999571592,10241085.150000000372529
FS( 22 ),2500665.160000000149012,2610649.280000000260770,2648627.050000000279397,2456645.429999999701977,10216586.919999999925494
FS( 23 ),2538579.279999999795109,2592372.390000000130385,2657773.330000000074506,2473207.850000000093132,10261932.849999999627471
FS( 24 ),2544565.720000000204891,2558288.459999999962747,2644053.910000000149012,2480514.799999999813735,10227422.890000000596046
