代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10997176.209999999031425
真實報酬,997176.209999999031425

夏普值報酬,0.091017621000000
夏普值風險,0.030468559996627
夏普值,2.987263625523386

二次趨勢線,279.468619689376055 x^2 + -1964.746927818829590 x + 10000000.000000000000000
二次平均預期報酬,16200.713351990616502
風險,39650.387596157852386
二次平均趨勢值,0.408589028611677
一次趨勢線,11553.735140876564401 x + 10000000.000000000000000
一次預期報酬,11553.735140876564401
一次風險,136355.576688918663422
一次趨勢值,0.084732399080642
找到最佳解世代,2646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](13),KO[14](2),MCD[15](1),WMT[28](3),
Stock#,JNJ[12](13),KO[14](2),MCD[15](1),WMT[28](3),
張數,20184,59297,19372,35486,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.760000000242144,38.479999999981374,43.399999999906868,11.299999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2495357.680000000167638,2518382.069999999832362,2484114.959999999497086,2511000.660000000149012,10008855.369999999180436
FS( 3 ),2498587.120000000577420,2518975.039999999571592,2477722.200000000186265,2485095.879999999888241,9980380.240000000223517
FS( 4 ),2496972.399999999906868,2501185.939999999944121,2480240.560000000055879,2479772.979999999515712,9958171.879999998956919
FS( 5 ),2499394.479999999981374,2489919.510000000242144,2481015.439999999944121,2479418.120000000111759,9949747.550000000745058
FS( 6 ),2504844.160000000149012,2489919.510000000242144,2481402.879999999888241,2476934.099999999627471,9953100.649999998509884
FS( 7 ),2542184.560000000521541,2492291.390000000130385,2482371.479999999515712,2479063.259999999776483,9995910.690000001341105
FS( 8 ),2547432.399999999906868,2507708.609999999869615,2479271.959999999962747,2487579.899999999441206,10021992.869999999180436
FS( 9 ),2556918.880000000353903,2492291.390000000130385,2472104.319999999832362,2482257.000000000000000,10003571.589999999850988
FS( 10 ),2564386.959999999962747,2488733.569999999832362,2475785.000000000000000,2509581.219999999739230,10038486.750000000000000
FS( 11 ),2602938.400000000372529,2497628.119999999646097,2477334.759999999776483,2504613.179999999701977,10082514.459999999031425
FS( 12 ),2592846.400000000372529,2505336.729999999981374,2479271.959999999962747,2499645.139999999664724,10077100.230000000447035
FS( 13 ),2584772.800000000279397,2492291.390000000130385,2492057.479999999515712,2480127.839999999850988,10049249.509999999776483
FS( 14 ),2584974.640000000130385,2501185.939999999944121,2494769.560000000055879,2483321.580000000074506,10064251.720000000670552
FS( 15 ),2568423.760000000242144,2520160.979999999981374,2489732.840000000316650,2480482.700000000186265,10058800.280000001192093
FS( 16 ),2548441.600000000558794,2513045.340000000316650,2500968.599999999627471,2492902.799999999813735,10055358.339999999850988
