代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10433280.679999999701977
真實報酬,433280.679999999701977

夏普值報酬,0.034628068000000
夏普值風險,0.025963550347853
夏普值,1.333718522161323

二次趨勢線,593.212270868047767 x^2 + -32702.567924155056971 x + 10000000.000000000000000
二次平均預期報酬,5263.017411400001947
風險,159222.814871089765802
二次平均趨勢值,0.033054417582437
一次趨勢線,-4452.585135100298430 x + 10000000.000000000000000
一次預期報酬,-4452.585135100298430
一次風險,312092.755793780554086
一次趨勢值,-1389619565.219874858856201
找到最佳解世代,1909
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),VZ[26](1),
Stock#,KO[14](2),VZ[26](1),
張數,186011,182615,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.320000000298023,1.299999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4946056.810000000521541,4908692.500000000000000,9854749.310000000521541
FS( 3 ),4990699.450000000186265,4895909.449999999254942,9886608.899999998509884
FS( 4 ),4864211.969999999739230,4782688.150000000372529,9646900.120000001043081
FS( 5 ),4899554.060000000521541,4813732.699999999254942,9713286.759999999776483
FS( 6 ),5026041.540000000037253,4884952.549999999813735,9910994.089999999850988
FS( 7 ),4986979.230000000447035,4848429.549999999813735,9835408.780000001192093
FS( 8 ),5024181.430000000633299,4899561.749999999068677,9923743.179999999701977
FS( 9 ),4975818.570000000298023,4897735.599999999627471,9873554.169999999925494
FS( 10 ),4960937.690000000409782,4868517.200000000186265,9829454.890000000596046
FS( 11 ),4968378.130000000819564,4894083.299999999813735,9862461.429999999701977
FS( 12 ),4938616.370000000111759,4852081.849999999627471,9790698.219999998807907
FS( 13 ),4940476.480000000447035,4868517.200000000186265,9808993.679999999701977
FS( 14 ),4793527.790000000037253,4738860.549999999813735,9532388.339999999850988
FS( 15 ),4799108.120000000111759,4773557.400000000372529,9572665.519999999552965
FS( 16 ),4786087.350000000558794,4693206.799999999813735,9479294.150000000372529
FS( 17 ),4707962.730000000447035,4678597.599999999627471,9386560.330000000074506
FS( 18 ),4657739.759999999776483,4598247.000000000000000,9255986.759999999776483
FS( 19 ),4765626.140000000596046,4709642.149999999441206,9475268.289999999105930
FS( 20 ),4780507.020000000484288,4698685.250000000000000,9479192.269999999552965
FS( 21 ),4771206.469999999739230,4645726.900000000372529,9416933.370000001043081
FS( 22 ),4875372.630000000819564,4709642.149999999441206,9585014.780000001192093
FS( 23 ),4906994.500000000000000,4718772.899999999441206,9625767.399999998509884
FS( 24 ),4769346.360000000335276,4645726.900000000372529,9415073.260000001639128
FS( 25 ),4724703.719999999739230,4623813.099999999627471,9348516.820000000298023
FS( 26 ),4795387.900000000372529,4726077.500000000000000,9521465.400000000372529
FS( 27 ),4776786.799999999813735,4742512.849999999627471,9519299.649999998509884
FS( 28 ),4879092.850000000558794,4839298.799999999813735,9718391.650000000372529
FS( 29 ),4804688.450000000186265,4875821.799999999813735,9680510.250000000000000
FS( 30 ),4791667.680000000633299,4888604.849999999627471,9680272.530000001192093
FS( 31 ),4853051.310000000521541,4970781.599999999627471,9823832.910000000149012
FS( 32 ),4873512.520000000484288,4981738.500000000000000,9855251.019999999552965
FS( 33 ),4869792.299999999813735,4967129.299999999813735,9836921.599999999627471
FS( 34 ),4866072.080000000074506,4972607.750000000000000,9838679.830000000074506
FS( 35 ),4880952.959999999962747,4961650.850000000558794,9842603.810000000521541
FS( 36 ),4879092.850000000558794,4961650.850000000558794,9840743.700000001117587
FS( 37 ),4858631.640000000596046,5007304.600000000558794,9865936.240000002086163
FS( 38 ),4817709.219999999739230,4945215.499999999068677,9762924.719999998807907
