代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11164482.410000000149012
真實報酬,1164482.410000000149012

夏普值報酬,0.107748241000000
夏普值風險,0.033047814297523
夏普值,3.260374196912478

二次趨勢線,-19.117663652761635 x^2 + 16472.226539667404722 x + 10000000.000000000000000
二次平均預期報酬,15210.460738585137733
風險,172381.708061849203659
二次平均趨勢值,0.088237092610358
一次趨勢線,15533.126038861910274 x + 10000000.000000000000000
一次預期報酬,15533.126038861910274
一次風險,172627.196775480901124
一次趨勢值,0.089980758125061
找到最佳解世代,1896
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,123487,
分配資金,10000000.000000000000000,
剩餘資金,22.740000000223517,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9971597.990000000223517,9971597.990000000223517
FS( 3 ),9945665.720000000670552,9945665.720000000670552
FS( 4 ),9965423.640000000596046,9965423.640000000596046
FS( 5 ),10019757.919999999925494,10019757.919999999925494
FS( 6 ),10020992.790000000968575,10020992.790000000968575
FS( 7 ),10034576.360000001266599,10034576.360000001266599
FS( 8 ),9923438.060000000521541,9923438.060000000521541
FS( 9 ),9969128.250000000000000,9969128.250000000000000
FS( 10 ),10060508.630000000819564,10060508.630000000819564
FS( 11 ),10032106.619999999180436,10032106.619999999180436
FS( 12 ),10102494.210000000894070,10102494.210000000894070
FS( 13 ),10190169.980000000447035,10190169.980000000447035
FS( 14 ),10211162.769999999552965,10211162.769999999552965
FS( 15 ),10224746.339999999850988,10224746.339999999850988
FS( 16 ),10206223.290000000968575,10206223.290000000968575
FS( 17 ),10161767.970000000670552,10161767.970000000670552
FS( 18 ),10106198.820000000298023,10106198.820000000298023
FS( 19 ),10165472.580000000074506,10165472.580000000074506
FS( 20 ),10416151.189999999478459,10416151.189999999478459
FS( 21 ),10443318.330000000074506,10443318.330000000074506
FS( 22 ),10412446.580000000074506,10412446.580000000074506
FS( 23 ),10576684.290000000968575,10576684.290000000968575
FS( 24 ),10575449.419999999925494,10575449.419999999925494
FS( 25 ),10602616.560000000521541,10602616.560000000521541
FS( 26 ),10627313.960000000894070,10627313.960000000894070
FS( 27 ),10570509.939999999478459,10570509.939999999478459
FS( 28 ),10539638.189999999478459,10539638.189999999478459
FS( 29 ),10495182.869999999180436,10495182.869999999180436
FS( 30 ),10491478.259999999776483,10491478.259999999776483
FS( 31 ),10596442.210000000894070,10596442.210000000894070
FS( 32 ),10555691.500000000000000,10555691.500000000000000
FS( 33 ),10545812.540000000968575,10545812.540000000968575
FS( 34 ),10645837.009999999776483,10645837.009999999776483
FS( 35 ),10653246.230000000447035,10653246.230000000447035
FS( 36 ),10686587.720000000670552,10686587.720000000670552
FS( 37 ),10936031.460000000894070,10936031.460000000894070
FS( 38 ),10881697.180000001564622,10881697.180000001564622
FS( 39 ),10869348.480000000447035,10869348.480000000447035
FS( 40 ),10754505.570000000298023,10754505.570000000298023
FS( 41 ),10716224.599999999627471,10716224.599999999627471
FS( 42 ),10679178.500000000000000,10679178.500000000000000
FS( 43 ),10668064.669999999925494,10668064.669999999925494
FS( 44 ),10503826.960000000894070,10503826.960000000894070
FS( 45 ),10563100.720000000670552,10563100.720000000670552
FS( 46 ),10407507.099999999627471,10407507.099999999627471
FS( 47 ),10506296.699999999254942,10506296.699999999254942
FS( 48 ),10139540.310000000521541,10139540.310000000521541
FS( 49 ),10614965.259999999776483,10614965.259999999776483
FS( 50 ),10382809.699999999254942,10382809.699999999254942
FS( 51 ),10654481.099999999627471,10654481.099999999627471
FS( 52 ),10681648.240000000223517,10681648.240000000223517
FS( 53 ),10721164.080000000074506,10721164.080000000074506
FS( 54 ),10702641.030000001192093,10702641.030000001192093
FS( 55 ),10805135.240000000223517,10805135.240000000223517
FS( 56 ),10571744.810000000521541,10571744.810000000521541
FS( 57 ),10771793.750000000000000,10771793.750000000000000
FS( 58 ),10837241.860000001266599,10837241.860000001266599
FS( 59 ),11055813.849999999627471,11055813.849999999627471
FS( 60 ),11129906.049999998882413,11129906.049999998882413
FS( 61 ),10954554.509999999776483,10954554.509999999776483
FS( 62 ),11105208.650000000372529,11105208.650000000372529
FS( 63 ),11211407.470000000670552,11211407.470000000670552
FS( 64 ),11210172.599999999627471,11210172.599999999627471
FS( 65 ),11164482.410000000149012,11164482.410000000149012
