代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11440068.449999999254942
真實報酬,1440068.449999999254942

夏普值報酬,0.135306845000000
夏普值風險,0.042869961661927
夏普值,3.156215675372696

二次趨勢線,-299.368267364679298 x^2 + 43709.879994259288651 x + 10000000.000000000000000
二次平均預期報酬,24250.942615555140947
風險,89916.138572584619396
二次平均趨勢值,0.269706228498443
一次趨勢線,29228.810317084069538 x + 10000000.000000000000000
一次預期報酬,29228.810317084069538
一次風險,166180.104196452943143
一次趨勢值,0.175886340055069
找到最佳解世代,2130
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),BA[2](3),DD[7](1),UNH[23](5),
Stock#,AAPL[0](4),BA[2](3),DD[7](1),UNH[23](5),
張數,42764,24215,54019,38092,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.560000000055879,43.399999999906868,0.680000000167638,22.040000000037253,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2556448.479999999981374,2457139.449999999720603,2495678.480000000447035,2486286.879999999888241,9995553.289999999105930
FS( 3 ),2570560.600000000093132,2491524.750000000000000,2494598.100000000093132,2496571.720000000204891,10053255.169999999925494
FS( 4 ),2550033.880000000353903,2523246.399999999906868,2514585.129999999888241,2520569.680000000167638,10108435.089999999850988
FS( 5 ),2535494.120000000111759,2527362.950000000186265,2545375.959999999962747,2573517.560000000055879,10181750.589999999850988
FS( 6 ),2580396.320000000298023,2534869.600000000093132,2617221.230000000447035,2589135.279999999795109,10321622.429999999701977
FS( 7 ),2570132.959999999962747,2554725.899999999906868,2599394.959999999962747,2578469.520000000018626,10302723.339999999850988
FS( 8 ),2610331.120000000111759,2588142.599999999627471,2630725.980000000447035,2603991.160000000149012,10433190.859999999403954
FS( 9 ),2605627.080000000074506,2466825.450000000186265,2624783.890000000130385,2590278.040000000037253,10287514.460000000894070
FS( 10 ),2611186.400000000372529,2558600.299999999813735,2646391.490000000223517,2575803.080000000074506,10391981.269999999552965
FS( 11 ),2628292.000000000000000,2523972.850000000093132,2613439.900000000372529,2548757.759999999776483,10314462.509999999776483
FS( 12 ),2628719.640000000130385,2537533.250000000000000,2671780.420000000391155,2522855.200000000186265,10360888.510000001639128
FS( 13 ),2637700.080000000074506,2606303.849999999627471,2660436.430000000167638,2687412.640000000130385,10591853.000000000000000
FS( 14 ),2596219.000000000000000,2590079.799999999813735,2666918.709999999962747,2721695.439999999944121,10574912.949999999254942
FS( 15 ),2604344.160000000149012,2587658.299999999813735,2660976.620000000111759,2749502.600000000093132,10602481.679999999701977
FS( 16 ),2559869.600000000093132,2610178.250000000000000,2657735.480000000447035,2768929.520000000018626,10596712.849999999627471
FS( 17 ),2691155.080000000074506,2589837.649999999906868,2644230.730000000447035,2762834.800000000279397,10688058.260000001639128
FS( 18 ),2678753.520000000018626,2583783.899999999906868,2691767.450000000186265,2766263.080000000074506,10720567.949999999254942
FS( 19 ),2694148.560000000055879,2557147.399999999906868,2669619.660000000149012,2750645.359999999869615,10671560.980000000447035
FS( 20 ),2735629.640000000130385,2538017.549999999813735,2692307.640000000130385,2772738.720000000204891,10738693.550000000745058
FS( 21 ),2769413.200000000186265,2560295.350000000093132,2697169.350000000093132,2752930.879999999888241,10779808.780000001192093
FS( 22 ),2764709.160000000149012,2545039.899999999906868,2695548.780000000260770,2775024.239999999757856,10780322.080000000074506
FS( 23 ),2789939.919999999925494,2583783.899999999906868,2723098.470000000204891,2786832.759999999776483,10883655.050000000745058
FS( 24 ),2825861.680000000167638,2612841.899999999906868,2786300.700000000186265,2752549.960000000428408,10977554.240000000223517
FS( 25 ),2867770.400000000372529,2603155.899999999906868,2806287.730000000447035,2793689.320000000298023,11070903.350000001490116
FS( 26 ),2842112.000000000000000,2592017.000000000000000,2773876.330000000074506,2789880.119999999646097,10997885.449999999254942
FS( 27 ),2840829.080000000540167,2577003.699999999720603,2791702.600000000093132,2777690.680000000167638,10987226.060000000521541
FS( 28 ),2816453.600000000093132,2562959.000000000000000,2839239.320000000298023,2787594.600000000093132,11006246.519999999552965
FS( 29 ),2776255.439999999944121,2550609.350000000093132,2926209.910000000149012,2778071.600000000093132,11031146.300000000745058
FS( 30 ),2855368.839999999850988,2524215.000000000000000,2882994.709999999962747,2757501.919999999925494,11020080.469999998807907
FS( 31 ),2990930.719999999739230,2572402.850000000093132,2913785.540000000037253,2794070.239999999757856,11271189.349999999627471
FS( 32 ),3045241.000000000000000,2522277.799999999813735,2904062.120000000111759,2761311.119999999646097,11232892.039999999105930
FS( 33 ),3041819.879999999888241,2487650.350000000093132,2858145.970000000204891,2719790.840000000316650,11107407.040000000968575
FS( 34 ),3068761.200000000186265,2505569.449999999720603,2837618.750000000000000,2720933.600000000093132,11132883.000000000000000
FS( 35 ),3101689.479999999981374,2535838.199999999720603,2817631.720000000204891,2731599.359999999869615,11186758.759999999776483
FS( 36 ),3061063.680000000167638,2533658.849999999627471,2842480.459999999962747,2760168.359999999869615,11197371.349999997764826
FS( 37 ),3069188.839999999850988,2516224.049999999813735,2857065.590000000316650,2736932.239999999757856,11179410.720000000670552
FS( 38 ),3072609.959999999962747,2546008.500000000000000,2860846.920000000391155,2741503.279999999795109,11220968.660000000149012
FS( 39 ),3060636.039999999571592,2554241.600000000093132,2980228.910000000149012,2763215.720000000204891,11358322.270000001415610
FS( 40 ),3072609.959999999962747,2555452.350000000093132,2973206.439999999944121,2757121.000000000000000,11358389.750000000000000
FS( 41 ),2984943.759999999776483,2499273.549999999813735,2889476.990000000223517,2724361.879999999888241,11098056.179999999701977
FS( 42 ),2999055.879999999888241,2500726.449999999720603,2880833.950000000186265,2725123.720000000204891,11105740.000000000000000
FS( 43 ),3003759.919999999925494,2540923.350000000093132,2886235.850000000093132,2759406.520000000018626,11190325.639999998733401
FS( 44 ),2976390.959999999962747,2516466.199999999720603,2877052.620000000111759,2732742.119999999646097,11102651.900000000372529
