代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12103861.440000001341105
真實報酬,2103861.440000001341105

夏普值報酬,0.201686144000000
夏普值風險,0.061935458482101
夏普值,3.256392201541346

二次趨勢線,-58.485173127009659 x^2 + 39727.988767488015583 x + 10000000.000000000000000
二次平均預期報酬,35984.937687359408301
風險,185559.730064694624161
二次平均趨勢值,0.193926439076051
一次趨勢線,36942.805089754416258 x + 10000000.000000000000000
一次預期報酬,36942.805089754416258
一次風險,187437.315901716792723
一次趨勢值,0.197094185392227
找到最佳解世代,1476
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),HD[9](8),MSFT[18](2),NKE[19](10),
Stock#,DIS[6](4),HD[9](8),MSFT[18](2),NKE[19](10),
張數,25123,22110,59780,46023,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.270000000018626,22.300000000279397,0.399999999906868,30.640000000130385,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2559792.740000000223517,2575395.100000000558794,2592061.199999999720603,2547403.690000000409782,10274652.730000000447035
FS( 3 ),2562305.040000000037253,2578048.300000000279397,2600430.399999999906868,2551085.530000000260770,10291869.269999999552965
FS( 4 ),2536679.580000000074506,2529848.500000000465661,2547226.199999999720603,2524392.190000000409782,10138146.469999998807907
FS( 5 ),2613053.500000000000000,2574289.600000000558794,2623744.600000000093132,2571795.880000000353903,10382883.580000001937151
FS( 6 ),2560295.199999999720603,2519899.000000000465661,2574725.000000000000000,2528074.030000000260770,10182993.230000000447035
FS( 7 ),2577630.069999999832362,2531396.200000000186265,2587876.599999999627471,2540040.010000000242144,10236942.879999998956919
FS( 8 ),2624861.310000000055879,2552400.700000000186265,2599234.799999999813735,2573176.569999999832362,10349673.379999998956919
FS( 9 ),2608280.129999999888241,2536702.600000000558794,2572931.599999999627471,2575017.490000000223517,10292931.820000000298023
FS( 10 ),2598482.160000000149012,2568762.100000000558794,2629124.799999999813735,2619659.800000000279397,10416028.860000001266599
FS( 11 ),2611797.350000000093132,2605022.500000000000000,2648254.399999999906868,2659699.810000000055879,10524774.060000000521541
FS( 12 ),2617826.870000000111759,2607012.400000000372529,2645265.399999999906868,2652796.360000000335276,10522901.030000001192093
FS( 13 ),2583659.590000000316650,2545325.500000000465661,2599234.799999999813735,2647733.830000000074506,10375953.720000000670552
