代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11756564.370000001043081
真實報酬,1756564.370000001043081

夏普值報酬,0.166956437000000
夏普值風險,0.048427506025212
夏普值,3.447553894538387

二次趨勢線,-325.889622619876491 x^2 + 49171.274470268304867 x + 10000000.000000000000000
二次平均預期報酬,28314.338622596205823
風險,83570.841851826946368
二次平均趨勢值,0.338806430510754
一次趨勢線,33651.743465504303458 x + 10000000.000000000000000
一次預期報酬,33651.743465504303458
一次風險,169495.868620085471775
一次趨勢值,0.198540198881972
找到最佳解世代,2826
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](5),DIS[6](13),INTC[11](2),KO[14](1),NKE[19](9),WBA[27](11),
Stock#,AAPL[0](5),DIS[6](13),INTC[11](2),KO[14](1),NKE[19](9),WBA[27](11),
張數,46606,49736,91877,58153,92438,60190,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,35.440000000176951,12.640000000130385,17.219999999972060,1.020000000018626,8.859999999869615,4.899999999906868,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1678783.560000000288710,1686560.399999999906868,1679528.780000000027940,1668410.590000000083819,1686077.979999999748543,1703381.899999999906868,10102747.210000000894070
FS( 3 ),1723059.260000000009313,1724359.760000000242144,1693310.329999999841675,1673644.360000000102445,1715658.139999999664724,1703381.899999999906868,10233417.750000001862645
FS( 4 ),1716534.420000000158325,1683078.880000000353903,1664828.459999999962747,1675970.479999999981374,1711036.239999999990687,1714817.999999999767169,10166270.480000000447035
FS( 5 ),1750556.800000000279397,1683078.880000000353903,1644615.519999999785796,1681785.780000000027940,1713809.379999999888241,1725652.199999999953434,10199502.559999998658895
FS( 6 ),1751488.920000000158325,1695015.520000000018626,1653803.219999999972060,1695160.969999999972060,1708263.099999999860302,1728661.699999999953434,10232397.429999999701977
FS( 7 ),1753819.220000000204891,1698497.040000000037253,1651046.909999999916181,1701557.800000000046566,1704565.580000000074506,1743107.300000000046566,10252597.850000001490116
FS( 8 ),1778054.340000000083819,1704465.360000000335276,1705254.339999999850988,1687601.080000000074506,1725826.320000000065193,1749126.299999999813735,10350331.739999998360872
FS( 9 ),1784579.180000000167638,1693523.439999999944121,1721792.199999999720603,1674807.420000000158325,1739692.019999999785796,1758756.699999999953434,10373154.959999999031425
FS( 10 ),1799027.040000000270084,1701481.200000000186265,1719954.659999999916181,1669573.650000000139698,1769272.179999999934807,1758154.800000000046566,10417467.530000001192093
FS( 11 ),1841438.500000000000000,1699491.760000000242144,1742923.909999999916181,1672481.300000000046566,1771120.939999999944121,1752737.699999999953434,10480198.109999999403954
FS( 12 ),1833515.480000000447035,1718888.800000000279397,1728223.589999999850988,1673644.360000000102445,1785911.019999999785796,1758154.800000000046566,10498342.050000002607703
FS( 13 ),1885714.200000000186265,1735799.040000000037253,1739248.829999999841675,1685856.489999999990687,1810869.279999999795109,1759960.499999999767169,10617452.339999999850988
FS( 14 ),1889442.680000000167638,1715904.640000000130385,1758543.000000000000000,1689927.199999999953434,1795154.820000000065193,1788851.699999999953434,10637828.039999999105930
FS( 15 ),1916008.100000000093132,1690539.280000000260770,1746598.990000000223517,1693416.380000000121072,1786835.399999999674037,1793064.999999999767169,10626467.150000000372529
FS( 16 ),1923465.060000000288710,1647268.959999999962747,1743842.679999999934807,1682948.840000000083819,1795154.820000000065193,1776211.800000000046566,10568896.160000000149012
FS( 17 ),1946302.000000000000000,1670147.520000000018626,1784268.560000000055879,1704465.449999999953434,1838600.679999999934807,1827373.299999999813735,10771161.510000001639128
FS( 18 ),1938378.980000000447035,1655724.080000000074506,1767730.699999999720603,1703883.920000000158325,1828432.500000000000000,1826771.399999999906868,10720925.580000000074506
FS( 19 ),1909949.320000000065193,1652242.560000000055879,1792537.490000000223517,1718422.170000000158325,1863558.939999999944121,2035028.800000000046566,10971743.280000001192093
FS( 20 ),1913211.739999999990687,1641798.000000000000000,1767730.699999999720603,1708536.159999999916181,1846920.099999999860302,2024194.600000000093132,10902395.299999998882413
FS( 21 ),1889442.680000000167638,1646274.240000000223517,1764055.619999999878928,1701557.800000000046566,1852466.379999999888241,2016369.899999999906868,10870170.619999999180436
FS( 22 ),1881053.600000000093132,1658210.880000000353903,1775080.860000000102445,1719003.699999999953434,1854315.139999999664724,2027204.099999999860302,10914872.279999999329448
FS( 23 ),1855420.300000000279397,1648263.680000000167638,1733736.209999999962747,1712025.340000000083819,1845995.719999999739230,1992895.799999999813735,10788341.050000000745058
FS( 24 ),1923931.120000000344589,1682581.520000000018626,1759461.769999999785796,1734705.010000000009313,1879273.399999999674037,2045261.099999999627471,11025217.919999999925494
FS( 25 ),1919270.520000000251457,1668655.439999999944121,1767730.699999999720603,1737612.659999999916181,1874651.500000000000000,2048270.599999999860302,11016195.419999999925494
FS( 26 ),1925795.360000000102445,1686560.399999999906868,1782431.019999999785796,1728308.179999999934807,1871878.359999999869615,2038640.199999999720603,11033617.519999997690320
FS( 27 ),1957953.500000000000000,1716402.000000000000000,1793456.260000000009313,1727726.650000000139698,1895912.239999999990687,2045261.099999999627471,11136715.750000000000000
FS( 28 ),1966342.580000000074506,1719386.160000000149012,1797131.339999999850988,1731797.360000000102445,1894987.859999999869615,2031417.399999999906868,11141066.700000001117587
FS( 29 ),1987781.340000000083819,1714909.919999999925494,1816425.510000000009313,1732960.420000000158325,1892214.719999999739230,2048872.499999999767169,11193168.410000000149012
FS( 30 ),1998500.720000000204891,1736296.399999999906868,1767730.699999999720603,1742846.429999999934807,1895912.239999999990687,2094616.899999999674037,11235907.390000000596046
FS( 31 ),2012948.580000000074506,1733312.240000000223517,1775080.860000000102445,1742264.900000000139698,1889441.580000000074506,2075958.000000000000000,11229010.160000000149012
FS( 32 ),2095441.200000000186265,1734804.320000000298023,1775080.860000000102445,1742846.429999999934807,1894987.859999999869615,2081375.099999999860302,11324539.769999999552965
FS( 33 ),2117346.020000000484288,1728338.640000000130385,1763136.850000000093132,1744591.020000000018626,1887592.820000000065193,2071142.799999999813735,11312152.150000002235174
FS( 34 ),2060486.700000000186265,1702973.280000000260770,1764974.390000000130385,1754477.030000000027940,1865407.699999999953434,2024194.600000000093132,11172517.700000001117587
FS( 35 ),2067477.600000000093132,1721872.959999999962747,1804481.500000000000000,1778319.760000000009313,1877424.639999999664724,2048270.599999999860302,11297851.060000000521541
FS( 36 ),2060952.760000000009313,1724857.120000000111759,1815506.740000000223517,1787624.239999999990687,1897761.000000000000000,2052483.899999999906868,11339189.759999999776483
FS( 37 ),2046970.960000000195578,1739280.560000000055879,1822856.899999999906868,1791694.949999999953434,1893139.099999999860302,2050678.199999999953434,11344624.669999999925494
FS( 38 ),2056292.160000000149012,1763651.200000000186265,1825613.209999999962747,1774249.050000000046566,1895912.239999999990687,2072948.499999999767169,11388670.359999999403954
FS( 39 ),2051165.500000000000000,1788519.200000000186265,1841232.299999999813735,1780645.880000000121072,1890365.959999999729916,2054891.500000000000000,11406824.339999999850988
FS( 40 ),2049767.320000000065193,1786529.760000000242144,1855013.850000000093132,1779482.820000000065193,1872802.739999999990687,2043455.400000000139698,11387055.890000000596046
FS( 41 ),2032523.100000000093132,1815874.000000000000000,1880739.409999999916181,1780064.350000000093132,1874651.500000000000000,2054891.500000000000000,11438747.859999999403954
FS( 42 ),2004093.440000000176951,1796974.320000000298023,1842151.070000000065193,1782972.000000000000000,1882046.539999999804422,2039242.100000000093132,11347483.470000000670552
FS( 43 ),2025066.140000000363216,1792000.720000000204891,1889927.110000000102445,1794602.600000000093132,1873727.119999999878928,2049474.399999999674037,11424802.089999999850988
FS( 44 ),2059554.580000000074506,1795979.600000000093132,1868795.399999999906868,1798673.310000000055879,1889441.580000000074506,2075958.000000000000000,11488406.470000000670552
FS( 45 ),2082857.580000000074506,1804932.080000000074506,1881658.179999999934807,1801580.959999999962747,1891290.339999999850988,2117489.100000000093132,11579812.240000000223517
FS( 46 ),2119210.259999999776483,1841736.720000000204891,1926677.909999999916181,1816119.209999999962747,1927341.159999999916181,2163835.399999999906868,11794924.660000000149012
FS( 47 ),2111287.240000000223517,1850191.840000000316650,1951484.699999999720603,1819608.389999999897555,1943980.000000000000000,2115081.500000000000000,11791637.669999999925494
FS( 48 ),2121540.560000000521541,1843228.800000000279397,1950565.929999999934807,1816119.209999999962747,1931963.059999999823049,2112072.000000000000000,11775493.560000000521541
FS( 49 ),2104296.339999999850988,1833281.600000000093132,1944134.540000000037253,1821352.979999999981374,1922719.260000000009313,2121100.500000000000000,11746889.220000000670552
FS( 50 ),2117346.020000000484288,1839747.280000000260770,1933109.299999999813735,1819026.860000000102445,1938433.719999999739230,2113275.799999999813735,11760942.980000000447035
FS( 51 ),2108490.879999999888241,1787027.120000000111759,1948728.390000000130385,1826005.219999999972060,1933811.820000000065193,2119294.799999999813735,11723362.230000000447035
FS( 52 ),2050699.440000000176951,1877546.640000000130385,1978129.030000000027940,1829494.400000000139698,1909777.939999999944121,2096422.599999999860302,11742074.050000000745058
FS( 53 ),2044174.600000000093132,1852678.640000000130385,1956997.320000000065193,1830657.459999999962747,1890365.959999999729916,2077161.799999999813735,11652039.780000001192093
FS( 54 ),2007821.920000000158325,1836265.760000000242144,1935865.610000000102445,1805070.139999999897555,1860785.799999999813735,2047066.799999999813735,11492880.030000001192093
FS( 55 ),2000831.020000000251457,1851186.560000000055879,1936784.379999999888241,1817863.800000000046566,1881122.159999999916181,2047066.799999999813735,11534858.719999998807907
FS( 56 ),2053495.800000000279397,1869091.520000000018626,1931271.760000000009313,1856244.780000000027940,1906080.419999999925494,2071744.699999999953434,11687932.980000000447035
FS( 57 ),2042310.360000000102445,1840742.000000000000000,1942297.000000000000000,1870201.499999999767169,1982803.959999999729916,2092209.299999999813735,11770568.120000001043081
FS( 58 ),2086586.060000000288710,1837757.840000000316650,1952403.469999999972060,1869038.439999999944121,1985577.099999999860302,2100034.000000000000000,11831400.910000000149012
FS( 59 ),2055360.040000000270084,1796476.959999999962747,1937703.149999999906868,1849847.949999999953434,1970787.019999999785796,2045261.099999999627471,11655440.220000000670552
FS( 60 ),2095907.260000000009313,1833778.959999999962747,1965266.250000000000000,1878924.450000000186265,1999442.799999999813735,2065123.800000000046566,11838447.519999999552965
FS( 61 ),2097305.440000000409782,1825323.840000000316650,1960672.399999999906868,1864386.200000000186265,1986501.479999999748543,2027204.099999999860302,11761397.460000000894070
FS( 62 ),2109889.060000000521541,1811397.760000000242144,1959753.629999999888241,1843451.119999999878928,1968013.879999999888241,2094616.899999999674037,11787126.350000001490116
FS( 63 ),2071672.140000000363216,1815874.000000000000000,1944134.540000000037253,1837054.290000000037253,1990199.000000000000000,2097626.399999999906868,11756564.370000001043081
