代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10884464.839999999850988
真實報酬,884464.839999999850988

夏普值報酬,0.079746484000000
夏普值風險,0.027466780616857
夏普值,2.903379362598351

二次趨勢線,-211.045943272335450 x^2 + 28725.430328346723400 x + 10000000.000000000000000
二次平均預期報酬,14796.398072372585375
風險,98641.219209284507087
二次平均趨勢值,0.150002181552313
一次趨勢線,18358.402504243840667 x + 10000000.000000000000000
一次預期報酬,18358.402504243840667
一次風險,141603.922882290527923
一次趨勢值,0.129646143486466
找到最佳解世代,2291
找到最佳解實驗#,4
找到最佳解次數,45

stock[index](rank)
投資組合檔數,4
CAT[3](3),MRK[17](2),PG[21](1),VZ[26](24),
Stock#,CAT[3](3),MRK[17](2),PG[21](1),VZ[26](24),
張數,34592,44381,30566,49573,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,36.160000000149012,18.270000000018626,6.859999999869615,33.609999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2546699.200000000186265,2521746.689999999944121,2504890.560000000055879,2516854.819999999832362,10090191.270000001415610
FS( 3 ),2595819.840000000316650,2513758.109999999869615,2520784.879999999888241,2524290.770000000018626,10154653.599999999627471
FS( 4 ),2643556.800000000279397,2537280.040000000037253,2529954.679999999701977,2513880.439999999944121,10224671.959999999031425
FS( 5 ),2657047.680000000167638,2529735.270000000018626,2516199.979999999515712,2565436.359999999869615,10268419.289999999105930
FS( 6 ),2702017.280000000260770,2557251.489999999757856,2526286.760000000242144,2554034.569999999832362,10339590.099999999627471
FS( 7 ),2669154.879999999888241,2537723.850000000093132,2542181.080000000074506,2575350.959999999962747,10324410.769999999552965
FS( 8 ),2630065.920000000391155,2521302.879999999888241,2543098.060000000055879,2611043.520000000018626,10305510.380000000819564
FS( 9 ),2602392.320000000298023,2490236.180000000167638,2523841.479999999515712,2606086.219999999739230,10222556.199999999254942
FS( 10 ),2589593.280000000260770,2496449.520000000018626,2547682.959999999497086,2626906.879999999888241,10260632.640000000596046
FS( 11 ),2596857.600000000093132,2489348.560000000055879,2535456.560000000055879,2619470.930000000167638,10241133.650000000372529
FS( 12 ),2594090.239999999757856,2551925.770000000018626,2549516.919999999925494,2650206.189999999944121,10345739.119999999180436
FS( 13 ),2626606.720000000204891,2480472.359999999869615,2540958.439999999944121,2666069.549999999813735,10314107.070000000298023
FS( 14 ),2643902.720000000204891,2491567.609999999869615,2538207.500000000000000,2665078.089999999850988,10338755.919999999925494
FS( 15 ),2645978.239999999757856,2496449.520000000018626,2549516.919999999925494,2681932.910000000149012,10373877.589999999850988
FS( 16 ),2643902.720000000204891,2531510.509999999776483,2554407.479999999515712,2678462.799999999813735,10408283.509999999776483
FS( 17 ),2705822.399999999906868,2559914.350000000093132,2573969.719999999739230,2710189.520000000018626,10549895.990000000223517
FS( 18 ),2526289.920000000391155,2480028.550000000279397,2514366.020000000018626,2698292.000000000000000,10218976.490000000223517
FS( 19 ),2469213.120000000111759,2454731.379999999888241,2482883.040000000037253,2713659.629999999888241,10120487.169999999925494
FS( 20 ),2508648.000000000000000,2466714.250000000000000,2520479.219999999739230,2717625.469999999739230,10213466.939999999478459
FS( 21 ),2567800.320000000298023,2531954.319999999832362,2564799.919999999925494,2729522.989999999757856,10394077.550000000745058
FS( 22 ),2622455.680000000167638,2556807.680000000167638,2588030.080000000074506,2768189.930000000167638,10535483.370000001043081
FS( 23 ),2644594.560000000055879,2571453.410000000149012,2591392.339999999850988,2787523.399999999906868,10594963.710000000894070
FS( 24 ),2572989.120000000111759,2574116.270000000018626,2611565.899999999906868,2802395.299999999813735,10561066.589999999850988
FS( 25 ),2588555.520000000018626,2625598.229999999981374,2599033.839999999850988,2789010.589999999850988,10602198.179999999701977
FS( 26 ),2596165.760000000242144,2608733.450000000186265,2592920.639999999664724,2745386.350000000093132,10543206.200000001117587
FS( 27 ),2676419.200000000186265,2634030.620000000111759,2621652.679999999701977,2771164.309999999590218,10703266.809999998658895
FS( 28 ),2691293.760000000242144,2633586.810000000055879,2621041.359999999869615,2772651.500000000000000,10718573.429999999701977
FS( 29 ),2760477.760000000242144,2645125.870000000111759,2621041.359999999869615,2749847.919999999925494,10776492.910000000149012
FS( 30 ),2756672.640000000130385,2642906.819999999832362,2625320.600000000093132,2776121.609999999869615,10801021.669999999925494
FS( 31 ),2769471.680000000167638,2647344.919999999925494,2624709.279999999795109,2768189.930000000167638,10809715.809999998658895
FS( 32 ),2791610.560000000055879,2646457.300000000279397,2628988.520000000018626,2768189.930000000167638,10835246.310000000521541
FS( 33 ),2761169.600000000093132,2619384.890000000130385,2626543.240000000223517,2772651.500000000000000,10779749.230000000447035
FS( 34 ),2758402.239999999757856,2603407.729999999981374,2633879.080000000074506,2761249.709999999962747,10756938.759999999776483
FS( 35 ),2756672.640000000130385,2609177.259999999776483,2607897.979999999515712,2757283.869999999646097,10731031.750000000000000
FS( 36 ),2767742.080000000540167,2609177.259999999776483,2606064.020000000018626,2744890.619999999646097,10727873.979999998584390
FS( 37 ),2745949.120000000111759,2610508.689999999944121,2620124.379999999888241,2781078.910000000149012,10757661.100000001490116
FS( 38 ),2722080.640000000130385,2598969.629999999888241,2622569.659999999683350,2769677.119999999646097,10713297.049999998882413
FS( 39 ),2862524.160000000149012,2590093.430000000167638,2606369.679999999701977,2717129.739999999757856,10776117.009999999776483
FS( 40 ),2909223.359999999869615,2600744.870000000111759,2581611.219999999739230,2742411.969999999739230,10833991.419999999925494
FS( 41 ),2868404.800000000279397,2593200.100000000093132,2592309.319999999832362,2719608.389999999664724,10773522.609999999403954
FS( 42 ),2862870.080000000540167,2603407.729999999981374,2616150.799999999813735,2746873.539999999571592,10829302.150000000372529
FS( 43 ),2834850.560000000055879,2603407.729999999981374,2641214.919999999925494,2701762.109999999869615,10781235.320000000298023
FS( 44 ),2810290.239999999757856,2588762.000000000000000,2651913.020000000018626,2676975.609999999869615,10727940.869999999180436
FS( 45 ),2837617.920000000391155,2558582.919999999925494,2627765.879999999888241,2672018.309999999590218,10695985.029999999329448
