訓練日期,20140619 - 20140919
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10946151.649999998509884
真實報酬,946151.649999998509884

夏普值報酬,0.085915165000000
夏普值風險,0.027655878903960
夏普值,3.106578724124256

預期報酬,15742.774981690059576
風險,92616.588502485392382
趨勢值,0.169977919034100
找到最佳解世代,2647
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),INTC[11](3),NKE[19](5),PG[21](8),
Stock#,DIS[6](1),INTC[11](3),NKE[19](5),PG[21](8),
張數,29911,83528,65616,31332,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,38.620000000111759,6.959999999962747,30.399999999906868,19.719999999739230,
20140619,2505683.089999999850988,2513364.479999999981374,2481627.520000000018626,2514099.399999999441206,10014774.489999998360872
20140620,2477267.640000000130385,2522552.560000000055879,2463911.199999999720603,2504386.479999999981374,9968117.880000000819564
20140623,2475472.980000000447035,2525058.399999999906868,2475722.079999999608845,2491540.359999999403954,9967793.820000000298023
20140624,2473080.100000000093132,2547610.959999999962747,2459974.240000000223517,2475561.040000000037253,9956226.339999999850988
20140625,2509571.520000000484288,2579351.600000000093132,2509186.240000000223517,2485273.959999999497086,10083383.320000000298023
20140626,2526022.570000000298023,2570998.800000000279397,2521653.279999999795109,2463341.560000000055879,10082016.210000000894070
20140627,2551446.919999999925494,2583528.000000000000000,2548555.840000000316650,2475874.359999999403954,10159405.119999999180436
20140630,2564607.759999999776483,2581022.159999999683350,2544618.879999999888241,2462401.599999999627471,10152650.399999998509884
20140701,2586442.790000000037253,2587704.399999999906868,2559054.399999999906868,2484020.679999999701977,10217222.269999999552965
20140702,2585545.459999999962747,2587704.399999999906868,2552492.799999999813735,2492793.639999999664724,10218536.299999998882413
20140703,2597509.860000000335276,2601068.879999999888241,2574146.079999999608845,2505953.080000000074506,10278677.900000000372529
20140707,2590032.110000000335276,2591880.800000000279397,2580707.679999999701977,2512532.799999999813735,10275153.390000000596046
20140708,2568197.080000000074506,2571834.080000000074506,2548555.840000000316650,2524125.639999999664724,10212712.640000000596046
20140709,2608876.040000000037253,2580186.879999999888241,2582020.000000000000000,2558904.159999999683350,10329987.080000000074506
20140710,2598108.080000000074506,2611092.240000000223517,2542650.399999999906868,2557024.239999999757856,10308874.960000000894070
20140711,2599005.410000000149012,2610256.959999999962747,2536088.799999999813735,2542924.839999999850988,10288276.009999999776483
20140714,2595116.980000000447035,2630303.679999999701977,2557742.079999999608845,2547937.959999999497086,10331100.699999999254942
20140715,2576871.270000000484288,2648679.839999999850988,2560366.720000000204891,2546058.040000000037253,10331975.870000001043081
20140716,2552942.469999999739230,2894252.159999999683350,2523621.759999999776483,2536031.799999999813735,10506848.189999997615814
20140717,2543370.950000000186265,2814900.560000000055879,2511154.720000000204891,2519112.520000000018626,10388538.750000000000000
20140718,2566701.530000000260770,2814900.560000000055879,2543306.559999999590218,2523812.319999999832362,10448720.969999998807907
20140721,2564607.759999999776483,2844970.640000000130385,2520340.959999999497086,2515352.679999999701977,10445272.039999999105930
20140722,2578665.929999999701977,2905946.080000000074506,2527558.720000000204891,2509712.919999999459833,10521883.650000000372529
20140723,2573581.060000000521541,2881722.959999999962747,2538713.439999999944121,2506266.399999999441206,10500283.859999999403954
20140724,2596313.419999999925494,2860840.959999999962747,2578739.199999999720603,2514726.040000000037253,10550619.620000001043081
20140725,2579264.150000000372529,2860840.959999999962747,2549868.159999999683350,2492793.639999999664724,10482766.910000000149012
20140728,2606782.270000000484288,2859170.399999999906868,2572177.600000000093132,2483394.040000000037253,10521524.309999998658895
20140729,2578366.820000000298023,2855829.279999999795109,2562335.199999999720603,2464281.520000000018626,10460812.819999998435378
20140730,2608576.929999999701977,2869193.760000000242144,2612203.359999999869615,2448928.839999999850988,10538902.889999998733401
20140731,2568795.299999999813735,2830770.879999999888241,2530839.520000000018626,2422609.959999999497086,10353015.659999998286366
20140801,2553839.799999999813735,2818241.680000000167638,2519028.640000000130385,2495613.520000000018626,10386723.640000000596046
20140804,2609474.259999999776483,2844135.359999999869615,2531495.679999999701977,2482140.759999999776483,10467246.059999998658895
20140805,2594817.870000000111759,2741395.919999999925494,2523621.759999999776483,2488093.839999999850988,10347929.390000000596046
20140806,2590032.110000000335276,2743901.760000000242144,2530839.520000000018626,2540731.599999999627471,10405504.990000000223517
20140807,2557728.230000000447035,2729702.000000000000000,2504593.120000000111759,2510966.199999999720603,10302989.550000000745058
20140808,2597808.969999999739230,2723019.760000000242144,2528214.879999999888241,2536345.119999999646097,10385388.730000000447035
20140811,2617251.120000000111759,2758101.520000000018626,2528214.879999999888241,2552951.080000000074506,10456518.600000001490116
20140812,2608576.929999999701977,2767289.600000000093132,2517716.319999999832362,2551071.159999999683350,10444654.009999999776483
20140813,2620242.219999999739230,2848311.760000000242144,2534776.479999999981374,2552951.080000000074506,10556281.540000000968575
20140814,2650452.330000000074506,2834947.279999999795109,2536088.799999999813735,2567677.119999999646097,10589165.529999999329448
20140815,2670492.700000000186265,2854158.720000000204891,2530839.520000000018626,2562350.679999999701977,10617841.619999999180436
20140818,2691131.290000000037253,2874205.439999999478459,2577426.879999999888241,2583029.799999999813735,10725793.410000000149012
20140819,2694720.610000000335276,2868358.480000000447035,2576114.559999999590218,2590862.799999999813735,10730056.449999999254942
20140820,2687242.860000000335276,2881722.959999999962747,2589237.759999999776483,2594622.639999999664724,10752826.219999998807907
20140821,2703394.799999999813735,2936016.159999999683350,2589893.919999999925494,2609348.679999999701977,10838653.559999998658895
20140822,2706685.009999999776483,2918475.279999999795109,2601704.799999999813735,2612795.199999999720603,10839660.289999999105930
20140825,2703394.799999999813735,2907616.640000000130385,2625326.559999999590218,2617495.000000000000000,10853833.000000000000000
20140826,2692626.839999999850988,2906781.359999999869615,2607610.240000000223517,2612481.879999999422580,10819500.319999998435378
20140827,2703095.690000000409782,2905946.080000000074506,2615484.159999999683350,2610288.639999999664724,10834814.570000000298023
20140828,2698908.150000000372529,2894252.159999999683350,2585956.959999999497086,2601515.679999999701977,10780632.949999999254942
20140829,2688439.299999999813735,2916804.720000000204891,2577426.879999999888241,2604022.239999999757856,10786693.139999998733401
20140902,2715957.419999999925494,2887569.919999999925494,2601048.640000000130385,2599949.080000000074506,10804525.060000000521541
20140903,2720144.959999999962747,2887569.919999999925494,2585956.959999999497086,2597442.520000000018626,10791114.359999999403954
20140904,2696216.160000000149012,2915969.439999999478459,2622045.759999999776483,2622508.119999999646097,10856739.479999998584390
20140905,2720144.959999999962747,2923486.959999999962747,2691598.720000000204891,2624701.359999999403954,10959932.000000000000000
20140908,2708778.780000000260770,2951051.199999999720603,2703409.600000000093132,2610601.959999999497086,10973841.539999999105930
20140909,2680064.219999999739230,2915969.439999999478459,2685037.120000000111759,2600262.399999999441206,10881333.179999999701977
20140910,2677671.339999999850988,2925157.520000000018626,2706034.240000000223517,2620628.199999999720603,10929491.299999998882413
20140911,2691131.290000000037253,2925157.520000000018626,2684380.959999999497086,2615928.399999999441206,10916598.169999998062849
20140912,2682157.990000000223517,2891746.319999999832362,2685037.120000000111759,2608722.040000000037253,10867663.470000000670552
20140915,2694421.500000000000000,2885064.080000000074506,2677819.359999999869615,2627834.560000000055879,10885139.500000000000000
20140916,2700104.589999999850988,2917640.000000000000000,2664040.000000000000000,2634414.279999999795109,10916198.869999999180436
20140917,2701899.250000000000000,2921816.399999999906868,2674538.559999999590218,2636920.839999999850988,10935175.050000000745058
20140918,2702198.360000000335276,2937686.720000000204891,2689630.240000000223517,2637860.799999999813735,10967376.120000001043081
20140919,2706685.009999999776483,2908451.919999999925494,2684380.959999999497086,2646633.759999999776483,10946151.649999998509884
