訓練日期,20170131 - 20170503
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10729808.309999998658895
真實報酬,729808.309999998658895

夏普值報酬,0.064280831000000
夏普值風險,0.019189939803113
夏普值,3.349715093403891

預期報酬,10654.040267976297400
風險,47494.950016893511929
趨勢值,0.224319433206831
找到最佳解世代,2377
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](16),KO[14](7),MSFT[18](23),WMT[28](1),XOM[29](28),
Stock#,AAPL[0](6),DIS[6](16),KO[14](7),MSFT[18](23),WMT[28](1),XOM[29](28),
張數,13702,15023,40277,25589,25092,19640,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,91.739999999990687,14.380000000121072,3.739999999990687,54.430000000167638,55.359999999869615,15.600000000093132,
20170131,1662829.439999999944121,1662309.330000000307336,1674318.629999999888241,1654383.280000000260770,1674695.439999999711290,1647615.200000000186265,9976155.320000000298023
20170201,1764224.239999999990687,1672074.280000000027940,1661832.760000000009313,1627003.050000000046566,1661898.520000000018626,1628957.199999999953434,10015994.049999998882413
20170202,1761209.800000000046566,1661708.410000000149012,1667471.540000000037253,1616511.560000000288710,1673691.760000000009313,1638973.600000000093132,10019570.669999999925494
20170203,1768745.900000000139698,1657051.280000000027940,1673110.320000000065193,1629561.950000000186265,1668673.359999999869615,1640741.200000000186265,10037888.010000001639128
20170206,1785325.319999999832362,1646084.489999999990687,1673915.860000000102445,1628538.390000000130385,1666164.159999999916181,1636224.000000000232831,10036256.220000000670552
20170207,1802315.800000000046566,1637521.380000000121072,1687610.040000000037253,1623164.700000000186265,1678459.239999999990687,1625618.399999999906868,10054693.560000000521541
20170208,1809303.819999999832362,1637521.380000000121072,1692443.280000000027940,1620861.690000000176951,1701543.879999999888241,1600282.800000000279397,10061960.850000001490116
20170209,1814510.579999999841675,1644882.650000000139698,1661429.989999999990687,1639285.770000000251457,1733410.719999999739230,1607353.200000000186265,10100876.910000000149012
20170210,1810399.979999999981374,1641427.360000000102445,1634444.399999999906868,1637750.430000000167638,1706813.199999999720603,1620708.399999999906868,10051547.769999999552965
20170213,1826431.319999999832362,1647286.330000000307336,1636055.479999999981374,1656174.510000000242144,1700540.199999999720603,1630135.600000000093132,10096627.439999999478459
20170214,1850135.780000000027940,1657501.970000000204891,1632430.550000000046566,1652336.159999999916181,1722872.079999999841675,1626600.399999999906868,10141880.939999999478459
20170215,1856849.759999999776483,1655248.520000000251457,1628805.619999999878928,1651312.600000000093132,1723624.839999999850988,1633278.000000000000000,10149123.339999999850988
20170216,1854657.439999999944121,1663210.709999999962747,1659416.140000000130385,1651056.709999999962747,1728141.399999999906868,1616387.600000000093132,10172874.000000000000000
20170217,1859727.179999999934807,1653445.760000000242144,1660624.449999999953434,1653615.610000000335276,1740687.399999999906868,1605782.000000000232831,10173886.400000000372529
20170221,1873155.139999999897555,1652694.610000000102445,1669888.159999999916181,1650289.040000000037253,1792878.760000000009313,1608335.200000000186265,10247244.910000000149012
20170222,1878772.960000000195578,1654347.140000000130385,1675526.939999999944121,1646962.470000000204891,1799402.679999999701977,1589480.800000000279397,10244496.990000002086163
20170223,1870825.800000000046566,1648488.170000000158325,1677943.559999999823049,1653615.610000000335276,1789365.879999999888241,1606174.800000000046566,10246417.820000000298023
20170224,1872607.060000000055879,1657351.739999999990687,1682776.800000000046566,1653615.610000000335276,1816465.239999999990687,1592426.800000000046566,10275247.250000000000000
20170227,1876306.600000000093132,1655999.670000000158325,1678346.330000000074506,1643635.900000000372529,1800155.439999999711290,1601461.200000000186265,10255909.140000000596046
20170228,1877128.720000000204891,1653896.450000000186265,1690026.659999999916181,1637238.650000000139698,1779830.919999999925494,1597140.399999999906868,10235265.800000000745058
20170301,1915494.319999999832362,1668168.300000000279397,1698082.059999999823049,1661804.090000000083819,1767786.760000000009313,1630528.399999999906868,10341867.929999999701977
20170302,1904121.660000000149012,1661407.950000000186265,1710567.929999999934807,1638006.320000000298023,1775565.280000000027940,1636027.600000000093132,10325700.740000000223517
20170303,1915357.300000000046566,1671172.900000000139698,1710970.699999999953434,1644147.680000000167638,1757248.119999999878928,1619530.000000000000000,10318430.699999999254942
20170306,1909328.419999999925494,1662609.790000000037253,1698887.600000000093132,1644659.459999999962747,1753484.319999999832362,1626796.800000000046566,10295770.390000000596046
20170307,1911794.780000000027940,1665464.160000000149012,1691234.969999999972060,1647986.030000000260770,1753233.399999999906868,1620708.399999999906868,10290425.740000000223517
20170308,1904669.739999999990687,1665163.700000000186265,1691234.969999999972060,1663083.540000000037253,1751476.959999999729916,1591444.800000000046566,10267077.710000000894070
20170309,1900285.100000000093132,1668018.070000000065193,1692846.050000000046566,1656430.400000000372529,1752982.479999999748543,1604014.400000000139698,10274580.500000000000000
20170310,1906588.019999999785796,1666365.540000000037253,1703318.070000000065193,1661548.200000000419095,1759004.559999999823049,1602836.000000000000000,10299664.390000000596046
20170313,1907410.139999999897555,1675379.340000000083819,1692846.050000000046566,1655918.620000000111759,1755240.760000000009313,1599104.400000000139698,10285903.310000000521541
20170314,1904532.720000000204891,1687247.510000000242144,1690429.429999999934807,1648241.920000000158325,1774561.599999999860302,1590659.199999999953434,10295676.379999998956919
20170315,1924674.660000000149012,1680637.390000000130385,1696470.979999999981374,1656942.180000000167638,1771048.719999999739230,1610495.600000000093132,10340273.529999999329448
20170316,1927826.119999999878928,1678233.709999999962747,1701706.989999999990687,1654127.390000000130385,1767535.839999999850988,1611870.399999999906868,10341304.450000001117587
20170317,1918234.720000000204891,1678984.860000000102445,1692846.050000000046566,1660012.860000000335276,1753735.239999999990687,1610495.600000000093132,10314313.330000000074506
20170320,1938376.660000000149012,1693256.709999999962747,1698887.600000000093132,1661548.200000000419095,1755993.520000000018626,1610495.600000000093132,10358562.290000000968575
20170321,1916179.419999999925494,1678834.630000000121072,1711776.239999999990687,1643124.120000000111759,1753986.159999999916181,1607156.800000000046566,10311061.370000001043081
20170322,1937828.579999999841675,1683792.220000000204891,1706943.000000000000000,1664107.100000000093132,1762768.359999999869615,1605782.000000000232831,10361225.259999999776483
20170323,1930977.579999999841675,1686195.900000000139698,1698484.830000000074506,1660012.860000000335276,1752982.479999999748543,1607746.000000000000000,10336403.650000000372529
20170324,1927141.019999999785796,1684693.600000000093132,1696470.979999999981374,1662827.650000000372529,1746709.479999999748543,1595372.800000000279397,10313219.530000001192093
20170327,1930429.500000000000000,1688299.120000000111759,1704526.379999999888241,1665898.330000000074506,1747964.079999999841675,1595765.600000000093132,10332887.009999999776483
