訓練日期,20190115 - 20190417
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11852261.750000000000000
真實報酬,1852261.750000000000000

夏普值報酬,0.176526175000000
夏普值風險,0.051218082621046
夏普值,3.446559612668213

預期報酬,30299.604443068379624
風險,75031.869362914148951
趨勢值,0.403823131428530
找到最佳解世代,3310
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CSCO[4](1),PG[21](6),TRV[22](5),V[25](4),VZ[26](28),
Stock#,AAPL[0](2),CSCO[4](1),PG[21](6),TRV[22](5),V[25](4),VZ[26](28),
張數,11111,38571,18284,13822,12156,28720,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,16.000000000000000,13.089999999850988,79.399999999906868,9.239999999990687,78.400000000139698,44.399999999906868,
20190115,1700776.770000000018626,1697908.510000000009313,1682390.239999999990687,1683805.279999999795109,1669583.440000000176951,1668676.399999999906868,10103144.640000000596046
20190116,1721554.340000000083819,1695594.250000000000000,1670688.479999999981374,1690439.839999999850988,1669583.440000000176951,1639381.999999999767169,10087246.349999999627471
20190117,1731776.460000000195578,1705237.000000000000000,1657341.159999999916181,1699285.919999999925494,1668854.080000000074506,1632201.999999999767169,10094700.620000001043081
20190118,1742443.020000000018626,1736865.219999999972060,1671602.679999999934807,1714075.459999999962747,1683684.400000000139698,1639669.199999999953434,10188343.979999998584390
20190122,1703332.300000000046566,1727222.469999999972060,1653684.359999999869615,1691269.159999999916181,1678214.200000000186265,1636797.199999999953434,10090523.689999999478459
20190123,1710221.119999999878928,1753450.750000000000000,1734133.959999999962747,1700391.679999999934807,1665571.959999999962747,1658911.599999999860302,10222685.069999998435378
20190124,1696665.699999999953434,1759236.399999999906868,1724260.599999999860302,1719189.599999999860302,1673959.600000000093132,1639094.799999999813735,10212410.699999999254942
20190125,1752887.359999999869615,1779293.320000000065193,1711461.799999999813735,1727482.800000000046566,1685750.919999999925494,1619852.399999999906868,10276732.599999999627471
20190128,1736665.300000000046566,1764636.339999999850988,1709999.079999999841675,1728173.899999999906868,1653172.840000000316650,1581654.799999999813735,10174306.259999997913837
20190129,1718665.479999999981374,1772736.250000000000000,1710364.760000000009313,1725271.279999999795109,1641138.400000000139698,1530246.000000000000000,10098426.169999999925494
20190130,1836108.750000000000000,1801664.500000000000000,1728283.079999999841675,1739922.599999999860302,1672744.000000000000000,1550924.399999999906868,10329651.330000000074506
20190131,1849330.840000000083819,1824035.679999999701977,1763936.879999999888241,1735223.120000000111759,1641259.959999999962747,1581367.599999999860302,10395158.080000000074506
20190201,1850219.720000000204891,1825964.229999999981374,1782220.879999999888241,1748354.020000000018626,1703741.800000000279397,1566720.399999999906868,10477225.050000000745058
20190204,1902774.750000000000000,1826349.939999999944121,1792459.919999999925494,1742134.120000000111759,1720152.400000000139698,1552073.199999999953434,10535948.329999998211861
20190205,1935329.979999999981374,1822878.549999999813735,1781672.359999999869615,1744069.200000000186265,1732673.080000000074506,1554945.199999999953434,10571572.369999999180436
20190206,1935996.640000000130385,1831364.169999999692664,1790448.679999999934807,1735361.339999999850988,1720030.840000000316650,1544893.199999999953434,10558098.869999999180436
20190207,1899330.340000000083819,1801278.790000000037253,1776187.159999999916181,1752085.959999999962747,1703984.919999999925494,1538574.799999999813735,10471445.969999998807907
20190208,1893441.510000000009313,1820178.579999999841675,1786609.039999999804422,1738678.620000000111759,1706537.680000000167638,1549488.399999999906868,10494937.830000000074506
20190211,1882552.729999999981374,1835221.269999999785796,1796848.079999999841675,1733564.479999999981374,1711643.200000000186265,1552360.399999999906868,10512194.160000002011657
20190212,1898774.789999999804422,1847178.279999999795109,1814949.239999999990687,1758996.959999999962747,1726108.840000000316650,1562986.800000000046566,10608998.910000000149012
20190213,1890885.979999999981374,1832135.589999999850988,1814583.559999999823049,1769778.119999999878928,1744342.840000000316650,1564709.999999999767169,10616440.089999999850988
20190214,1897774.800000000046566,1866849.489999999757856,1800322.039999999804422,1754435.700000000186265,1740331.360000000102445,1551786.000000000000000,10611503.390000000596046
20190215,1893552.619999999878928,1906577.619999999878928,1800687.719999999972060,1779453.520000000018626,1761604.360000000102445,1584239.599999999860302,10726119.439999999478459
20190219,1899219.229999999981374,1915063.239999999757856,1828296.559999999823049,1784429.439999999944121,1755891.040000000037253,1592281.199999999953434,10775184.709999997168779
20190220,1911441.330000000074506,1914291.820000000065193,1815314.919999999925494,1793275.520000000018626,1759416.280000000027940,1601471.599999999860302,10795215.469999998807907
20190221,1900663.659999999916181,1905806.199999999720603,1824456.919999999925494,1794381.279999999795109,1750542.400000000139698,1612672.399999999906868,10788526.859999999403954
20190222,1921885.669999999925494,1932805.899999999906868,1833050.399999999906868,1810967.680000000167638,1773274.120000000111759,1634786.800000000046566,10906774.570000000298023
20190225,1935885.529999999795109,1959034.179999999701977,1820617.279999999795109,1831286.020000000018626,1775583.760000000242144,1630766.000000000000000,10953176.769999999552965
