訓練日期,20180529 - 20180828
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11157537.219999998807907
真實報酬,1157537.219999998807907

夏普值報酬,0.107053722000000
夏普值風險,0.032499811592498
夏普值,3.293979772630747

預期報酬,18117.419492553246528
風險,72099.024015663235332
趨勢值,0.251285225284288
找到最佳解世代,1935
找到最佳解實驗#,4
找到最佳解次數,41

stock[index](rank)
投資組合檔數,7
DIS[6](6),HD[9](13),KO[14](2),NKE[19](4),PG[21](1),VZ[26](5),WMT[28](7),
Stock#,DIS[6](6),HD[9](13),KO[14](2),NKE[19](4),PG[21](1),VZ[26](5),WMT[28](7),
張數,13978,7645,33692,19772,19224,29442,17324,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,19.399999999906868,102.750000000000000,30.199999999953434,44.000000000000000,35.560000000055879,45.159999999916181,33.960000000195578,
20180529,1393486.219999999972060,1414427.750000000000000,1438004.760000000009313,1402274.239999999990687,1423572.760000000009313,1419149.560000000055879,1427531.560000000288710,9918449.849999999627471
20180530,1397539.839999999850988,1430405.800000000046566,1453166.160000000149012,1428175.560000000055879,1439720.920000000158325,1430926.359999999869615,1457328.840000000316650,10037266.479999998584390
20180531,1390411.059999999823049,1426277.500000000000000,1448786.199999999953434,1419673.599999999860302,1406655.640000000130385,1403545.300000000046566,1429956.920000000391155,9925309.220000000670552
20180601,1388873.479999999981374,1432393.500000000000000,1452829.239999999757856,1438654.720000000204891,1412038.360000000102445,1407667.179999999934807,1437752.720000000204891,9970212.200000001117587
20180604,1401174.119999999878928,1463049.950000000186265,1465295.280000000027940,1459810.760000000009313,1426071.880000000121072,1407961.599999999860302,1479850.040000000270084,10103216.630000000819564
20180605,1396980.719999999972060,1467484.050000000046566,1452492.319999999832362,1464160.599999999860302,1422034.840000000083819,1412377.899999999906868,1465990.840000000316650,10081524.269999999552965
20180606,1424517.379999999888241,1480098.300000000046566,1464284.520000000018626,1478001.000000000000000,1429339.959999999962747,1425332.379999999888241,1464951.400000000139698,10166527.939999999478459
20180607,1432345.059999999823049,1499822.399999999906868,1463610.679999999934807,1478198.720000000204891,1456445.800000000046566,1442997.579999999841675,1471707.760000000242144,10245130.999999998137355
20180608,1453451.839999999850988,1516335.600000000093132,1480793.600000000093132,1480966.800000000046566,1483743.880000000121072,1448002.719999999972060,1461486.600000000093132,10324784.039999999105930
20180611,1458623.699999999720603,1526350.549999999813735,1486858.160000000149012,1474837.479999999981374,1490472.280000000027940,1451535.759999999776483,1460447.160000000149012,10349128.089999999850988
20180612,1458344.139999999897555,1539117.699999999953434,1496291.919999999925494,1468905.880000000121072,1484897.320000000065193,1437109.179999999934807,1456982.360000000102445,10341651.500000000000000
20180613,1486020.579999999841675,1531472.699999999953434,1488542.760000000009313,1465346.919999999925494,1470094.840000000083819,1395595.959999999962747,1456809.120000000344589,10293885.880000000819564
20180614,1520126.899999999906868,1526579.899999999906868,1468327.559999999823049,1477012.400000000139698,1460867.320000000065193,1407961.599999999860302,1451611.920000000391155,10312490.599999999627471
20180615,1521524.699999999720603,1533231.050000000046566,1486521.239999999757856,1499552.479999999981374,1487588.679999999934807,1415027.679999999934807,1450052.760000000242144,10393501.589999999850988
20180618,1496504.079999999841675,1534377.800000000046566,1467316.799999999813735,1495004.919999999925494,1457983.720000000204891,1397362.479999999981374,1437925.960000000195578,10286478.760000001639128
20180619,1483085.199999999720603,1523063.199999999953434,1469001.399999999906868,1468312.720000000204891,1467403.479999999981374,1427982.159999999916181,1448493.600000000093132,10287344.759999999776483
20180620,1497762.100000000093132,1522069.350000000093132,1457546.119999999878928,1477407.840000000083819,1458175.959999999962747,1415910.939999999944121,1448493.600000000093132,10277368.910000000149012
