代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10858389.160000000149012
真實報酬,858389.160000000149012

夏普值報酬,0.077138916000000
夏普值風險,0.029196917205664
夏普值,2.642022630561675

二次趨勢線,142.160843039957257 x^2 + 6749.667475039832425 x + 10000000.000000000000000
二次加權預期報酬,18785.952185756217659
風險,59600.725624885817524
二次加權趨勢值,0.315196702536660
一次趨勢線,13519.657858548933291 x + 10000000.000000000000000
一次預期報酬,13519.657858548933291
一次風險,87693.133910160220694
一次趨勢值,0.154170084426445
找到最佳解世代,2042
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](3),JNJ[12](1),JPM[13](14),KO[14](8),MCD[15](6),TRV[22](4),
Stock#,BA[2](3),JNJ[12](1),JPM[13](14),KO[14](8),MCD[15](6),TRV[22](4),
張數,9434,13366,19043,39298,12859,13845,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,149.899999999906868,59.459999999962747,22.640000000130385,37.820000000065193,11.009999999776483,4.900000000139698,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1686005.699999999720603,1666532.340000000083819,1662666.970000000204891,1677276.459999999962747,1662551.119999999646097,1669850.350000000093132,10024886.939999999478459
FS( 3 ),1670722.620000000111759,1668136.260000000009313,1641338.810000000055879,1672953.680000000167638,1676953.199999999720603,1674003.850000000093132,10004112.419999998062849
FS( 4 ),1673458.479999999981374,1671477.760000000009313,1646861.280000000260770,1676883.480000000214204,1673609.859999999869615,1668881.200000000186265,10011176.060000002384186
FS( 5 ),1687420.799999999813735,1669740.179999999934807,1641148.380000000353903,1674525.600000000093132,1671166.649999999906868,1663481.650000000139698,10007487.259999999776483
FS( 6 ),1675250.939999999944121,1661987.899999999906868,1635435.479999999981374,1677669.439999999944121,1671423.829999999608845,1676772.850000000093132,9998544.439999999478459
FS( 7 ),1684779.279999999795109,1660383.979999999981374,1632579.030000000260770,1676490.500000000000000,1687111.809999999590218,1677880.450000000186265,10019229.050000000745058
FS( 8 ),1661005.600000000093132,1676155.860000000102445,1626294.840000000316650,1687493.939999999944121,1687883.349999999627471,1681618.600000000093132,10020456.189999999478459
FS( 9 ),1656948.979999999981374,1670675.799999999813735,1607251.840000000316650,1681599.239999999990687,1681453.849999999627471,1668742.750000000232831,9966676.460000000894070
FS( 10 ),1689024.580000000074506,1680432.979999999981374,1635054.620000000111759,1692602.680000000167638,1689040.659999999683350,1687987.300000000279397,10074146.820000000298023
FS( 11 ),1677986.799999999813735,1628305.579999999841675,1621724.520000000018626,1708714.859999999869615,1701256.709999999962747,1671788.650000000139698,10009781.119999999180436
FS( 12 ),1683175.500000000000000,1622290.880000000121072,1608394.419999999925494,1698890.359999999869615,1705628.769999999552965,1666942.900000000139698,9985326.830000000074506
FS( 13 ),1691666.100000000093132,1628973.880000000121072,1629151.290000000037253,1693388.640000000130385,1713729.939999999944121,1645898.500000000000000,10002812.349999999627471
FS( 14 ),1701854.819999999832362,1627503.620000000111759,1609537.000000000000000,1692602.680000000167638,1715530.199999999720603,1648944.400000000139698,9995976.719999998807907
FS( 15 ),1717703.939999999944121,1642607.199999999953434,1666285.140000000130385,1700855.260000000009313,1726074.579999999608845,1669296.550000000046566,10122826.669999999925494
FS( 16 ),1731383.239999999757856,1649824.840000000083819,1680757.820000000298023,1694174.600000000093132,1822131.309999999590218,1679680.300000000046566,10257956.109999999403954
FS( 17 ),1714402.040000000037253,1650894.120000000111759,1683995.130000000353903,1699283.340000000083819,1811072.569999999832362,1689233.350000000325963,10248884.550000000745058
FS( 18 ),1728647.379999999888241,1653968.299999999813735,1668379.870000000111759,1690244.800000000046566,1811458.339999999850988,1691310.100000000093132,10244012.789999999105930
FS( 19 ),1743836.120000000111759,1650359.479999999981374,1656763.640000000130385,1695746.520000000018626,1799370.879999999888241,1684387.600000000093132,10230468.240000000223517
FS( 20 ),1720817.159999999683350,1648621.899999999906868,1657906.220000000204891,1698497.380000000121072,1815058.859999999869615,1677742.000000000232831,10218647.519999999552965
FS( 21 ),1730722.859999999869615,1653433.659999999916181,1647242.140000000130385,1705178.040000000037253,1816087.579999999608845,1666389.100000000093132,10219057.379999998956919
FS( 22 ),1730251.159999999683350,1648488.239999999990687,1656763.640000000130385,1702427.180000000167638,1833961.589999999850988,1672619.350000000093132,10244515.159999998286366
FS( 23 ),1727232.279999999795109,1656775.159999999916181,1658667.939999999944121,1715788.500000000000000,1844634.559999999590218,1672619.350000000093132,10275721.789999997243285
FS( 24 ),1745534.239999999757856,1650894.120000000111759,1656763.640000000130385,1716967.439999999944121,1851192.649999999906868,1679403.400000000139698,10300759.490000000223517
FS( 25 ),1755062.580000000074506,1647418.959999999962747,1658667.939999999944121,1724827.040000000037253,1854793.169999999925494,1675388.350000000325963,10316162.040000000968575
FS( 26 ),1763458.839999999850988,1646884.319999999832362,1652002.890000000130385,1709893.800000000046566,1856336.250000000000000,1660712.650000000139698,10289292.750000000000000
FS( 27 ),1728270.020000000018626,1641537.919999999925494,1664952.130000000353903,1712251.680000000167638,1858393.689999999944121,1670957.950000000186265,10276367.390000000596046
FS( 28 ),1735439.859999999869615,1646750.659999999916181,1659810.520000000018626,1716181.480000000214204,1854407.399999999906868,1668881.200000000186265,10281475.120000001043081
FS( 29 ),1728930.399999999906868,1652631.699999999953434,1655240.200000000186265,1713037.640000000130385,1869195.250000000000000,1669573.450000000186265,10288612.640000000596046
FS( 30 ),1720817.159999999683350,1697407.799999999813735,1663238.260000000242144,1718539.359999999869615,1881025.529999999795109,1664866.150000000139698,10345898.259999999776483
FS( 31 ),1723741.699999999720603,1707833.279999999795109,1668379.870000000111759,1723255.120000000111759,1894013.119999999646097,1660435.750000000232831,10377662.839999999850988
