代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11425903.599999999627471
真實報酬,1425903.599999999627471

夏普值報酬,0.133890360000000
夏普值風險,0.039875185233651
夏普值,3.357736377034036

二次趨勢線,47.541696709130107 x^2 + 20298.560478296563815 x + 10000000.000000000000000
二次加權預期報酬,24323.757466336242942
風險,55299.524843550614605
二次加權趨勢值,0.439854728140092
一次趨勢線,22562.593405043106031 x + 10000000.000000000000000
一次預期報酬,22562.593405043106031
一次風險,59336.372432594595011
一次趨勢值,0.380248951529249
找到最佳解世代,2275
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),CSCO[4](2),HD[9](10),PFE[20](3),WBA[27](11),XOM[29](14),
Stock#,AAPL[0](7),CSCO[4](2),HD[9](10),PFE[20](3),WBA[27](11),XOM[29](14),
張數,8904,38931,8590,45875,27264,20384,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,15.280000000027940,29.889999999897555,34.199999999953434,27.250000000000000,17.679999999934807,70.159999999916181,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1637638.959999999962747,1661215.659999999916181,1663230.000000000000000,1667583.500000000000000,1656578.319999999832362,1676450.319999999832362,9962700.759999999776483
FS( 3 ),1650816.880000000121072,1656933.250000000000000,1670016.099999999860302,1691438.499999999767169,1700746.000000000000000,1677877.199999999953434,10047831.929999999701977
FS( 4 ),1673700.159999999916181,1662772.899999999906868,1670617.399999999906868,1702448.500000000000000,1725828.879999999888241,1678284.879999999888241,10113656.719999998807907
FS( 5 ),1696939.600000000093132,1661215.659999999916181,1684361.400000000139698,1704742.249999999767169,1737552.399999999906868,1689903.760000000009313,10174719.070000000298023
FS( 6 ),1694891.679999999934807,1668612.549999999813735,1697504.100000000093132,1717128.500000000000000,1723102.479999999981374,1705395.599999999860302,10206638.910000000149012
FS( 7 ),1672898.800000000046566,1657322.559999999823049,1691834.699999999953434,1707036.000000000000000,1735643.919999999925494,1683584.719999999972060,10148324.700000001117587
FS( 8 ),1700946.400000000139698,1696642.869999999878928,1700424.699999999953434,1721257.250000000232831,1741642.000000000000000,1685623.119999999878928,10246540.339999997988343
FS( 9 ),1703617.600000000093132,1626567.069999999832362,1706781.300000000046566,1721716.000000000000000,1776812.560000000055879,1698261.199999999953434,10233759.729999998584390
FS( 10 ),1699877.919999999925494,1654597.389999999897555,1708413.399999999906868,1714834.750000000232831,1776539.919999999925494,1681546.319999999832362,10235813.699999999254942
