代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11630204.400000000372529
真實報酬,1630204.400000000372529

夏普值報酬,0.154320440000000
夏普值風險,0.044349303732978
夏普值,3.479658687070821

二次趨勢線,-355.133710010714424 x^2 + 48778.331012638227548 x + 10000000.000000000000000
二次加權預期報酬,18236.831951716783806
風險,138598.942301278264495
二次加權趨勢值,0.131579878236550
一次趨勢線,31599.770156305905402 x + 10000000.000000000000000
一次預期報酬,31599.770156305905402
一次風險,216089.358946690132143
一次趨勢值,0.146234735066717
找到最佳解世代,2404
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,42724,50617,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,10.280000000260770,52.740000000223517,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5033324.720000000670552,5051123.170000000856817,10084447.890000000596046
FS( 3 ),5092711.080000000074506,5120974.629999999888241,10213685.710000000894070
FS( 4 ),5070494.600000000558794,5157925.040000000968575,10228419.640000000596046
FS( 5 ),5111936.880000000819564,5151344.830000000074506,10263281.710000000894070
FS( 6 ),5172177.720000000670552,5211072.890000000596046,10383250.610000001266599
FS( 7 ),5183713.200000000186265,5201455.660000000149012,10385168.859999999403954
FS( 8 ),5208065.880000000819564,5225751.820000000298023,10433817.700000001117587
FS( 9 ),5195675.919999999925494,5232838.200000000186265,10428514.120000001043081
FS( 10 ),5138425.759999999776483,5204492.679999999701977,10342918.439999999478459
FS( 11 ),5204220.720000000670552,5247010.959999999962747,10451231.679999999701977
FS( 12 ),5243954.040000000037253,5305726.679999999701977,10549680.719999998807907
FS( 13 ),5259334.679999999701977,5289023.070000000298023,10548357.750000000000000
FS( 14 ),5248653.679999999701977,5256122.020000000484288,10504775.699999999254942
