代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11439772.150000002235174
真實報酬,1439772.150000002235174

夏普值報酬,0.135277215000000
夏普值風險,0.051450015575684
夏普值,2.629293956208929

二次趨勢線,227.305784015321592 x^2 + 15060.900014439534061 x + 10000000.000000000000000
二次加權預期報酬,33699.974303695904382
風險,170645.775208317325450
二次加權趨勢值,0.197484961245342
一次趨勢線,25544.686296707128349 x + 10000000.000000000000000
一次預期報酬,25544.686296707128349
一次風險,196034.991863253846532
一次趨勢值,0.130306768469815
找到最佳解世代,3702
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](3),WBA[27](1),
Stock#,UNH[23](3),WBA[27](1),
張數,49613,65789,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.860000000335276,36.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4917642.420000000856817,4901316.500000000000000,9818958.920000001788139
FS( 3 ),4907719.820000000298023,4913816.410000000149012,9821536.230000000447035
FS( 4 ),4957828.950000001117587,5039473.399999999441206,9997302.350000001490116
FS( 5 ),5194482.960000000894070,5101972.950000000186265,10296455.910000000149012
FS( 6 ),5145862.220000000670552,4978289.629999999888241,10124151.850000001490116
FS( 7 ),5087815.009999999776483,4980263.299999999813735,10068078.309999998658895
FS( 8 ),5113613.769999999552965,4951316.140000000596046,10064929.910000000149012
FS( 9 ),5126513.150000000372529,4933553.109999999403954,10060066.259999999776483
FS( 10 ),5182575.839999999850988,4919737.419999999925494,10102313.259999999776483
FS( 11 ),5247568.870000000111759,5001973.669999999925494,10249542.539999999105930
FS( 12 ),5240126.920000000856817,5003289.450000000186265,10243416.370000001043081
FS( 13 ),5423695.019999999552965,4973026.509999999776483,10396721.529999999329448
FS( 14 ),5648441.910000000149012,5001315.779999999329448,10649757.689999999478459
FS( 15 ),5556657.860000000335276,4973026.509999999776483,10529684.370000001043081
FS( 16 ),5537308.790000000037253,4989473.759999999776483,10526782.550000000745058
FS( 17 ),5457927.990000000223517,4929605.770000000484288,10387533.760000001639128
FS( 18 ),5381027.839999999850988,4853290.529999999329448,10234318.369999999180436
FS( 19 ),5427167.930000000633299,4905921.729999999515712,10333089.660000000149012
FS( 20 ),5271383.110000000335276,4851974.750000000000000,10123357.859999999403954
FS( 21 ),5322980.630000000819564,4926974.209999999962747,10249954.839999999850988
FS( 22 ),5348779.390000000596046,4920395.310000000521541,10269174.700000001117587
FS( 23 ),5354236.820000000298023,4912500.629999999888241,10266737.449999999254942
FS( 24 ),5398888.519999999552965,4920395.310000000521541,10319283.830000000074506
FS( 25 ),5338360.660000000149012,5009868.350000000558794,10348229.010000001639128
FS( 26 ),5283290.230000000447035,5026315.600000000558794,10309605.830000001937151
FS( 27 ),5406330.470000000670552,5045394.410000000149012,10451724.880000000819564
FS( 28 ),5449989.910000000149012,5232235.169999999925494,10682225.080000000074506
FS( 29 ),5449493.780000000260770,5260524.439999999478459,10710018.219999998807907
FS( 30 ),5429648.580000000074506,5179603.970000000670552,10609252.550000000745058
FS( 31 ),5445524.740000000223517,5131578.000000000000000,10577102.740000000223517
FS( 32 ),5446020.870000000111759,5117762.310000000521541,10563783.179999999701977
FS( 33 ),5458920.250000000000000,5072367.899999999441206,10531288.149999998509884
FS( 34 ),5587417.920000000856817,5074341.569999999366701,10661759.490000000223517
FS( 35 ),5774955.060000000521541,5170393.509999999776483,10945348.570000000298023
FS( 36 ),5726830.450000001117587,5288813.709999999962747,11015644.160000000149012
FS( 37 ),5658364.509999999776483,5263813.890000000596046,10922178.400000000372529
FS( 38 ),5639015.440000000409782,5371707.850000000558794,11010723.290000000968575
FS( 39 ),5637527.049999999813735,5465786.120000000111759,11103313.169999999925494
FS( 40 ),5675729.060000000521541,5501312.180000000633299,11177041.240000002086163
FS( 41 ),5599325.040000000037253,5474338.689999999478459,11073663.730000000447035
FS( 42 ),5646953.519999999552965,5461838.779999999329448,11108792.299999998882413
FS( 43 ),5695078.130000000819564,5473680.799999999813735,11168758.929999999701977
FS( 44 ),5600317.299999999813735,5417760.149999999441206,11018077.449999999254942
FS( 45 ),5700535.560000000521541,5493417.500000000000000,11193953.060000000521541
FS( 46 ),5579479.839999999850988,5442102.080000000074506,11021581.919999999925494
FS( 47 ),5592379.220000000670552,5428286.390000000596046,11020665.610000001266599
FS( 48 ),5699543.299999999813735,5542759.250000000000000,11242302.550000000745058
FS( 49 ),5717900.110000000335276,5507891.080000000074506,11225791.190000001341105
FS( 50 ),5880134.620000000111759,5708547.529999999329448,11588682.149999998509884
FS( 51 ),5834490.660000000149012,5674995.140000000596046,11509485.800000000745058
FS( 52 ),5951577.339999999850988,5735521.020000000484288,11687098.359999999403954
FS( 53 ),5991267.740000000223517,5747363.040000000037253,11738630.780000001192093
FS( 54 ),5910894.680000000633299,5804599.470000000670552,11715494.150000002235174
FS( 55 ),5905933.380000000819564,5784204.879999999888241,11690138.260000001639128
FS( 56 ),5860289.420000000856817,5789468.000000000000000,11649757.420000001788139
FS( 57 ),5781900.880000000819564,5649995.319999999366701,11431896.199999999254942
FS( 58 ),5767513.110000000335276,5555259.160000000149012,11322772.269999999552965
FS( 59 ),5854831.990000000223517,5611179.810000000521541,11466011.800000000745058
FS( 60 ),6003174.860000000335276,5657232.109999999403954,11660406.969999998807907
FS( 61 ),5868723.630000000819564,5571048.520000000484288,11439772.150000002235174
