代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10815830.470000000670552
真實報酬,815830.470000000670552

夏普值報酬,0.072883047000000
夏普值風險,0.027945631753779
夏普值,2.608030036398979

二次趨勢線,216.464192275085537 x^2 + 1062.216237120747792 x + 10000000.000000000000000
二次加權預期報酬,19389.517849744657724
風險,66304.008442987062153
二次加權趨勢值,0.292433569328122
一次趨勢線,11370.684228299589449 x + 10000000.000000000000000
一次預期報酬,11370.684228299589449
一次風險,118278.964154323912226
一次趨勢值,0.096134458985148
找到最佳解世代,1990
找到最佳解實驗#,2
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
MCD[15](3),PFE[20](7),TRV[22](4),WMT[28](5),
Stock#,MCD[15](3),PFE[20](7),TRV[22](4),WMT[28](5),
張數,13270,58356,18113,25557,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,64.700000000186265,28.959999999962747,43.739999999757856,14.260000000242144,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2499469.200000000186265,2504084.919999999925494,2478083.270000000018626,2477509.840000000316650,9959147.230000000447035
FS( 3 ),2499469.200000000186265,2500000.000000000000000,2474279.539999999571592,2483899.090000000316650,9957647.830000000074506
FS( 4 ),2519639.600000000093132,2494164.399999999906868,2472830.500000000000000,2507411.530000000260770,9994046.030000001192093
FS( 5 ),2530786.400000000372529,2508753.399999999906868,2470656.939999999944121,2525812.570000000298023,10036009.310000000521541
FS( 6 ),2519374.200000000186265,2517506.799999999813735,2461238.179999999701977,2536035.370000000111759,10034154.550000000745058
FS( 7 ),2522426.300000000279397,2500000.000000000000000,2448740.209999999497086,2522234.590000000316650,9993401.099999999627471
FS( 8 ),2511014.100000000093132,2493580.839999999850988,2453630.719999999739230,2545491.459999999962747,10003717.119999999180436
FS( 9 ),2506502.300000000279397,2466737.080000000074506,2468483.379999999888241,2576159.860000000335276,10017882.620000001043081
FS( 10 ),2542596.700000000186265,2434057.720000000204891,2494566.099999999627471,2595583.180000000167638,10066803.699999999254942
FS( 11 ),2545914.200000000186265,2456233.000000000000000,2477721.009999999776483,2617817.770000000484288,10097685.980000000447035
FS( 12 ),2543923.700000000186265,2387956.479999999981374,2505796.159999999683350,2630596.270000000484288,10068272.609999999403954
FS( 13 ),2542729.400000000372529,2327266.240000000223517,2461057.049999999813735,2636474.380000000353903,9967527.070000000298023
FS( 14 ),2586520.400000000372529,2298088.240000000223517,2516482.830000000074506,2636985.520000000484288,10038076.990000002086163
FS( 15 ),2573383.100000000093132,2274745.839999999850988,2474460.669999999925494,2616284.350000000558794,9938873.960000000894070
FS( 16 ),2591164.899999999906868,2300422.479999999981374,2499818.869999999646097,2634174.250000000000000,10025580.500000000000000
FS( 17 ),2622614.800000000279397,2297504.679999999701977,2521011.080000000074506,2645930.470000000204891,10087061.030000001192093
FS( 18 ),2626595.800000000279397,2311510.120000000111759,2521192.209999999497086,2645674.900000000372529,10104973.029999999329448
