代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12352339.929999999701977
真實報酬,2352339.929999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13513.272171694070494
風險,296843.361380823771469
起點值,0.045523241984710
找到最佳解世代,2273
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,200883,
分配資金,10000000.000000000000000,
剩餘資金,44.259999999776483,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10010044.149999998509884,10010044.149999998509884
FS( 3 ),10018079.469999998807907,10018079.469999998807907
FS( 4 ),10006026.490000000223517,10006026.490000000223517
FS( 5 ),10128565.120000001043081,10128565.120000001043081
FS( 6 ),10116512.139999998733401,10116512.139999998733401
FS( 7 ),10042185.429999999701977,10042185.429999999701977
FS( 8 ),9971876.380000000819564,9971876.380000000819564
FS( 9 ),9997991.169999999925494,9997991.169999999925494
FS( 10 ),10028123.620000001043081,10028123.620000001043081
FS( 11 ),10034150.110000001266599,10034150.110000001266599
FS( 12 ),9899558.500000000000000,9899558.500000000000000
FS( 13 ),10044194.259999999776483,10044194.259999999776483
FS( 14 ),10074326.709999999031425,10074326.709999999031425
FS( 15 ),10060264.899999998509884,10060264.899999998509884
FS( 16 ),10156688.740000000223517,10156688.740000000223517
FS( 17 ),10140618.099999999627471,10140618.099999999627471
FS( 18 ),10138609.269999999552965,10138609.269999999552965
FS( 19 ),10030132.449999999254942,10030132.449999999254942
FS( 20 ),10062273.730000000447035,10062273.730000000447035
FS( 21 ),9927682.120000001043081,9927682.120000001043081
FS( 22 ),10122538.630000000819564,10122538.630000000819564
FS( 23 ),10128565.120000001043081,10128565.120000001043081
FS( 24 ),10086379.689999999478459,10086379.689999999478459
FS( 25 ),10066291.389999998733401,10066291.389999998733401
FS( 26 ),10190838.849999999627471,10190838.849999999627471
FS( 27 ),10289271.519999999552965,10289271.519999999552965
FS( 28 ),10325430.459999999031425,10325430.459999999031425
FS( 29 ),10283245.029999999329448,10283245.029999999329448
FS( 30 ),10261147.899999998509884,10261147.899999998509884
FS( 31 ),10389713.019999999552965,10389713.019999999552965
FS( 32 ),10544392.929999999701977,10544392.929999999701977
FS( 33 ),10522295.800000000745058,10522295.800000000745058
FS( 34 ),10510242.820000000298023,10510242.820000000298023
FS( 35 ),10508233.990000000223517,10508233.990000000223517
FS( 36 ),10486136.860000001266599,10486136.860000001266599
FS( 37 ),10490154.519999999552965,10490154.519999999552965
FS( 38 ),10387704.189999999478459,10387704.189999999478459
FS( 39 ),10329448.120000001043081,10329448.120000001043081
FS( 40 ),10275209.709999999031425,10275209.709999999031425
FS( 41 ),10212935.980000000447035,10212935.980000000447035
FS( 42 ),10220971.300000000745058,10220971.300000000745058
FS( 43 ),10257130.240000000223517,10257130.240000000223517
FS( 44 ),10297306.839999999850988,10297306.839999999850988
FS( 45 ),10241059.599999999627471,10241059.599999999627471
FS( 46 ),10249094.919999999925494,10249094.919999999925494
FS( 47 ),10188830.019999999552965,10188830.019999999552965
FS( 48 ),10180794.699999999254942,10180794.699999999254942
FS( 49 ),10379668.870000001043081,10379668.870000001043081
