代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12963215.070000000298023
真實報酬,2963215.070000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24638.357644189440180
風險,210787.009555551718222
起點值,0.116887457610124
找到最佳解世代,1915
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,58651,84788,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.250000000000000,51.639999999664724,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4931964.839999999850988,5234862.759999999776483,10166827.599999999627471
FS( 3 ),4947800.610000000335276,5228927.599999999627471,10176728.210000000894070
FS( 4 ),4982404.700000000186265,5259451.279999999329448,10241855.980000000447035
FS( 5 ),5053958.919999999925494,5265386.439999999478459,10319345.359999999403954
FS( 6 ),5087976.500000000000000,5247580.959999999962747,10335557.460000000894070
FS( 7 ),5114955.959999999962747,5272169.479999999515712,10387125.439999999478459
FS( 8 ),5150733.069999999366701,5291670.719999999739230,10442403.789999999105930
FS( 9 ),5192375.280000000260770,5339999.879999998956919,10532375.160000000149012
FS( 10 ),5213489.639999999664724,5344239.279999999329448,10557728.919999998062849
FS( 11 ),5089149.519999999552965,5222144.559999999590218,10311294.079999998211861
FS( 12 ),5096187.639999999664724,5325585.919999999925494,10421773.559999998658895
FS( 13 ),5084457.439999999478459,5259451.279999999329448,10343908.719999998807907
FS( 14 ),5051026.370000000111759,5061047.359999999403954,10112073.730000000447035
FS( 15 ),5158944.209999999962747,5090723.159999999217689,10249667.369999999180436
FS( 16 ),5099120.189999999478459,5021197.000000000000000,10120317.189999999478459
FS( 17 ),5171847.430000000633299,4963541.159999999217689,10135388.589999999850988
FS( 18 ),5327272.580000000074506,4984738.159999999217689,10312010.739999998360872
FS( 19 ),5376539.419999999925494,5031371.559999999590218,10407910.980000000447035
FS( 20 ),5445747.599999999627471,5043241.879999998956919,10488989.479999998584390
FS( 21 ),5390029.150000000372529,5088179.519999999552965,10478208.669999999925494
FS( 22 ),5361290.160000000149012,5081396.479999999515712,10442686.640000000596046
FS( 23 ),5347800.430000000633299,5063591.000000000000000,10411391.429999999701977
FS( 24 ),5408210.959999999962747,5043241.879999998956919,10451452.839999999850988
FS( 25 ),5497946.989999999292195,4995760.599999999627471,10493707.589999999850988
FS( 26 ),5524339.939999999478459,5104289.240000000223517,10628629.179999999701977
FS( 27 ),5559530.540000000037253,5129725.639999999664724,10689256.179999999701977
FS( 28 ),5515542.290000000037253,5300149.519999999552965,10815691.809999998658895
FS( 29 ),5548973.360000000335276,5257755.519999999552965,10806728.879999998956919
FS( 30 ),5527272.489999999292195,5334064.719999999739230,10861337.209999999031425
FS( 31 ),5557771.010000000707805,5289974.959999999962747,10847745.970000000670552
FS( 32 ),5636949.860000000335276,5234014.879999998956919,10870964.739999998360872
FS( 33 ),5690322.269999999552965,5223840.319999999366701,10914162.589999999850988
FS( 34 ),5664515.830000000074506,5268777.959999999962747,10933293.789999999105930
FS( 35 ),5801759.169999999925494,5328129.559999999590218,11129888.730000000447035
FS( 36 ),5790028.969999999739230,5304388.919999999925494,11094417.890000000596046
FS( 37 ),5791788.500000000000000,5330673.199999999254942,11122461.699999999254942
FS( 38 ),5743694.680000000633299,5280648.279999999329448,11024342.960000000894070
FS( 39 ),5850439.500000000000000,5287431.319999999366701,11137870.820000000298023
FS( 40 ),5865102.250000000000000,5261994.919999999925494,11127097.169999999925494
FS( 41 ),5871553.860000000335276,5370523.559999999590218,11242077.419999999925494
FS( 42 ),5811729.839999999850988,5371371.439999999478459,11183101.279999999329448
FS( 43 ),5896773.790000000037253,5482443.719999999739230,11379217.509999999776483
FS( 44 ),5807624.269999999552965,5310324.080000000074506,11117948.349999999627471
FS( 45 ),5908503.989999999292195,5324738.039999999105930,11233242.029999997466803
FS( 46 ),5842228.360000000335276,5287431.319999999366701,11129659.679999999701977
FS( 47 ),5776539.239999999292195,5235710.639999999664724,11012249.879999998956919
FS( 48 ),5851026.010000000707805,5250124.599999999627471,11101150.609999999403954
FS( 49 ),6011143.239999999292195,5305236.799999999813735,11316380.039999999105930
FS( 50 ),5996480.489999999292195,5399351.479999999515712,11395831.969999998807907
FS( 51 ),5967741.500000000000000,5420548.479999999515712,11388289.980000000447035
FS( 52 ),5916715.129999999888241,5412069.679999999701977,11328784.809999998658895
FS( 53 ),5991788.410000000149012,5439201.839999999850988,11430990.250000000000000
FS( 54 ),5972433.580000000074506,5409526.039999999105930,11381959.619999999180436
FS( 55 ),6042814.780000000260770,5457855.200000000186265,11500669.980000000447035
FS( 56 ),6104398.330000000074506,5568927.480000000447035,11673325.810000000521541
FS( 57 ),5997067.000000000000000,5533316.520000000484288,11530383.519999999552965
FS( 58 ),5843987.889999999664724,5409526.039999999105930,11253513.929999999701977
FS( 59 ),5863929.230000000447035,5418004.839999999850988,11281934.070000000298023
FS( 60 ),5739002.599999999627471,5481595.839999999850988,11220598.439999999478459
