代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12511504.760000001639128
真實報酬,2511504.760000001639128

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21110.443710582432686
風險,171668.717461946158437
起點值,0.122971989438099
找到最佳解世代,2375
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,4
BA[2](15),MCD[15](3),PG[21](4),UNH[23](1),
Stock#,BA[2](15),MCD[15](3),PG[21](4),UNH[23](1),
張數,47975,44060,44154,100847,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.750000000000000,35.600000000093132,0.520000000018626,2.870000000111759,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465937.750000000000000,2498678.200000000186265,2505740.020000000018626,2448568.030000000260770,9918924.000000000000000
FS( 3 ),2508155.750000000000000,2494272.200000000186265,2502649.240000000223517,2424364.750000000000000,9929441.940000001341105
FS( 4 ),2508635.500000000000000,2530842.000000000000000,2518103.140000000130385,2458652.729999999981374,10016233.370000001043081
FS( 5 ),2484648.000000000000000,2517624.000000000000000,2514570.820000000298023,2526220.220000000204891,10043063.040000000968575
FS( 6 ),2509115.250000000000000,2505727.799999999813735,2545478.620000000111759,2436466.390000000130385,9996788.060000000521541
FS( 7 ),2527825.500000000000000,2498237.600000000093132,2541504.760000000242144,2487898.360000000335276,10055466.219999998807907
FS( 8 ),2478411.250000000000000,2497356.399999999906868,2538855.520000000018626,2544372.680000000167638,10058995.849999999627471
FS( 9 ),2489925.250000000000000,2513658.600000000093132,2528258.560000000055879,2449576.500000000000000,9981418.910000000149012
FS( 10 ),2519190.000000000000000,2533485.600000000093132,2530466.260000000242144,2508067.760000000242144,10091209.619999999180436
FS( 11 ),2483208.750000000000000,2564327.600000000093132,2527375.479999999981374,2475796.720000000204891,10050708.550000000745058
FS( 12 ),2551813.000000000000000,2589882.400000000372529,2536206.279999999795109,2465712.020000000018626,10143613.699999999254942
FS( 13 ),2564286.500000000000000,2611912.400000000372529,2551660.180000000167638,2513110.110000000335276,10240969.190000001341105
FS( 14 ),2489445.500000000000000,2596050.800000000279397,2566672.540000000037253,2617990.990000000223517,10270159.830000001937151
FS( 15 ),2428997.000000000000000,2570055.399999999906868,2538413.979999999981374,2533279.510000000242144,10070745.890000000596046
FS( 16 ),2450106.000000000000000,2621605.600000000093132,2566672.540000000037253,2592779.240000000223517,10231163.379999998956919
FS( 17 ),2393495.500000000000000,2618521.399999999906868,2545037.080000000074506,2606897.820000000298023,10163951.800000000745058
FS( 18 ),2316735.500000000000000,2608387.600000000093132,2512363.120000000111759,2552440.439999999944121,9989926.660000000149012
FS( 19 ),2290829.000000000000000,2600456.800000000279397,2524726.240000000223517,2672448.370000000111759,10088460.410000000149012
FS( 20 ),2265402.250000000000000,2583714.000000000000000,2526933.939999999944121,2609923.229999999981374,9985973.419999999925494
FS( 21 ),2341682.500000000000000,2605744.000000000000000,2628929.680000000167638,2669422.959999999962747,10245779.140000000596046
FS( 22 ),2293227.750000000000000,2582392.200000000186265,2560932.520000000018626,2616982.520000000018626,10053534.990000000223517
FS( 23 ),2315776.000000000000000,2606625.199999999720603,2602878.820000000298023,2664380.610000000335276,10189660.629999998956919
FS( 24 ),2307620.250000000000000,2610150.000000000000000,2586541.839999999850988,2713795.640000000130385,10218107.730000000447035
FS( 25 ),2306181.000000000000000,2656413.000000000000000,2606411.140000000130385,2810608.760000000242144,10379613.900000000372529
FS( 26 ),2387738.500000000000000,2708844.399999999906868,2669992.899999999906868,2844896.740000000223517,10611472.540000000968575
FS( 27 ),2383420.750000000000000,2719418.799999999813735,2695160.680000000167638,2891286.360000000335276,10689286.589999999850988
FS( 28 ),2463539.000000000000000,2759954.000000000000000,2730925.419999999925494,2937675.979999999981374,10892094.400000000372529
FS( 29 ),2414124.750000000000000,2744092.400000000372529,2731366.959999999962747,2921540.459999999962747,10811124.570000000298023
FS( 30 ),2431395.750000000000000,2768325.399999999906868,2747703.939999999944121,2961879.260000000242144,10909304.349999999627471
FS( 31 ),2412205.750000000000000,2739245.800000000279397,2706640.719999999739230,2900362.590000000316650,10758454.860000001266599
FS( 32 ),2431395.750000000000000,2801370.399999999906868,2720328.459999999962747,2932633.629999999888241,10885728.240000000223517
FS( 33 ),2517750.750000000000000,2843227.400000000372529,2749470.100000000093132,2939692.919999999925494,11050141.169999999925494
FS( 34 ),2520149.500000000000000,2800929.800000000279397,2751236.260000000242144,2921540.459999999962747,10993856.019999999552965
FS( 35 ),2495682.250000000000000,2818994.399999999906868,2755651.659999999683350,2911455.760000000242144,10981784.070000000298023
FS( 36 ),2467377.000000000000000,2793880.199999999720603,2744171.620000000111759,2887252.479999999981374,10892681.299999998882413
FS( 37 ),2480330.250000000000000,2818553.799999999813735,2728717.719999999739230,2880193.189999999944121,10907794.959999999031425
FS( 38 ),2524947.000000000000000,2819435.000000000000000,2769780.939999999944121,2932633.629999999888241,11046796.570000000298023
FS( 39 ),2493283.500000000000000,2829568.799999999813735,2772871.719999999739230,2981040.189999999944121,11076764.209999999031425
FS( 40 ),2539339.500000000000000,2839702.600000000093132,2775962.500000000000000,2979023.250000000000000,11134027.849999999627471
FS( 41 ),2516311.500000000000000,2802251.600000000093132,2758742.439999999944121,2968938.550000000279397,11046244.089999999850988
FS( 42 ),2514392.500000000000000,2786830.600000000093132,2753002.419999999925494,2891286.360000000335276,10945511.879999998956919
FS( 43 ),2577239.750000000000000,2799608.000000000000000,2777728.659999999683350,2894311.770000000018626,11048888.179999999701977
FS( 44 ),2580118.250000000000000,2753785.600000000093132,2790091.779999999795109,2852964.500000000000000,10976960.129999998956919
FS( 45 ),2579638.500000000000000,2730433.799999999813735,2762274.760000000242144,2756151.379999999888241,10828498.440000001341105
FS( 46 ),2623295.750000000000000,2713691.000000000465661,2764040.919999999925494,2769261.490000000223517,10870289.160000000149012
FS( 47 ),2677987.250000000000000,2728671.399999999906868,2758300.899999999906868,2853972.970000000204891,11018932.520000001415610
FS( 48 ),2670311.250000000000000,2670512.200000000186265,2731808.500000000000000,2870108.490000000223517,10942740.440000001341105
FS( 49 ),2661196.000000000000000,2670071.600000000093132,2748145.479999999981374,2874142.370000000111759,10953555.449999999254942
FS( 50 ),2639127.500000000000000,2689898.600000000093132,2748145.479999999981374,3056675.439999999944121,11133847.019999999552965
FS( 51 ),2667432.750000000000000,2716775.199999999720603,2752560.880000000353903,3073819.430000000167638,11210588.259999999776483
FS( 52 ),2689021.500000000000000,2737924.000000000000000,2782144.060000000055879,3121217.520000000018626,11330307.080000000074506
FS( 53 ),2670791.000000000000000,2731755.600000000093132,2742847.000000000000000,3158530.910000000149012,11303924.509999999776483
FS( 54 ),2644884.500000000000000,2750260.800000000279397,2744613.159999999683350,3247276.270000000484288,11387034.730000000447035
FS( 55 ),2613221.000000000000000,2728230.800000000279397,2719445.380000000353903,3208954.410000000149012,11269851.590000001713634
FS( 56 ),2563806.750000000000000,2739245.800000000279397,2717679.219999999739230,3180717.250000000000000,11201449.019999999552965
FS( 57 ),2605065.250000000000000,2760835.199999999720603,2706640.719999999739230,3244250.860000000335276,11316792.029999999329448
FS( 58 ),2643445.250000000000000,2774493.799999999813735,2706640.719999999739230,3259377.910000000149012,11383957.679999999701977
FS( 59 ),2636728.750000000000000,2791677.200000000186265,2707082.260000000242144,3188785.010000000242144,11324273.220000000670552
FS( 60 ),2661675.750000000000000,2794320.800000000279397,2705757.640000000130385,3194835.830000000074506,11356590.020000001415610
FS( 61 ),2645364.250000000000000,2802692.200000000186265,2704433.020000000018626,3165590.200000000186265,11318079.670000001788139
FS( 62 ),2648722.500000000000000,2801811.000000000465661,2719003.839999999850988,3111132.820000000298023,11280670.160000000149012
FS( 63 ),2636728.750000000000000,2770969.000000000000000,2709731.500000000000000,3127268.340000000316650,11244697.589999999850988
FS( 64 ),2596909.500000000000000,2751142.000000000000000,2677057.540000000037253,3073819.430000000167638,11098928.470000000670552
FS( 65 ),2695258.250000000000000,2766122.400000000372529,2698693.000000000000000,3179708.780000000260770,11339782.429999999701977
FS( 66 ),2783532.250000000000000,2744973.600000000093132,2699576.080000000074506,3174666.430000000167638,11402748.359999999403954
FS( 67 ),2867968.250000000000000,2707522.600000000093132,2686771.419999999925494,3205929.000000000000000,11468191.269999999552965
FS( 68 ),2984067.750000000000000,2727349.600000000093132,2672200.600000000093132,3328962.339999999850988,11712580.289999999105930
FS( 69 ),2955282.750000000000000,2724706.000000000465661,2668668.279999999795109,3297699.770000000484288,11646356.800000000745058
FS( 70 ),2920261.000000000000000,2745854.800000000279397,2658071.320000000298023,3319886.110000000335276,11644073.230000000447035
FS( 71 ),2899152.000000000000000,2760835.199999999720603,2688537.580000000074506,3232149.219999999739230,11580674.000000000000000
FS( 72 ),2934173.750000000000000,2757751.000000000465661,2716354.600000000093132,3281564.250000000000000,11689843.599999999627471
FS( 73 ),2953363.750000000000000,2760394.600000000093132,2719003.839999999850988,3360224.910000000149012,11792987.099999999627471
FS( 74 ),2917862.250000000000000,2744092.400000000372529,2685446.799999999813735,3403589.120000000111759,11750990.570000000298023
FS( 75 ),2909706.500000000000000,2796964.399999999906868,2725185.399999999906868,3542757.980000000447035,11974614.280000001192093
FS( 76 ),2888117.750000000000000,2776256.200000000186265,2669109.820000000298023,3484266.719999999739230,11817750.490000000223517
FS( 77 ),2840142.750000000000000,2784627.600000000093132,2642175.880000000353903,3338038.570000000298023,11604984.800000000745058
FS( 78 ),2771538.500000000000000,2792999.000000000000000,2662928.260000000242144,3344089.389999999664724,11571555.149999998509884
FS( 79 ),2772018.250000000000000,2779781.000000000465661,2677057.540000000037253,3327953.870000000111759,11556810.660000000149012
FS( 80 ),2768660.000000000000000,2811504.200000000186265,2679706.779999999795109,3271479.549999999813735,11531350.530000001192093
FS( 81 ),2971114.500000000000000,2807979.399999999906868,2685005.260000000242144,3352157.150000000372529,11816256.310000000521541
FS( 82 ),3001338.750000000000000,2768325.399999999906868,2723419.240000000223517,3371318.080000000074506,11864401.470000000670552
FS( 83 ),2907307.750000000000000,2750701.399999999906868,2717679.219999999739230,3327953.870000000111759,11703642.240000000223517
FS( 84 ),2960080.250000000000000,2815029.000000000000000,2737106.979999999981374,3341063.980000000447035,11853280.210000000894070
FS( 85 ),2971594.250000000000000,2821197.400000000372529,2777287.120000000111759,3433843.219999999739230,12003921.989999998360872
FS( 86 ),2948566.250000000000000,2873188.199999999720603,2766248.620000000111759,3360224.910000000149012,11948227.980000000447035
FS( 87 ),2845899.750000000000000,2822519.200000000186265,2711056.120000000111759,3273496.490000000223517,11652971.560000000521541
FS( 88 ),2801762.750000000000000,2792117.799999999813735,2706640.719999999739230,3281564.250000000000000,11582085.519999999552965
FS( 89 ),2777295.500000000000000,2772290.800000000279397,2693836.060000000055879,3268454.139999999664724,11511876.500000000000000
FS( 90 ),2866049.250000000000000,2800929.800000000279397,2726951.560000000055879,3327953.870000000111759,11721884.480000000447035
FS( 91 ),2856454.250000000000000,2786830.600000000093132,2722977.700000000186265,3298708.240000000223517,11664970.789999999105930
FS( 92 ),2906828.000000000000000,2810623.000000000000000,2735782.359999999869615,3340055.509999999776483,11793288.869999999180436
FS( 93 ),2861731.500000000000000,2801811.000000000465661,2726951.560000000055879,3245259.330000000074506,11635753.390000000596046
FS( 94 ),2938971.250000000000000,2820316.200000000186265,2774196.339999999850988,3189793.479999999981374,11723277.269999999552965
FS( 95 ),2965837.250000000000000,2831331.200000000186265,2775079.419999999925494,3282572.719999999739230,11854820.589999999850988
FS( 96 ),3017170.500000000000000,2841024.400000000372529,2798922.580000000074506,3296691.299999999813735,11953808.780000001192093
FS( 97 ),3050753.000000000000000,2852480.000000000000000,2801571.820000000298023,3221056.050000000279397,11925860.870000001043081
FS( 98 ),3068983.500000000000000,2853801.799999999813735,2800247.200000000186265,3336021.629999999888241,12059054.129999998956919
FS( 99 ),3011413.500000000000000,2858207.800000000279397,2790974.859999999869615,3308792.940000000409782,11969389.100000001490116
FS( 100 ),3045475.750000000000000,2875391.200000000186265,2820999.580000000074506,3390479.009999999776483,12132345.540000000968575
FS( 101 ),3016211.000000000000000,2836618.399999999906868,2812610.320000000298023,3373335.020000000484288,12038774.740000002086163
FS( 102 ),3030123.750000000000000,2813266.600000000093132,2794065.640000000130385,3414682.290000000037253,12052138.280000001192093
FS( 103 ),3070422.750000000000000,2818994.399999999906868,2804221.060000000055879,3432834.750000000000000,12126472.960000000894070
FS( 104 ),3091531.750000000000000,2822959.799999999813735,2813051.859999999869615,3423758.520000000484288,12151301.929999999701977
FS( 105 ),3092011.500000000000000,2803573.400000000372529,2805987.219999999739230,3438885.570000000298023,12140457.690000001341105
FS( 106 ),3144784.000000000000000,2794761.399999999906868,2811285.700000000186265,3322911.520000000484288,12073742.620000001043081
