代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13874986.070000000298023
真實報酬,3874986.070000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,31097.134657833426900
風險,196362.723546664317837
起點值,0.158365773789257
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](26),HD[9](1),MCD[15](21),MRK[17](8),
Stock#,AAPL[0](26),HD[9](1),MCD[15](21),MRK[17](8),
張數,46720,79138,29063,79189,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,12.800000000279397,30.580000000074506,0.740000000223517,3.270000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485984.000000000465661,2569641.439999999944121,2513368.980000000447035,2482578.419999999925494,10051572.839999999850988
FS( 3 ),2524761.600000000093132,2598131.120000000111759,2494478.030000000260770,2491289.209999999962747,10108659.960000000894070
FS( 4 ),2518688.000000000000000,2641657.020000000484288,2531678.670000000391155,2488121.650000000372529,10180145.340000001713634
FS( 5 ),2468230.400000000372529,2684391.540000000037253,2534294.340000000316650,2503167.560000000055879,10190083.840000001713634
FS( 6 ),2594841.600000000093132,2742953.659999999683350,2572366.870000000577420,2561767.419999999925494,10471929.550000000745058
FS( 7 ),2671462.400000000372529,2746910.560000000055879,2596489.160000000149012,2528508.040000000037253,10543370.160000000149012
FS( 8 ),2684544.000000000465661,2747701.939999999944121,2568007.420000000391155,2579189.000000000000000,10579442.360000001266599
FS( 9 ),2726124.800000000279397,2723169.159999999683350,2595617.270000000484288,2589483.570000000298023,10634394.800000000745058
FS( 10 ),2816761.600000000093132,2773817.479999999981374,2613926.959999999962747,2611656.489999999757856,10816162.529999999329448
FS( 11 ),2803212.800000000279397,2742162.279999999795109,2576726.320000000298023,2558599.860000000335276,10680701.260000001639128
FS( 12 ),2818163.200000000186265,2845041.680000000167638,2605208.060000000055879,2596610.580000000074506,10865023.520000001415610
FS( 13 ),2660716.800000000279397,2801515.779999999795109,2604626.800000000279397,2576813.330000000074506,10643672.710000000894070
FS( 14 ),2638291.200000000186265,2827631.319999999832362,2586898.370000000577420,2597402.469999999739230,10650223.359999999403954
FS( 15 ),2621939.200000000186265,2917057.260000000242144,2683096.899999999906868,2640956.419999999925494,10863049.780000001192093
FS( 16 ),2708371.200000000186265,2904395.180000000167638,2674087.370000000577420,2655210.439999999944121,10942064.190000001341105
FS( 17 ),2654643.200000000186265,2852164.100000000093132,2667112.250000000000000,2606113.259999999776483,10780032.810000000521541
FS( 18 ),2673798.399999999906868,2892524.479999999981374,2667402.880000000353903,2656002.330000000074506,10889728.089999999850988
