代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11764834.320000000298023
真實報酬,1764834.320000000298023

夏普值報酬,0.167783432000000
夏普值風險,0.047197093202785
夏普值,3.554952659459567

預期報酬,28121.739317531304550
風險,89493.815985410590656
趨勢值,0.314231089689099
找到最佳解世代,1885
找到最佳解實驗#,4
找到最佳解次數,20

stock[index](rank)
投資組合檔數,2
AAPL[0](3),XOM[29](1),
Stock#,AAPL[0](3),XOM[29](1),
張數,73410,58112,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,44.900000000372529,43.519999999552965,
20131001,5117456.000000000000000,4997675.519999999552965,10115131.519999999552965
20131002,5134340.299999999813735,5002324.479999999515712,10136664.779999999329448
20131003,5069739.500000000931323,4968619.519999999552965,10038359.019999999552965
20131004,5065334.900000000372529,5016271.359999999403954,10081606.259999999776483
20131007,5115253.700000001117587,4991864.320000000298023,10107118.020000001415610
20131008,5044046.000000000000000,4969200.639999999664724,10013246.640000000596046
20131009,5102774.000000000931323,4948861.439999999478459,10051635.440000001341105
20131010,5135074.400000000372529,5000000.000000000000000,10135074.400000000372529
20131011,5168108.900000000372529,5052881.919999999925494,10220990.820000000298023
20131014,5201877.500000000000000,5090654.719999998807907,10292532.219999998807907
20131015,5229773.299999999813735,5043584.000000000000000,10273357.300000000745058
20131016,5255466.800000000745058,5073802.239999999292195,10329269.039999999105930
20131017,5290703.599999999627471,5083681.279999999329448,10374384.879999998956919
20131018,5336951.900000000372529,5087749.119999999180436,10424701.019999999552965
20131021,5467621.700000001117587,5069153.279999999329448,10536774.980000000447035
20131022,5452205.599999999627471,5112737.279999999329448,10564942.879999998956919
20131023,5505060.799999999813735,5091235.839999999850988,10596296.640000000596046
20131024,5578470.799999999813735,5138306.559999999590218,10716777.359999999403954
20131025,5516072.300000000745058,5112156.159999999217689,10628228.460000000894070
20131028,5557181.900000000372529,5127265.279999999329448,10684447.179999999701977
20131029,5418437.000000000931323,5167943.679999999701977,10586380.679999999701977
20131030,5505060.799999999813735,5160970.239999999292195,10666031.039999999105930
20131031,5481569.600000000558794,5208040.959999999962747,10689610.560000000521541
20131101,5453673.800000000745058,5219663.359999999403954,10673337.160000000149012
20131104,5524147.400000000372529,5352158.719999998807907,10876306.119999999180436
20131105,5510199.500000000931323,5345766.399999999441206,10855965.900000000372529
20131106,5463217.100000000558794,5417244.159999999217689,10880461.259999999776483
20131107,5374391.000000000000000,5344023.039999999105930,10718414.039999999105930
20131108,5459546.600000000558794,5388769.279999999329448,10848315.879999998956919
20131111,5443396.400000000372529,5402135.039999999105930,10845531.439999999478459
20131112,5453673.800000000745058,5385282.559999999590218,10838956.359999999403954
20131113,5460280.700000000186265,5380633.599999999627471,10840914.300000000745058
20131114,5538829.400000000372529,5417244.159999999217689,10956073.559999998658895
20131115,5505794.900000000372529,5536373.759999999776483,11042168.660000000149012
20131118,5438991.800000000745058,5546833.919999999925494,10985825.720000000670552
20131119,5448535.100000000558794,5545090.559999999590218,10993625.660000000149012
20131120,5400818.599999999627471,5502087.679999999701977,10902906.279999999329448
20131121,5465419.400000000372529,5502668.799999999813735,10968088.199999999254942
20131122,5451471.500000000931323,5521264.639999999664724,10972736.140000000596046
20131125,5492581.099999999627471,5525913.599999999627471,11018494.699999999254942
20131126,5593886.900000000372529,5478261.759999999776483,11072148.660000000149012
20131127,5725290.799999999813735,5450949.119999999180436,11176239.919999998062849
20131129,5831735.299999999813735,5432353.279999999329448,11264088.579999998211861
20131202,5781082.400000000372529,5434677.759999999776483,11215760.160000000149012
20131203,5938913.900000000372529,5485235.199999999254942,11424149.099999999627471
20131204,5924966.000000000000000,5501506.559999999590218,11426472.559999998658895
20131205,5955798.200000000186265,5470126.079999999143183,11425924.279999999329448
20131206,5872844.900000000372529,5558456.320000000298023,11431301.220000000670552
20131209,5940382.100000000558794,5569497.599999999627471,11509879.699999999254942
20131210,5930838.800000000745058,5561943.039999999105930,11492781.839999999850988
20131211,5886792.799999999813735,5477680.639999999664724,11364473.439999999478459
20131212,5878717.700000000186265,5541603.839999999850988,11420321.539999999105930
20131213,5814116.900000000372529,5538698.239999999292195,11352815.140000000596046
20131216,5846417.300000000745058,5649692.159999999217689,11496109.460000000894070
20131217,5819989.700000000186265,5622379.519999999552965,11442369.219999998807907
20131218,5775943.700000001117587,5784512.000000000000000,11560455.700000001117587
20131219,5709874.700000000186265,5778119.679999999701977,11487994.379999998956919
20131220,5757591.200000001117587,5734535.679999999701977,11492126.880000000819564
20131223,5978555.299999999813735,5724656.639999999664724,11703211.939999999478459
20131224,5953595.900000000372529,5765916.159999999217689,11719512.059999998658895
20131226,5913954.500000000931323,5863544.320000000298023,11777498.820000000298023
20131227,5873579.000000000931323,5898992.639999999664724,11772571.640000000596046
20131230,5815585.100000000558794,5829258.239999999292195,11644843.339999999850988
20131231,5883856.400000000372529,5880977.919999999925494,11764834.320000000298023
