代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11709618.439999999478459
真實報酬,1709618.439999999478459

夏普值報酬,0.162261844000000
夏普值風險,0.044516163979319
夏普值,3.645009576193132

預期報酬,29001.858441077816678
風險,134337.612127742613666
趨勢值,0.215887851374787
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](7),DD[7](1),NKE[19](11),
Stock#,AAPL[0](2),BA[2](7),DD[7](1),NKE[19](11),
張數,44130,24404,54573,78517,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,35.500000000000000,54.240000000223517,10.869999999646097,18.720000000204891,
20130701,2579875.299999999813735,2519523.200000000186265,2525649.309999999590218,2447393.610000000335276,10072441.419999999925494
20130702,2638126.899999999906868,2476328.120000000111759,2521283.469999999739230,2458385.990000000223517,10094124.480000000447035
20130703,2652689.799999999813735,2510981.800000000279397,2520192.009999999776483,2467808.030000000260770,10151671.640000000596046
20130705,2631507.399999999906868,2542951.040000000502914,2540384.019999999552965,2498429.660000000149012,10213272.120000001043081
20130708,2616503.200000000186265,2547099.720000000204891,2571490.629999999422580,2501570.340000000316650,10236663.889999998733401
20130709,2662839.700000000186265,2554664.960000000428408,2644072.719999999739230,2510207.209999999962747,10371784.589999999850988
20130710,2652248.500000000000000,2574676.240000000223517,2626063.629999999422580,2496859.320000000298023,10349847.689999999478459
20130711,2693730.700000000186265,2608353.760000000242144,2657715.969999999739230,2501570.340000000316650,10461370.770000001415610
20130712,2688876.399999999906868,2486089.720000000204891,2651712.939999999944121,2500000.000000000000000,10326679.060000000521541
20130715,2694613.300000000279397,2578580.880000000353903,2673542.139999999664724,2487437.280000000260770,10434173.600000001490116
20130716,2712265.299999999813735,2543683.160000000149012,2640252.609999999869615,2461526.670000000391155,10357727.740000000223517
20130717,2712706.600000000093132,2557349.400000000372529,2699191.449999999720603,2486652.110000000335276,10455899.559999998658895
20130718,2721973.899999999906868,2626656.760000000242144,2687731.119999999646097,2485866.940000000409782,10522228.719999998807907
20130719,2679167.799999999813735,2610306.080000000074506,2694279.879999999422580,2487437.280000000260770,10471191.039999999105930
