代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12074958.660000000149012
真實報酬,2074958.660000000149012

夏普值報酬,0.198795866000000
夏普值風險,0.052059368608913
夏普值,3.818637669108488

預期報酬,33866.444211075169733
風險,146202.770157404156635
趨勢值,0.231640236191243
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,4
AAPL[0](3),JNJ[12](18),MSFT[18](2),PFE[20](20),
Stock#,AAPL[0](3),JNJ[12](18),MSFT[18](2),PFE[20](20),
張數,166444,47528,136091,183553,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.120000000111759,27.199999999720603,8.330000000074506,8.140000000130385,
20090401,2584886.439999999944121,2520912.319999999832362,2627925.540000000037253,2567914.610000000335276,10301638.910000000149012
20090402,2679759.520000000484288,2517585.359999999869615,2625203.719999999739230,2527532.950000000186265,10350081.550000000745058
20090403,2757988.200000000186265,2478612.399999999441206,2551714.580000000074506,2487151.290000000037253,10275466.469999998807907
20090406,2816243.600000000558794,2480988.799999999813735,2553075.490000000223517,2516519.770000000484288,10366827.660000000149012
20090407,2734686.040000000037253,2441065.279999999795109,2553075.490000000223517,2479809.169999999925494,10208635.980000000447035
20090408,2766310.400000000372529,2445342.799999999813735,2611594.620000000111759,2474302.580000000074506,10297550.400000000372529
20090409,2842874.639999999664724,2443441.679999999701977,2676918.300000000279397,2487151.290000000037253,10450385.910000000149012
20090413,2857854.600000000558794,2431084.399999999441206,2666031.020000000018626,2474302.580000000074506,10429272.599999999627471
20090414,2812914.719999999739230,2441540.559999999590218,2633369.180000000167638,2448605.160000000149012,10336429.619999999180436
20090415,2797934.759999999776483,2460551.759999999776483,2562601.859999999869615,2544052.720000000204891,10365141.099999999627471
20090416,2887814.520000000484288,2480988.799999999813735,2689166.490000000223517,2551394.840000000316650,10609364.650000000372529
20090417,2934418.839999999850988,2521387.599999999627471,2612955.529999999795109,2599118.620000000111759,10667880.589999999850988
20090420,2864512.360000000335276,2493821.359999999869615,2532661.839999999850988,2494493.410000000149012,10385488.970000000670552
