代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11199598.859999999403954
真實報酬,1199598.859999999403954

夏普值報酬,0.111259886000000
夏普值風險,0.042691186891101
夏普值,2.606155839232310

預期報酬,27872.331440585057862
風險,341884.813111945753917
趨勢值,0.081525503244447
找到最佳解世代,1950
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](7),
Stock#,BA[2](3),CSCO[4](1),INTC[11](7),
張數,11302,87032,72212,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,260.179999999701977,7.400000000372529,27.080000000074506,
20180102,3355145.859999999403954,3382070.920000000391155,3383159.280000000260770,10120377.059999998658895
20180103,3365995.779999999795109,3409050.840000000316650,3268342.199999999720603,10043389.820000000298023
20180104,3353224.520000000018626,3393385.080000000540167,3208406.240000000223517,9955016.839999999850988
20180105,3490769.859999999403954,3440382.360000000335276,3230791.960000000428408,10161945.179999999701977
20180108,3505575.479999999515712,3476065.479999999981374,3230791.960000000428408,10212433.919999999925494
20180109,3599156.039999999571592,3454307.479999999981374,3149914.520000000018626,10203379.039999999105930
20180110,3619838.699999999720603,3473454.520000000018626,3069037.080000000074506,10162331.300000000745058
20180111,3708672.419999999925494,3489990.600000000558794,3134750.000000000000000,10333414.019999999552965
20180112,3800105.599999999627471,3557005.240000000223517,3122473.960000000428408,10479585.800000000745058
20180116,3788238.500000000000000,3528284.680000000167638,3115252.760000000242144,10431776.939999999478459
20180117,3967375.199999999720603,3585725.800000000745058,3205517.760000000242144,10758619.759999999776483
20180118,3844748.500000000000000,3594429.000000000000000,3212016.839999999850988,10651195.339999999850988
20180119,3817284.640000000130385,3593558.680000000167638,3236568.919999999925494,10647413.240000000223517
20180122,3820336.179999999701977,3625760.520000000018626,3303726.080000000074506,10749823.779999999329448
20180123,3793098.359999999403954,3664054.600000000558794,3326111.800000000279397,10783265.759999999776483
20180124,3782926.559999999590218,3670146.840000000316650,3286395.199999999720603,10739469.599999999627471
20180125,3878089.399999999906868,3646648.200000000186265,3271230.679999999701977,10795969.279999999329448
20180126,3879332.620000000111759,3704089.320000000763685,3616404.040000000037253,11199826.980000000447035
20180129,3852207.819999999832362,3729328.600000000558794,3609182.839999999850988,11190720.259999999776483
20180130,3817058.599999999627471,3677109.400000000372529,3523250.560000000055879,11017419.560000000521541
20180131,4005349.919999999925494,3615316.680000000167638,3476312.760000000242144,11096980.359999999403954
20180201,4034396.059999999590218,3629241.800000000745058,3440928.879999999888241,11104567.740000000223517
20180202,3943641.000000000000000,3562227.160000000149012,3332610.879999999888241,10838480.039999999105930
20180205,3717261.939999999478459,3375108.360000000335276,3214905.320000000298023,10307276.620000001043081
20180206,3853225.000000000000000,3496082.840000000316650,3243068.000000000000000,10592376.839999999850988
20180207,3934712.419999999925494,3510878.280000000726432,3264009.480000000447035,10709601.180000001564622
20180208,3726077.500000000000000,3374238.040000000502914,3087090.080000000074506,10187406.620000001043081
20180209,3761904.839999999385327,3440382.360000000335276,3173744.480000000447035,10376032.679999999701977
20180212,3885887.779999999795109,3533506.600000000558794,3237291.040000000037253,10656686.420000001788139
20180213,3878654.500000000000000,3588336.760000000242144,3210572.600000000093132,10677564.859999999403954
20180214,3897754.879999999888241,3663184.280000000726432,3277007.640000000130385,10837947.800000000745058
20180215,4028971.099999999627471,3836377.960000000428408,3316002.120000000111759,11181352.179999999701977
20180216,4012922.259999999776483,3858135.960000000428408,3290005.800000000279397,11161065.020000001415610
20180220,3993821.879999999888241,3834637.320000000763685,3344886.919999999925494,11173347.120000001043081
20180221,3982745.919999999925494,3769363.320000000763685,3317446.359999999869615,11069556.599999999627471
20180222,4022868.020000000018626,3737161.479999999981374,3307336.679999999701977,11067367.179999999701977
20180223,4031231.500000000000000,3829415.400000000372529,3446705.839999999850988,11307353.740000000223517
20180226,4108311.140000000130385,3947778.920000000391155,3546358.399999999906868,11602449.460000000894070
20180227,4121421.459999999497086,3919928.680000000167638,3604128.000000000000000,11645479.140000000596046
20180228,4093957.599999999627471,3897300.360000000335276,3559356.560000000055879,11550615.519999999552965
20180301,3952456.559999999590218,3812009.000000000000000,3454649.160000000149012,11219115.719999998807907
20180302,3895720.520000000018626,3834637.320000000763685,3536970.839999999850988,11267329.679999999701977
20180305,3987040.679999999701977,3874672.040000000502914,3592574.080000000074506,11454287.800000000745058
20180306,3943754.020000000018626,3854654.680000000167638,3661897.600000000093132,11460307.300000000745058
20180307,3922506.259999999776483,3846821.800000000745058,3705946.919999999925494,11475275.980000000447035
20180308,3941606.640000000130385,3859006.280000000726432,3664063.960000000428408,11464677.880000000819564
20180309,4007045.219999999273568,3948649.240000000223517,3768771.359999999869615,11724466.819999998435378
20180312,3890295.559999999590218,3964315.000000000000000,3720389.320000000298023,11575000.879999998956919
20180313,3827908.520000000018626,3930372.520000000018626,3739164.439999999944121,11497446.480000000447035
20180314,3732858.699999999720603,3940816.360000000335276,3744941.399999999906868,11418617.460000000894070
20180315,3729694.140000000130385,3945167.960000000428408,3674173.640000000130385,11349036.740000000223517
20180316,3735232.120000000111759,3917317.720000000204891,3695115.120000000111759,11347665.960000000894070
20180319,3749811.699999999720603,3852914.040000000502914,3670563.040000000037253,11273289.780000001192093
20180320,3816154.439999999478459,3861617.240000000223517,3722555.679999999701977,11400328.359999999403954
20180321,3810164.379999999888241,3856395.320000000763685,3723277.800000000279397,11389838.500000001862645
20180322,3612492.399999999906868,3748475.640000000596046,3670563.040000000037253,11031532.080000001937151
20180323,3628202.179999999701977,3691904.840000000316650,3564411.399999999906868,10884519.419999999925494
20180326,3718279.120000000111759,3834637.320000000763685,3789712.839999999850988,11342630.280000001192093
20180327,3629558.419999999925494,3714533.160000000149012,3696559.359999999869615,11040651.939999999478459
20180328,3617126.219999999273568,3625760.520000000018626,3581742.280000000260770,10824630.019999999552965
20180329,3705959.939999999478459,3732809.880000000353903,3760828.040000000037253,11199598.859999999403954
