代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12288487.509999999776483
真實報酬,2288487.509999999776483

夏普值報酬,0.220148751000000
夏普值風險,0.067565632764616
夏普值,3.258294816344715

預期報酬,36099.590137969571515
風險,174067.106192799139535
趨勢值,0.207388925613465
找到最佳解世代,1950
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),WBA[27](1),
Stock#,UNH[23](2),WBA[27](1),
張數,57971,84359,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.250000000000000,42.069999999366701,
20141001,4920579.729999999515712,4980597.429999999701977,9901177.160000000149012
20141002,4921739.150000000372529,5041335.909999999217689,9963075.059999998658895
20141003,4986666.669999999925494,5126538.500000000000000,10113205.169999999925494
20141006,4932753.640000000596046,5116415.419999998994172,10049169.059999998658895
20141007,4880579.740000000223517,5048084.629999999888241,9928664.370000001043081
20141008,5021449.270000000484288,5184746.209999999031425,10206195.480000000447035
20141009,4924057.990000000223517,5192338.519999999552965,10116396.509999999776483
20141010,4950144.940000000409782,5313815.479999999515712,10263960.419999999925494
20141013,4866666.700000000186265,5119789.779999999329448,9986456.480000000447035
20141014,4801159.469999999739230,5119789.779999999329448,9920949.250000000000000
20141015,4762898.609999999403954,5141723.119999999180436,9904621.729999998584390
20141016,4950144.940000000409782,5094482.079999999143183,10044627.019999999552965
20141017,5111884.030000000260770,5084359.000000000000000,10196243.030000001192093
20141020,5132753.590000000782311,5078453.869999999180436,10211207.460000000894070
20141021,5272463.700000000186265,5192338.519999999552965,10464802.219999998807907
20141022,5204057.919999999925494,5188120.569999999366701,10392178.489999998360872
20141023,5255652.109999999403954,5236205.199999999254942,10491857.309999998658895
20141024,5312463.690000000409782,5285133.419999998994172,10597597.109999999403954
20141027,5340869.479999999515712,5323938.559999999590218,10664808.039999999105930
20141028,5370434.690000000409782,5373710.369999999180436,10744145.059999998658895
20141029,5388985.409999999217689,5300318.039999999105930,10689303.449999999254942
20141030,5442318.729999999515712,5311284.709999999031425,10753603.439999997615814
20141031,5507825.959999999962747,5417577.049999998882413,10925403.009999997913837
20141103,5499130.309999999590218,5481689.889999999664724,10980820.199999999254942
20141104,5506086.830000000074506,5503623.229999998584390,11009710.059999998658895
20141105,5553623.049999999813735,5539054.009999998845160,11092677.059999998658895
20141106,5577391.159999999217689,5622569.419999999925494,11199960.579999998211861
20141107,5426666.559999999590218,5645346.349999999627471,11072012.910000000149012
20141110,5492753.500000000000000,5717895.089999999850988,11210648.589999999850988
20141111,5547246.240000000223517,5694274.569999999366701,11241520.809999998658895
20141112,5546666.530000000260770,5689213.029999999329448,11235879.559999998658895
20141113,5559420.150000000372529,5648720.709999999031425,11208140.859999999403954
20141114,5513623.059999999590218,5646189.939999999478459,11159813.000000000000000
20141117,5592463.620000000111759,5614133.519999999552965,11206597.140000000596046
20141118,5692173.740000000223517,5741515.609999999403954,11433689.349999999627471
20141119,5615072.309999999590218,5718738.679999999701977,11333810.989999998360872
20141120,5614492.599999999627471,5680777.129999999888241,11295269.730000000447035
20141121,5606376.659999999217689,5701866.879999999888241,11308243.539999999105930
20141124,5617391.150000000372529,5713677.139999999664724,11331068.289999999105930
20141125,5675362.150000000372529,5720425.859999999403954,11395788.009999999776483
20141126,5687536.059999999590218,5776102.799999998882413,11463638.859999999403954
20141128,5717680.979999999515712,5787913.059999999590218,11505594.039999999105930
20141201,5742608.509999999776483,5717051.499999999068677,11459660.009999997913837
20141202,5787246.179999999701977,5631005.319999999366701,11418251.500000000000000
20141203,5843478.049999999813735,5684151.489999999292195,11527629.539999999105930
20141204,5777970.820000000298023,5728018.169999999925494,11505988.990000000223517
20141205,5816231.679999999701977,5787069.469999998807907,11603301.149999998509884
20141208,5792463.570000000298023,5713677.139999999664724,11506140.710000000894070
20141209,5856231.669999999925494,5786225.879999999888241,11642457.550000000745058
20141210,5744347.640000000596046,5749107.919999999925494,11493455.560000000521541
20141211,5781449.080000000074506,6159092.660000000149012,11940541.740000000223517
20141212,5725217.209999999962747,6284787.569999999366701,12010004.779999999329448
20141215,5696811.419999999925494,6195367.029999999329448,11892178.449999999254942
20141216,5556521.599999999627471,6106790.079999999143183,11663311.679999999701977
20141217,5747246.190000000409782,6073046.479999998584390,11820292.669999998062849
20141218,5926956.290000000037253,6274664.489999999292195,12201620.779999999329448
20141219,5941449.040000000037253,6177651.639999999664724,12119100.679999999701977
20141222,5973333.090000000782311,6265384.999999999068677,12238718.089999999850988
20141223,5962318.599999999627471,6454349.160000000149012,12416667.759999999776483
20141224,5952463.530000000260770,6467846.599999999627471,12420310.129999998956919
20141226,5944927.299999999813735,6450131.209999999031425,12395058.509999997913837
20141229,5932173.679999999701977,6477969.679999999701977,12410143.359999999403954
20141230,5962318.599999999627471,6415544.019999999552965,12377862.619999999180436
20141231,5860289.640000000596046,6428197.869999999180436,12288487.509999999776483
