代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13238796.439999999478459
真實報酬,3238796.439999999478459

夏普值報酬,0.315179644000000
夏普值風險,0.089691251994061
夏普值,3.514051114158477

預期報酬,12409.669766790959329
風險,306392.864632142474875
趨勢值,0.040502476393143
找到最佳解世代,1941
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MCD[15](9),VZ[26](12),WMT[28](3),
Stock#,AAPL[0](2),MCD[15](9),VZ[26](12),WMT[28](3),
張數,52137,29648,67150,47045,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.849999999627471,80.640000000130385,5.500000000000000,28.700000000186265,
20110701,2556829.329999999608845,2539431.840000000316650,2538275.500000000000000,2517406.649999999906868,10151943.320000000298023
20110705,2602709.889999999664724,2539135.360000000335276,2539618.500000000000000,2511761.250000000000000,10193225.000000000000000
20110706,2619915.099999999627471,2545657.919999999925494,2520816.500000000000000,2527286.100000000093132,10213675.619999999180436
20110707,2660581.959999999497086,2551587.520000000018626,2512758.500000000000000,2563510.750000000465661,10288438.730000000447035
20110708,2679351.279999999795109,2537949.439999999944121,2516787.500000000000000,2544222.300000000279397,10278310.519999999552965
20110711,2636598.939999999478459,2530537.439999999944121,2492613.500000000000000,2534342.850000000093132,10194092.729999998584390
20110712,2635034.829999999608845,2519864.160000000149012,2490599.000000000000000,2537636.000000000000000,10183133.990000000223517
20110713,2666838.399999999441206,2518974.719999999739230,2480526.500000000000000,2541399.600000000558794,10207739.219999998807907
20110714,2664752.919999999459833,2544175.520000000018626,2476497.500000000000000,2523052.050000000279397,10208477.990000000223517
20110715,2717932.659999999683350,2534391.680000000167638,2472468.500000000000000,2523052.050000000279397,10247844.890000000596046
20110718,2784146.649999999441206,2532019.840000000316650,2465082.000000000000000,2508468.100000000093132,10289716.589999999850988
20110719,2807086.929999999701977,2556034.719999999739230,2482541.000000000000000,2539047.350000000093132,10384710.000000000000000
20110720,2881642.839999999850988,2557813.600000000093132,2506715.000000000000000,2535283.750000000000000,10481455.189999999478459
20110721,2884771.059999999590218,2565818.560000000521541,2522831.000000000000000,2562569.850000000093132,10535990.470000000670552
20110722,2929608.879999999422580,2625707.520000000018626,2467096.500000000000000,2564922.100000000558794,10587335.000000000000000
20110725,2968190.259999999776483,2612662.400000000372529,2432178.500000000000000,2539047.350000000093132,10552078.509999999776483
20110726,3004686.159999999683350,2609697.600000000093132,2436207.500000000000000,2521170.250000000465661,10571761.509999999776483
20110727,2923873.809999999590218,2582124.960000000428408,2431507.000000000000000,2505174.950000000186265,10442680.719999998807907
20110728,2918138.739999999757856,2572934.080000000074506,2394574.500000000000000,2492943.250000000465661,10378590.570000000298023
20110729,2908232.709999999497086,2564039.680000000167638,2369729.000000000000000,2479770.650000000372529,10321772.039999999105930
20110801,2955156.009999999776483,2561371.360000000335276,2408676.000000000000000,2475536.600000000093132,10400739.970000000670552
20110802,2896762.569999999832362,2521939.520000000018626,2383159.000000000000000,2431314.300000000279397,10233175.390000000596046
20110803,2923873.809999999590218,2536170.560000000521541,2415391.000000000000000,2412496.300000000279397,10287931.669999999925494
20110804,2810736.519999999552965,2498814.080000000074506,2344883.500000000000000,2356983.200000000186265,10011417.300000000745058
20110805,2782582.539999999571592,2522532.479999999981374,2353613.000000000000000,2392266.950000000186265,10050994.969999998807907
20110808,2630863.869999999646097,2434477.919999999925494,2224013.500000000000000,2301470.100000000093132,9590825.389999998733401
20110809,2785710.759999999776483,2548622.719999999739230,2302579.000000000000000,2390855.600000000093132,10027768.080000000074506
20110810,2709069.369999999646097,2492884.479999999981374,2260274.500000000000000,2277477.149999999906868,9739705.500000000000000
20110811,2783625.279999999795109,2558110.080000000074506,2324738.500000000000000,2339576.549999999813735,10006050.410000000149012
20110812,2808129.669999999459833,2564632.640000000130385,2303250.500000000000000,2340517.450000000186265,10016530.259999999776483
20110815,2855574.339999999850988,2574120.000000000000000,2353613.000000000000000,2351337.799999999813735,10134645.140000000596046
20110816,2833676.799999999813735,2569672.800000000279397,2342197.500000000000000,2442605.100000000093132,10188152.199999999254942
20110817,2833676.799999999813735,2594280.640000000130385,2391217.000000000000000,2425198.450000000186265,10244372.890000000596046
20110818,2726274.579999999608845,2538245.919999999925494,2354956.000000000000000,2436489.250000000000000,10055965.750000000000000
20110819,2651718.669999999459833,2586275.680000000167638,2330782.000000000000000,2460482.200000000186265,10029258.550000000745058
20110822,2654846.889999999664724,2601989.120000000111759,2338168.500000000000000,2455307.250000000000000,10050311.759999999776483
20110823,2782582.539999999571592,2654466.080000000074506,2414719.500000000000000,2503293.150000000372529,10355061.269999999552965
20110824,2801873.229999999515712,2672254.879999999888241,2448966.000000000000000,2510820.350000000093132,10433914.459999999031425
20110825,2783625.279999999795109,2630154.719999999739230,2401961.000000000000000,2479300.200000000186265,10295041.199999999254942
20110826,2857138.449999999254942,2666325.280000000260770,2401289.500000000000000,2488709.200000000186265,10413462.429999999701977
20110829,2904583.119999999646097,2691822.560000000521541,2426806.500000000000000,2502352.250000000000000,10525564.429999999701977
20110830,2904583.119999999646097,2691526.080000000074506,2438222.000000000000000,2484945.600000000093132,10519276.799999998882413
20110831,2866523.109999999403954,2680556.319999999832362,2428821.000000000000000,2502352.250000000000000,10478252.679999999701977
