代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15268946.900000000372529
真實報酬,5268946.900000000372529

夏普值報酬,0.518194690000000
夏普值風險,0.113044128128142
夏普值,4.584003597361527

預期報酬,21217.307922191757825
風險,363706.245475582953077
趨勢值,0.058336385987675
找到最佳解世代,2941
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,183587,
分配資金,10000000.000000000000000,
剩餘資金,16.109999999403954,
20181210,14213321.650000000372529,14213321.650000000372529
20181211,14156409.679999999701977,14156409.679999999701977
20181212,14321637.980000000447035,14321637.980000000447035
20181213,14505224.980000000447035,14505224.980000000447035
20181214,14040749.870000001043081,14040749.870000001043081
20181217,13811266.120000001043081,13811266.120000001043081
20181218,13646037.819999998435378,13646037.819999998435378
20181219,13543229.099999997764826,13543229.099999997764826
20181220,13491824.739999998360872,13491824.739999998360872
20181221,13383508.410000000149012,13383508.410000000149012
20181224,13062231.160000000149012,13062231.160000000149012
20181226,13585454.109999999403954,13585454.109999999403954
20181227,13838804.169999998062849,13838804.169999998062849
20181228,13836968.300000000745058,13836968.300000000745058
20181231,14027898.779999999329448,14027898.779999999329448
20190102,13877357.439999999478459,13877357.439999999478459
20190103,13592797.589999999850988,13592797.589999999850988
20190104,14002196.599999997764826,14002196.599999997764826
20190107,13847983.520000001415610,13847983.520000001415610
20190108,13950792.239999998360872,13950792.239999998360872
20190109,13844311.779999999329448,13844311.779999999329448
20190110,13673575.870000001043081,13673575.870000001043081
20190111,13750682.410000000149012,13750682.410000000149012
20190114,13469794.300000000745058,13469794.300000000745058
20190115,13677247.609999999403954,13677247.609999999403954
20190116,13697442.179999999701977,13697442.179999999701977
20190117,13879193.309999998658895,13879193.309999998658895
20190118,13928761.800000000745058,13928761.800000000745058
20190122,13921418.319999998435378,13921418.319999998435378
20190123,13849819.389999998733401,13849819.389999998733401
20190124,13433076.900000000372529,13433076.900000000372529
20190125,13392687.759999999776483,13392687.759999999776483
20190128,13387180.150000000372529,13387180.150000000372529
20190129,13444092.120000001043081,13444092.120000001043081
20190130,13469794.300000000745058,13469794.300000000745058
20190131,13664396.520000001415610,13664396.520000001415610
20190201,14035242.259999999776483,14035242.259999999776483
20190204,14112348.800000000745058,14112348.800000000745058
20190205,14163753.160000000149012,14163753.160000000149012
20190206,14207814.039999999105930,14207814.039999999105930
20190207,14103169.449999997392297,14103169.449999997392297
20190208,14231680.349999997764826,14231680.349999997764826
20190211,14082974.879999998956919,14082974.879999998956919
