代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13953124.030000001192093
真實報酬,3953124.030000001192093

夏普值報酬,0.386612403000000
夏普值風險,0.095705343230469
夏普值,4.039611477793841

預期報酬,16532.518237969601614
風險,195805.573935641063144
趨勢值,0.084433338161270
找到最佳解世代,1644
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](5),DD[7](1),MRK[17](14),UNH[23](9),V[25](6),
Stock#,BA[2](5),DD[7](1),MRK[17](14),UNH[23](9),V[25](6),
張數,23296,44111,45248,34958,47103,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,38.400000000139698,7.259999999776483,38.399999999906868,52.820000000065193,6.619999999878928,
20130401,1986022.400000000139698,1970445.629999999888241,2006787.199999999953434,2061526.080000000074506,1970796.140000000130385,9995577.450000001117587
20130402,1958999.040000000270084,1944420.139999999664724,2032126.079999999841675,2158359.740000000223517,1977861.590000000083819,10071766.589999999850988
20130403,1965288.960000000195578,1947507.909999999683350,2052487.679999999934807,2155912.679999999701977,1940179.189999999711290,10061376.419999999925494
20130404,1979033.600000000093132,1974415.619999999646097,2050677.760000000009313,2168497.560000000521541,1960433.479999999748543,10133058.019999999552965
20130405,2007454.720000000204891,1940891.259999999776483,2042080.640000000130385,2170944.620000000111759,1944889.489999999757856,10106260.730000000447035
20130408,2020966.400000000139698,1927216.849999999627471,2057917.439999999711290,2163603.440000000409782,1958078.329999999841675,10127782.459999999031425
20130409,2031682.560000000055879,1974856.729999999981374,2059274.879999999888241,2173741.259999999776483,1940179.189999999711290,10179734.619999999180436
20130410,2045893.119999999878928,1999558.889999999664724,2119454.720000000204891,2181781.599999999627471,1966556.869999999878928,10313245.199999999254942
20130411,2062433.280000000260770,2001323.329999999608845,2136196.479999999981374,2201707.660000000149012,1974093.349999999627471,10375754.099999999627471
20130412,2070819.840000000083819,1994265.569999999832362,2131671.679999999701977,2203455.560000000521541,1951954.939999999711290,10352167.589999999850988
20130415,2021432.320000000065193,1895898.039999999571592,2102260.479999999981374,2153116.040000000037253,1899199.579999999841675,10071906.459999999031425
20130416,2024227.840000000083819,1901632.469999999739230,2124884.479999999981374,2195764.799999999813735,1939708.159999999916181,10186217.749999998137355
20130417,2019568.640000000130385,1903396.909999999683350,2115834.879999999888241,2168497.560000000521541,1910504.300000000046566,10117802.290000000968575
20130418,2006289.920000000158325,1895898.039999999571592,2106785.279999999795109,2086695.840000000083819,1900612.669999999925494,9996281.750000000000000
20130419,2049154.560000000055879,1919276.869999999646097,2148865.919999999925494,2098931.139999999664724,1930758.590000000083819,10146987.080000000074506
20130422,2025392.640000000130385,1946625.689999999944121,2168322.560000000055879,2070265.580000000074506,1925577.260000000009313,10136183.730000000447035
20130423,2054279.680000000400469,1988972.250000000000000,2200448.640000000130385,2046494.140000000130385,1951012.879999999888241,10241207.589999999850988
20130424,2116014.080000000074506,2020732.169999999925494,2169680.000000000000000,2055233.640000000130385,1967498.929999999934807,10329158.820000000298023
20130425,2135582.719999999739230,2134097.439999999944121,2142531.200000000186265,2074460.540000000270084,1987282.189999999711290,10473954.089999999850988
20130426,2163072.000000000000000,2099249.750000000000000,2166060.159999999683350,2079354.659999999916181,1969383.050000000046566,10477119.620000001043081
20130429,2140940.799999999813735,2127480.789999999571592,2163797.759999999776483,2097882.400000000372529,1977390.559999999823049,10507492.310000000521541
20130430,2129525.759999999776483,2130127.449999999720603,2126694.399999999906868,2095085.760000000009313,1983984.979999999748543,10465418.349999999627471
20130501,2124167.680000000633299,2082487.569999999832362,2067419.519999999785796,2087744.580000000074506,1955252.149999999674037,10317071.500000000000000
20130502,2148162.559999999590218,2080723.129999999888241,2069229.439999999711290,2079354.659999999916181,2065473.169999999925494,10442942.959999999031425
20130503,2183805.440000000409782,2133215.219999999739230,2066514.560000000055879,2059778.180000000167638,2114460.290000000037253,10557773.690000001341105
20130506,2194288.639999999664724,2136302.989999999757856,2035293.439999999711290,2104524.419999999925494,2106452.780000000260770,10576862.269999999552965
20130507,2208266.240000000223517,2169827.349999999627471,2048415.360000000102445,2115011.820000000298023,2117286.469999999739230,10658807.239999998360872
20130508,2190794.240000000223517,2168062.909999999683350,2035745.919999999925494,2185277.400000000372529,2111163.080000000074506,10691043.550000000745058
20130509,2204072.959999999962747,2193647.289999999571592,2058369.919999999925494,2167798.400000000372529,2103155.569999999366701,10727044.140000000596046
20130510,2195453.440000000409782,2164534.029999999795109,2079184.000000000000000,2199260.599999999627471,2105039.689999999478459,10743471.759999999776483
20130513,2207567.360000000335276,2157917.379999999888241,2089138.560000000055879,2181082.440000000409782,2106923.809999999590218,10742629.550000000745058
20130514,2239016.959999999962747,2194088.399999999906868,2110857.599999999627471,2158010.160000000149012,2123409.859999999403954,10825382.979999998584390
20130515,2260216.320000000298023,2220113.889999999664724,2114477.439999999944121,2153815.200000000186265,2140366.939999999478459,10888989.790000000968575
20130516,2249966.080000000074506,2205116.149999999906868,2098188.159999999683350,2172342.940000000409782,2117286.469999999739230,10842899.800000000745058
20130517,2304478.719999999739230,2250109.369999999646097,2080993.919999999925494,2196813.540000000037253,2173339.040000000037253,11005734.589999999850988
20130520,2299819.520000000484288,2236876.069999999832362,2045700.479999999981374,2187025.299999999813735,2138482.819999999366701,10907904.190000001341105
20130521,2300518.400000000372529,2247462.709999999962747,2141626.239999999757856,2197862.280000000260770,2138011.790000000037253,11025481.419999998062849
20130522,2281415.680000000633299,2205998.369999999646097,2113572.479999999981374,2177237.060000000521541,2121525.740000000223517,10899749.330000001937151
20130523,2323814.400000000372529,2205116.149999999906868,2141626.239999999757856,2180033.700000000186265,2097503.209999999962747,10948093.700000002980232
20130524,2329638.400000000372529,2203792.819999999832362,2133934.079999999608845,2169546.299999999813735,2124822.950000000186265,10961734.550000000745058
20130528,2332200.959999999962747,2201146.159999999683350,2154748.159999999683350,2214292.540000000037253,2120112.649999999441206,11022500.469999998807907
20130529,2308439.040000000037253,2194970.619999999646097,2120812.159999999683350,2214642.120000000111759,2097974.240000000223517,10936838.180000001564622
20130530,2342218.240000000223517,2186148.419999999925494,2129861.759999999776483,2260437.099999999627471,2131888.399999999441206,11050553.919999998062849
20130531,2306808.320000000298023,2164534.029999999795109,2113120.000000000000000,2189472.360000000335276,2097974.240000000223517,10871908.950000001117587
20130603,2346877.440000000409782,2157035.159999999683350,2192304.000000000000000,2195415.219999999739230,2121996.769999999552965,11013628.589999999850988
20130604,2320552.959999999962747,2174679.559999999590218,2237099.520000000018626,2180033.700000000186265,2121996.769999999552965,11034362.509999997913837
20130605,2294461.440000000409782,2114247.489999999757856,2204973.439999999944121,2158709.320000000298023,2087140.550000000046566,10859532.240000000223517
20130606,2324047.360000000335276,2128804.119999999646097,2199091.200000000186265,2164652.179999999701977,2112105.139999999664724,10928700.000000000000000
20130607,2387645.440000000409782,2157917.379999999888241,2180539.520000000018626,2187374.879999999888241,2119170.589999999850988,11032647.809999998658895
20130610,2381821.440000000409782,2156594.049999999813735,2192756.479999999981374,2226178.259999999776483,2146961.359999999403954,11104311.589999999850988
20130611,2370406.400000000372529,2135861.879999999888241,2152033.279999999795109,2234917.759999999776483,2115873.379999999888241,11009092.699999999254942
20130612,2350138.879999999888241,2122628.579999999608845,2138006.399999999906868,2231421.959999999962747,2109749.990000000223517,10951945.810000000521541
20130613,2379957.759999999776483,2176444.000000000000000,2167417.599999999627471,2242608.520000000484288,2146019.299999999813735,11112447.179999999701977
20130614,2372270.080000000074506,2136302.989999999757856,2169680.000000000000000,2230373.219999999739230,2130475.309999999590218,11039101.599999997764826
20130617,2400225.280000000260770,2144684.079999999608845,2162892.799999999813735,2250299.280000000260770,2147432.389999999664724,11105533.829999998211861
20130618,2424686.080000000074506,2174679.559999999590218,2160630.399999999906868,2296094.260000000707805,2166744.620000000111759,11222834.920000001788139
20130619,2382054.400000000372529,2142037.419999999925494,2152938.239999999757856,2281411.900000000372529,2150729.599999999627471,11109171.560000000521541
20130620,2321251.839999999850988,2085134.229999999981374,2095473.280000000027940,2230373.219999999739230,2101742.479999999515712,10833975.050000000745058
20130621,2329172.480000000447035,2049845.429999999701977,2126694.399999999906868,2233869.019999999552965,2113989.259999999776483,10853570.589999999850988
20130624,2279552.000000000000000,2032201.029999999795109,2099998.079999999608845,2260087.520000000484288,2099387.330000000074506,10771225.959999999031425
20130625,2298654.719999999739230,2041464.339999999850988,2091853.439999999711290,2227926.160000000149012,2125293.979999999515712,10785192.640000000596046
20130626,2347110.400000000372529,2022937.719999999739230,2112667.520000000018626,2264632.060000000521541,2150729.599999999627471,10898077.300000000745058
20130627,2403020.799999999813735,2032201.029999999795109,2139363.839999999850988,2310427.040000000037253,2170041.830000000074506,11055054.540000000968575
