代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13675685.699999999254942
真實報酬,3675685.699999999254942

夏普值報酬,0.358868570000000
夏普值風險,0.094007104358466
夏普值,3.817462227445795

預期報酬,15998.449903643428115
風險,176000.654959450534079
趨勢值,0.090899945271961
找到最佳解世代,2786
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](5),V[25](1),
Stock#,PG[21](5),V[25](1),
張數,81632,161759,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,40.000000000000000,29.309999999590218,
20120702,4995102.080000000074506,5121319.250000000000000,10116421.330000000074506
20120703,5008979.519999999552965,5109996.119999999180436,10118975.639999998733401
20120705,5008163.200000000186265,5135877.559999999590218,10144040.759999999776483
20120706,5002448.959999999962747,5066321.189999999478459,10068770.149999998509884
20120709,5024489.599999999627471,5000000.000000000000000,10024489.599999999627471
20120710,5039183.359999999403954,4945001.939999999478459,9984185.299999998882413
20120711,5012244.799999999813735,4883533.519999999552965,9895778.320000000298023
20120712,5199998.400000000372529,4959560.250000000000000,10159558.650000000372529
20120713,5313466.879999999888241,5017793.489999999292195,10331260.369999999180436
20120716,5290609.919999999925494,5142347.919999998994172,10432957.839999999850988
20120717,5334691.199999999254942,5186022.849999999627471,10520714.049999998882413
20120718,5291426.239999999292195,5169846.950000000186265,10461273.189999999478459
20120719,5299589.440000000409782,5071173.959999999962747,10370763.400000000372529
20120720,5284079.360000000335276,5085732.269999999552965,10369811.629999998956919
20120723,5256324.480000000447035,5033969.389999999664724,10290293.870000001043081
20120724,5226120.639999999664724,4959560.250000000000000,10185680.890000000596046
20120725,5226120.639999999664724,4941766.759999999776483,10167887.399999998509884
20120726,5270201.919999999925494,5126172.019999999552965,10396373.939999999478459
20120727,5313466.879999999888241,5221609.830000000074506,10535076.710000000894070
20120730,5314283.199999999254942,5291166.200000000186265,10605449.399999998509884
20120731,5268569.280000000260770,5219992.240000000223517,10488561.519999999552965
20120801,5225304.320000000298023,5155288.639999999664724,10380592.960000000894070
20120802,5184488.320000000298023,5228080.189999999478459,10412568.509999999776483
20120803,5346936.000000000000000,5296018.969999999739230,10642954.969999998807907
20120806,5372241.919999999925494,5299254.149999999441206,10671496.070000000298023
20120807,5405711.040000000037253,5273372.709999999962747,10679083.750000000000000
20120808,5446527.040000000037253,5304106.919999998994172,10750633.959999999031425
20120809,5447343.360000000335276,5197345.980000000447035,10644689.339999999850988
20120810,5450608.639999999664724,5219992.240000000223517,10670600.879999998956919
20120813,5426935.360000000335276,5189258.029999999329448,10616193.390000000596046
20120814,5447343.360000000335276,5252344.039999999105930,10699687.399999998509884
20120815,5439996.480000000447035,5219992.240000000223517,10659988.720000000670552
20120816,5469384.000000000000000,5244256.089999999850988,10713640.089999999850988
20120817,5469384.000000000000000,5203816.339999999850988,10673200.339999999850988
20120820,5448976.000000000000000,5182787.669999998994172,10631763.669999998062849
20120821,5450608.639999999664724,5156906.229999999515712,10607514.869999999180436
20120822,5457139.199999999254942,5181170.080000000074506,10638309.279999999329448
20120823,5443261.760000000707805,5142347.919999998994172,10585609.679999999701977
20120824,5471016.639999999664724,5122936.839999999850988,10593953.480000000447035
20120827,5478363.519999999552965,5163376.589999999850988,10641740.109999999403954
20120828,5468567.679999999701977,5152053.459999999962747,10620621.140000000596046
20120829,5458771.840000000782311,5177934.899999999441206,10636706.740000000223517
20120830,5459588.159999999217689,5124554.429999999701977,10584142.589999999850988
20120831,5484894.080000000074506,5186022.849999999627471,10670916.929999999701977
20120904,5502036.800000000745058,5197345.980000000447035,10699382.780000001192093
20120905,5493057.280000000260770,5160141.409999999217689,10653198.689999999478459
20120906,5570607.679999999701977,5237785.730000000447035,10808393.410000000149012
20120907,5593464.639999999664724,5245873.679999999701977,10839338.320000000298023
20120910,5592648.320000000298023,5203816.339999999850988,10796464.660000000149012
20120911,5572240.320000000298023,5317047.639999998733401,10889287.959999999031425
20120912,5559179.199999999254942,5397927.139999998733401,10957106.339999997988343
20120913,5625301.120000000111759,5457777.969999999739230,11083079.089999999850988
20120914,5645709.120000000111759,5428661.349999999627471,11074370.469999998807907
20120917,5653056.000000000000000,5414103.039999999105930,11067159.039999999105930
20120918,5650607.040000000037253,5406015.089999999850988,11056622.129999998956919
20120919,5653872.320000000298023,5451307.610000000335276,11105179.929999999701977
20120920,5678361.919999999925494,5443219.659999999217689,11121581.579999998211861
20120921,5666933.440000000409782,5459395.559999999590218,11126329.000000000000000
20120924,5694688.320000000298023,5409250.269999999552965,11103938.589999999850988
20120925,5680810.879999999888241,5441602.069999999366701,11122412.949999999254942
20120926,5657137.599999999627471,5359104.980000000447035,11016242.580000000074506
20120927,5657137.599999999627471,5415720.629999998956919,11072858.229999998584390
20120928,5662035.519999999552965,5430278.939999999478459,11092314.459999999031425
20121001,5669382.400000000372529,5528951.929999999701977,11198334.330000000074506
20121002,5615505.280000000260770,5499835.309999999590218,11115340.589999999850988
20121003,5646525.440000000409782,5601743.480000000447035,11248268.920000001788139
20121004,5663668.159999999217689,5648653.589999999850988,11312321.750000000000000
20121005,5684076.159999999217689,5672917.439999999478459,11356993.599999997764826
20121008,5640811.199999999254942,5609831.429999999701977,11250642.629999998956919
20121009,5608158.400000000372529,5530569.519999999552965,11138727.919999999925494
20121010,5562444.480000000447035,5556450.959999999962747,11118895.440000001341105
20121011,5551016.000000000000000,5622772.149999999441206,11173788.149999998509884
20121012,5546118.080000000074506,5626007.330000000074506,11172125.410000000149012
20121015,5608974.719999999739230,5656741.539999999105930,11265716.259999997913837
20121016,5632648.000000000000000,5708504.419999998994172,11341152.419999998062849
20121017,5671015.040000000037253,5765120.069999999366701,11436135.109999999403954
20121018,5671015.040000000037253,5737621.039999999105930,11408636.079999998211861
20121019,5597546.239999999292195,5659976.719999999739230,11257522.959999999031425
20121022,5591832.000000000000000,5621154.559999999590218,11212986.559999998658895
20121023,5505302.080000000074506,5525716.749999999068677,11031018.829999998211861
20121024,5557546.559999999590218,5519246.389999998733401,11076792.949999999254942
20121025,5719994.239999999292195,5562921.319999999366701,11282915.559999998658895
20121026,5668566.080000000074506,5593655.529999999329448,11262221.609999999403954
20121031,5652239.679999999701977,5611449.019999999552965,11263688.699999999254942
20121101,5653056.000000000000000,5818500.539999999105930,11471556.539999999105930
20121102,5648158.080000000074506,5799089.459999999962747,11447247.539999999105930
20121105,5605709.440000000409782,5723062.730000000447035,11328772.170000001788139
20121106,5626933.760000000707805,5818500.539999999105930,11445434.300000000745058
20121107,5555913.919999999925494,5765120.069999999366701,11321033.989999998360872
20121108,5462037.120000000111759,5745708.990000000223517,11207746.109999999403954
20121109,5470200.320000000298023,5779678.379999998956919,11249878.699999999254942
20121112,5475914.559999999590218,5792619.099999999627471,11268533.660000000149012
20121113,5457139.199999999254942,5760267.299999999813735,11217406.500000000000000
