代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11066338.740000000223517
真實報酬,1066338.740000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24670.956628316427668
風險,315894.197370119858533
起點值,0.078098796475867
找到最佳解世代,2151
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](8),
Stock#,BA[2](3),CSCO[4](1),INTC[11](8),
張數,11229,85777,71149,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,116.640000000130385,38.780000000260770,2.350000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3344112.840000000316650,3359923.870000000577420,3220206.089999999850988,9924243.800000000745058
FS( 3 ),3331424.070000000298023,3344484.010000000242144,3161152.419999999925494,9837061.500000000000000
FS( 4 ),3468081.000000000000000,3390803.590000000316650,3183208.610000000335276,10042094.199999999254942
FS( 5 ),3482790.989999999757856,3425972.160000000149012,3183208.610000000335276,10091972.760000001639128
FS( 6 ),3575767.110000000335276,3404527.910000000149012,3103521.729999999981374,10083817.750000000000000
FS( 7 ),3596316.180000000167638,3423398.850000000093132,3023834.850000000093132,10043550.880000000819564
FS( 8 ),3684576.120000000111759,3439696.480000000447035,3088580.439999999944121,10212854.040000000968575
FS( 9 ),3775418.729999999981374,3505744.770000000018626,3076485.110000000335276,10357649.609999999403954
FS( 10 ),3763628.280000000260770,3477438.360000000335276,3069370.209999999962747,10310437.850000001490116
FS( 11 ),3941607.930000000167638,3534051.180000000633299,3158306.459999999962747,10633966.570000000298023
FS( 12 ),3819773.280000000260770,3542628.879999999888241,3164709.869999999646097,10527113.029999999329448
FS( 13 ),3792486.810000000521541,3541771.110000000335276,3188900.530000000260770,10523159.450000001117587
FS( 14 ),3795518.640000000130385,3573508.600000000093132,3255069.100000000093132,10624097.339999999850988
FS( 15 ),3768456.750000000000000,3611250.480000000447035,3277125.290000000037253,10656833.519999999552965
FS( 16 ),3758350.649999999906868,3617254.870000000577420,3237993.339999999850988,10613599.859999999403954
FS( 17 ),3852898.830000000074506,3594095.080000000074506,3223052.049999999813735,10670046.960000000894070
FS( 18 ),3854134.020000000484288,3650707.900000000372529,3563144.270000000018626,11067987.190000001341105
FS( 19 ),3827184.419999999925494,3675583.230000000447035,3556029.369999999646097,11058798.019999999552965
FS( 20 ),3792262.229999999981374,3624117.030000000260770,3471362.060000000055879,10887742.320000000298023
FS( 21 ),3979337.370000000111759,3563215.360000000335276,3425115.209999999962747,10967668.940000001341105
FS( 22 ),4008195.899999999906868,3576939.680000000633299,3390252.200000000186265,10975388.780000001192093
FS( 23 ),3918027.030000000260770,3510891.390000000130385,3283528.700000000186265,10712448.120000001043081
FS( 24 ),3693110.160000000149012,3326470.840000000316650,3167555.830000000540167,10187137.830000000074506
FS( 25 ),3828195.030000000260770,3445700.870000000577420,3195303.939999999944121,10469200.839999999850988
FS( 26 ),3909156.120000000111759,3460282.960000000428408,3215937.150000000372529,10585377.230000000447035
FS( 27 ),3701868.780000000260770,3325613.070000000298023,3041622.100000000093132,10069104.950000001117587
FS( 28 ),3737464.709999999962747,3390803.590000000316650,3127000.900000000372529,10255270.200000001117587
FS( 29 ),3860646.840000000316650,3482584.980000000447035,3189612.020000000018626,10532844.839999999850988
FS( 30 ),3853460.280000000260770,3536624.490000000223517,3163286.890000000130385,10553372.660000000149012
FS( 31 ),3872437.290000000502914,3610392.710000000428408,3228743.970000000204891,10711574.970000000670552
FS( 32 ),4002805.979999999981374,3781088.939999999944121,3267164.430000000167638,11051060.349999999627471
FS( 33 ),3986860.800000000279397,3802533.189999999944121,3241550.790000000037253,11030945.780000001192093
FS( 34 ),3967883.790000000502914,3779373.400000000372529,3295624.030000000260770,11042882.220000002533197
FS( 35 ),3956879.370000000111759,3715040.650000000372529,3268587.410000000149012,10940508.429999999701977
FS( 36 ),3996742.320000000298023,3683303.160000000149012,3258626.549999999813735,10938673.030000001192093
FS( 37 ),4005051.780000000260770,3774226.780000000260770,3395944.119999999646097,11175223.679999999701977
FS( 38 ),4081633.560000000521541,3890883.500000000000000,3494129.740000000223517,11466647.800000000745058
FS( 39 ),4094659.200000000186265,3863434.860000000335276,3551048.939999999944121,11509144.000000000000000
FS( 40 ),4067372.729999999981374,3841132.840000000316650,3506936.560000000055879,11415443.130000000819564
FS( 41 ),3926785.649999999906868,3757071.379999999888241,3403770.510000000242144,11087628.539999999105930
FS( 42 ),3870416.070000000298023,3779373.400000000372529,3484880.369999999646097,11134670.839999999850988
FS( 43 ),3961146.390000000130385,3818830.820000000298023,3539665.100000000093132,11319643.310000000521541
