代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11062114.679999999701977
真實報酬,1062114.679999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8244.349446826079657
風險,106074.790374373667873
起點值,0.077722043265219
找到最佳解世代,2325
找到最佳解實驗#,3
找到最佳解次數,33

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](6),CVX[5](17),PG[21](8),
Stock#,AAPL[0](3),BA[2](6),CVX[5](17),PG[21](8),
張數,25391,19776,24720,30566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.140000000130385,115.839999999850988,66.399999999906868,6.859999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2481210.660000000149012,2508701.439999999944121,2485168.000000000000000,2504890.560000000055879,9979970.660000000149012
FS( 3 ),2486288.860000000335276,2519182.719999999739230,2488381.599999999627471,2520784.879999999888241,10014638.059999998658895
FS( 4 ),2504316.470000000204891,2608570.239999999757856,2500988.799999999813735,2529954.679999999701977,10143830.189999999478459
FS( 5 ),2514472.870000000111759,2609163.520000000018626,2554136.799999999813735,2516199.979999999515712,10193973.169999999925494
FS( 6 ),2512187.680000000167638,2630323.839999999850988,2548451.200000000186265,2526286.760000000242144,10217249.480000000447035
FS( 7 ),2530215.290000000502914,2632301.439999999944121,2541529.600000000093132,2542181.080000000074506,10246227.410000000149012
FS( 8 ),2509394.669999999925494,2593540.479999999515712,2521012.000000000000000,2543098.060000000055879,10167045.209999999031425
FS( 9 ),2471562.080000000074506,2569413.759999999776483,2523978.399999999906868,2523841.479999999515712,10088795.719999998807907
FS( 10 ),2474609.000000000000000,2580883.839999999850988,2503708.000000000000000,2547682.959999999497086,10106883.799999998882413
FS( 11 ),2466483.880000000353903,2574160.000000000000000,2487640.000000000000000,2535456.560000000055879,10063740.440000001341105
FS( 12 ),2476894.189999999944121,2558536.959999999962747,2498516.799999999813735,2549516.919999999925494,10083464.870000001043081
FS( 13 ),2420526.169999999925494,2567436.159999999683350,2510876.799999999813735,2540958.439999999944121,10039797.570000000298023
FS( 14 ),2414686.239999999757856,2625379.839999999850988,2536585.600000000093132,2538207.500000000000000,10114859.179999999701977
FS( 15 ),2435252.950000000186265,2601055.359999999869615,2552159.199999999720603,2549516.919999999925494,10137984.429999999701977
FS( 16 ),2426112.189999999944121,2605999.359999999869615,2528675.200000000186265,2554407.479999999515712,10115194.230000000447035
FS( 17 ),2440077.239999999757856,2641200.640000000130385,2581823.199999999720603,2573969.719999999739230,10237070.800000000745058
FS( 18 ),2371521.540000000502914,2502175.359999999869615,2519034.399999999906868,2514366.020000000018626,9907097.320000000298023
FS( 19 ),2336989.780000000260770,2426631.040000000037253,2480965.600000000093132,2482883.040000000037253,9727469.460000000894070
FS( 20 ),2376345.830000000074506,2450164.479999999981374,2512360.000000000000000,2520479.219999999739230,9859349.530000001192093
FS( 21 ),2396912.540000000502914,2511470.079999999608845,2556608.799999999813735,2564799.919999999925494,10029791.339999999850988
FS( 22 ),2427381.739999999757856,2568424.959999999962747,2591464.000000000000000,2588030.080000000074506,10175300.779999999329448
FS( 23 ),2434745.130000000353903,2564865.279999999795109,2574654.399999999906868,2591392.339999999850988,10165657.150000000372529
FS( 24 ),2411893.229999999981374,2511074.560000000055879,2560316.799999999813735,2611565.899999999906868,10094850.490000000223517
FS( 25 ),2425604.370000000111759,2510876.799999999813735,2585284.000000000000000,2599033.839999999850988,10120799.009999999776483
FS( 26 ),2436014.680000000167638,2515029.759999999776483,2547462.399999999906868,2592920.639999999664724,10091427.480000000447035
FS( 27 ),2454804.020000000484288,2572775.679999999701977,2589980.799999999813735,2621652.679999999701977,10239213.179999999701977
FS( 28 ),2462421.320000000298023,2611338.879999999888241,2605307.199999999720603,2621041.359999999869615,10300108.759999999776483
FS( 29 ),2473593.360000000335276,2587014.399999999906868,2639668.000000000000000,2621041.359999999869615,10321317.119999999180436
FS( 30 ),2459628.310000000055879,2573171.200000000186265,2636454.399999999906868,2625320.600000000093132,10294574.509999999776483
