代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11459459.769999999552965
真實報酬,1459459.769999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14228.925699912733762
風險,167897.321024933306035
起點值,0.084747782829719
找到最佳解世代,2326
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](10),MCD[15](1),UNH[23](2),
Stock#,CVX[5](10),MCD[15](1),UNH[23](2),
張數,34642,45369,79233,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,79.760000000242144,72.569999999832362,0.689999999944121,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3342339.920000000391155,3341045.729999999981374,3323825.040000000037253,10007211.690000001341105
FS( 3 ),3371092.780000000260770,3349665.839999999850988,3410189.009999999776483,10130948.629999998956919
FS( 4 ),3364164.380000000353903,3359647.019999999552965,3366610.859999999869615,10090423.259999999776483
FS( 5 ),3383217.479999999981374,3332425.620000000111759,3312732.419999999925494,10028376.519999999552965
FS( 6 ),3385988.839999999850988,3419080.409999999683350,3325409.699999999720603,10130479.949999999254942
FS( 7 ),3334025.839999999850988,3444940.740000000223517,3333333.000000000000000,10112300.580000000074506
FS( 8 ),3349961.160000000149012,3437228.010000000242144,3361856.879999999888241,10149047.050000000745058
FS( 9 ),3341300.660000000149012,3454468.229999999981374,3357895.229999999981374,10153665.120000001043081
FS( 10 ),3358621.660000000149012,3459005.129999999422580,3364233.870000000111759,10181861.660000000149012
FS( 11 ),3337490.040000000502914,3454921.919999999925494,3330163.680000000167638,10122576.640000000596046
FS( 12 ),3348575.479999999981374,3449023.949999999720603,3367403.189999999944121,10165003.619999999180436
FS( 13 ),3366242.900000000372529,3447209.189999999944121,3374534.160000000149012,10187987.250000000000000
FS( 14 ),3419938.000000000000000,3454014.539999999571592,3394342.410000000149012,10268295.949999999254942
FS( 15 ),3475365.200000000186265,3434505.870000000111759,3403850.370000000111759,10313722.440000001341105
FS( 16 ),3542917.100000000093132,3411367.679999999701977,3399888.719999999739230,10354174.500000000000000
FS( 17 ),3534603.020000000484288,3412275.059999999590218,3387211.439999999944121,10334090.519999999552965
FS( 18 ),3537027.959999999962747,3377340.929999999701977,3368987.850000000093132,10283357.740000000223517
FS( 19 ),3594187.260000000242144,3433598.490000000223517,3373741.829999999608845,10401528.580000000074506
FS( 20 ),3564741.560000000521541,3397756.979999999981374,3363441.540000000037253,10325941.080000001937151
FS( 21 ),3584487.500000000000000,3388683.179999999701977,3451390.169999999925494,10424561.849999999627471
